k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.506057915464297, -1.4746213826160501, 0.0784186191755978, 0.2146357879056126, -0.3085859728095182, 0.5686948838030982, 0.3077832453353084]|50971.0820312500000000|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[9.506057915464297, -1.4746213826160501, 0.0784186191755978, 0.2146357879056126, -0.3085859728095182, 0.5686948838030982, 0.3077832453353084]|50971.0820312500000000|      1.00000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[9.506057915464297, -1.4746213826160501, 0.0784186191755978, 0.2146357879056126, -0.3085859728095182, 0.5686948838030982, 0.3077832453353084]|50971.0820312500000000|      0.50000000|[82, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[9.506057915464297, -1.4746213826160501, 0.0784186191755978, 0.2146357879056126, -0.3085859728095182, 0.5686948838030982, 0.3077832453353084]|50971.0820312500000000|      0.25000000|[109, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[9.49986149535834, -1.5069366811043348, 0.0497178179014668, 0.3841850917941806, -0.3183657038284063, 0.5706662798739164, 0.1296061034867015]|37901.1523437500000000|      0.50000000|[136, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       6|[9.49986149535834, -1.5069366811043348, 0.0497178179014668, 0.3841850917941806, -0.3183657038284063, 0.5706662798739164, 0.1296061034867015]|37901.1523437500000000|      0.25000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[9.49986149535834, -1.5069366811043348, 0.0497178179014668, 0.3841850917941806, -0.3183657038284063, 0.5706662798739164, 0.1296061034867015]|37901.1523437500000000|      0.12500000|[189, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[9.49986149535834, -1.5069366811043348, 0.0497178179014668, 0.3841850917941806, -0.3183657038284063, 0.5706662798739164, 0.1296061034867015]|37901.1523437500000000|      0.06250000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[9.499405134197177, -1.5097029197633227, 0.0463516913365773, 0.3997350894342315, -0.3197413114298087, 0.5667995217012458, 0.0693697995788694]|25058.1347656250000000|      0.12500000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[9.499405134197177, -1.5097029197633227, 0.0463516913365773, 0.3997350894342315, -0.3197413114298087, 0.5667995217012458, 0.0693697995788694]|25058.1347656250000000|      0.06250000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[9.499405134197177, -1.5097029197633227, 0.0463516913365773, 0.3997350894342315, -0.3197413114298087, 0.5667995217012458, 0.0693697995788694]|25058.1347656250000000|      0.03125000|[296, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[9.499175314947736, -1.5108871409570344, 0.0462608046744307, 0.4044596958636454, -0.3176873513680867, 0.5633402154758416, 0.0387660157363041]|10712.8623046875000000|      0.06250000|[322, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      13|[9.499175314947736, -1.5108871409570344, 0.0462608046744307, 0.4044596958636454, -0.3176873513680867, 0.5633402154758416, 0.0387660157363041]|10712.8623046875000000|      0.03125000|[348, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[9.499175314947736, -1.5108871409570344, 0.0462608046744307, 0.4044596958636454, -0.3176873513680867, 0.5633402154758416, 0.0387660157363041]|10712.8623046875000000|      0.01562500|[374, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
