k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.25000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[1.1789321132098467, 2.0079540038429315, 1.0325767795568865, 0.8630315978482315, 1.091313177864958, 1.047543101276854]|  0.4937641224234915|      0.50000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       4|[1.1789321132098467, 2.0079540038429315, 1.0325767795568865, 0.8630315978482315, 1.091313177864958, 1.047543101276854]|  0.4937641224234915|      0.25000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[1.1789321132098467, 2.0079540038429315, 1.0325767795568865, 0.8630315978482315, 1.091313177864958, 1.047543101276854]|  0.4937641224234915|      0.12500000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[1.1807626103482898, 2.0121244049218685, 1.0970751785582065, 0.784412675176249, 1.1388785829114616, 1.1023227581030186]|  0.3838357828174296|      0.25000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       7|[1.1807626103482898, 2.0121244049218685, 1.0970751785582065, 0.784412675176249, 1.1388785829114616, 1.1023227581030186]|  0.3838357828174296|      0.12500000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[1.1807626103482898, 2.0121244049218685, 1.0970751785582065, 0.784412675176249, 1.1388785829114616, 1.1023227581030186]|  0.3838357828174296|      0.06250000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[1.2298717294710475, 2.0076090716212556, 1.0720613576282978, 0.7821870872237451, 1.1675201621397013, 1.0975090646940282]|  0.3645071228763272|      0.12500000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[1.2389325481639977, 2.0077449271569177, 1.1073655414781014, 0.685751552802439, 1.2196434410375208, 1.1452568312219342]|  0.3444562387358984|      0.25000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[1.2389325481639977, 2.0077449271569177, 1.1073655414781014, 0.685751552802439, 1.2196434410375208, 1.1452568312219342]|  0.3444562387358984|      0.12500000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[1.2389325481639977, 2.0077449271569177, 1.1073655414781014, 0.685751552802439, 1.2196434410375208, 1.1452568312219342]|  0.3444562387358984|      0.06250000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[1.2465150433714653, 1.998966903172358, 1.1045732308252443, 0.733728945636977, 1.2572904575028903, 1.138565270071515]|  0.3196912338169970|      0.12500000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[1.323859069839463, 1.9939209966993205, 1.0736034406323276, 0.6411478019154488, 1.2492147614311648, 1.133893284074037]|  0.3039753877781547|      0.25000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      15|[1.323859069839463, 1.9939209966993205, 1.0736034406323276, 0.6411478019154488, 1.2492147614311648, 1.133893284074037]|  0.3039753877781547|      0.12500000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[1.323859069839463, 1.9939209966993205, 1.0736034406323276, 0.6411478019154488, 1.2492147614311648, 1.133893284074037]|  0.3039753877781547|      0.06250000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[1.323859069839463, 1.9939209966993205, 1.0736034406323276, 0.6411478019154488, 1.2492147614311648, 1.133893284074037]|  0.3039753877781547|      0.03125000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      18|[1.323859069839463, 1.9939209966993205, 1.0736034406323276, 0.6411478019154488, 1.2492147614311648, 1.133893284074037]|  0.3039753877781547|      0.01562500|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      19|[1.3318029528504087, 1.9921076569334009, 1.0695887919846874, 0.6402292305713524, 1.2618552378734356, 1.1348954441590249]|  0.3012612467268102|      0.03125000|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      20|[1.3244948985593255, 1.9766189091981485, 1.0687372849229506, 0.6437942955649679, 1.2871739289235442, 1.1402603921454038]|  0.2997677486152349|      0.06250000|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
