k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       2|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.25000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       3|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.12500000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[1.0527051200661142, -1.0060052052400474, -1.025447742905828, -1.0722461312381046, -1.0386171364958432, -0.9699002079208011, -1.005163712418084, -1.033716739342923, -0.9782199754524579, -1.0539340718791972]|  4.5364158077392851|      0.25000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       5|[1.0527051200661142, -1.0060052052400474, -1.025447742905828, -1.0722461312381046, -1.0386171364958432, -0.9699002079208011, -1.005163712418084, -1.033716739342923, -0.9782199754524579, -1.0539340718791972]|  4.5364158077392851|      0.12500000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       6|[1.0527455266139716, -0.9652429514032054, -0.977146139153025, -1.072855976228767, -1.0554491305737799, -1.006383604390878, -1.0674046568973972, -1.0695302548722152, -1.0396705965350468, -1.0868421872177285]|  3.3816331246662381|      0.25000000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       7|[1.0527455266139716, -0.9652429514032054, -0.977146139153025, -1.072855976228767, -1.0554491305737799, -1.006383604390878, -1.0674046568973972, -1.0695302548722152, -1.0396705965350468, -1.0868421872177285]|  3.3816331246662381|      0.12500000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       8|[1.0620158545342353, -0.9838937403814172, -1.038901360509609, -1.1148462939450972, -1.0293733525566755, -1.0723603345251402, -1.1209823017323028, -1.1099692871679738, -1.0483627725663878, -1.0869230722155148]|  1.3064291224250522|      0.25000000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       9|[1.0620158545342353, -0.9838937403814172, -1.038901360509609, -1.1148462939450972, -1.0293733525566755, -1.0723603345251402, -1.1209823017323028, -1.1099692871679738, -1.0483627725663878, -1.0869230722155148]|  1.3064291224250522|      0.12500000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
      10|[1.074203359852469, -1.0470653519651931, -1.0689969400091985, -1.1303262948111408, -1.049533286631229, -1.1316641839682413, -1.1283777886293769, -1.1006296453676276, -1.0867112506987406, -1.15623786472524]|  0.2316034293823551|      0.25000000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      11|[1.074203359852469, -1.0470653519651931, -1.0689969400091985, -1.1303262948111408, -1.049533286631229, -1.1316641839682413, -1.1283777886293769, -1.1006296453676276, -1.0867112506987406, -1.15623786472524]|  0.2316034293823551|      0.12500000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
