k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.05822461907202, 149.93356385468508, -100.25895883847598, 100.16979674319197, 200.112936957858]|84651.4609375000000000|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[47.56059576539215, 149.59748192596356, -99.51119339443254, 99.66061167394983, 199.2042377998482]|79869.5000000000000000|      4.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[44.252995024578084, 150.9278147815374, -98.70831834534381, 100.11830996897056, 197.64350215309923]|70057.7187500000000000|      8.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[38.14853938208297, 148.18610141434044, -98.76408852026087, 99.1813064257346, 201.92573792060386]|52581.6835937500000000|     16.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[31.990813806843118, 142.22196616446936, -106.83450555497444, 107.22385053641759, 194.66644321830628]|35911.8593750000000000|     32.00000000|[25, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[22.77374721780963, 127.14048945744278, -109.13784672163283, 127.73212044693507, 177.7637739446064]|17295.0585937500000000|     64.00000000|[29, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[6.966011628405045, 87.45689619685871, -126.70851333803381, 117.86380375444722, 134.5756283282911]|2385.6948242187500000|    128.00000000|[33, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[6.966011628405045, 87.45689619685871, -126.70851333803381, 117.86380375444722, 134.5756283282911]|2385.6948242187500000|     64.00000000|[41, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[6.966011628405045, 87.45689619685871, -126.70851333803381, 117.86380375444722, 134.5756283282911]|2385.6948242187500000|     32.00000000|[49, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[6.966011628405045, 87.45689619685871, -126.70851333803381, 117.86380375444722, 134.5756283282911]|2385.6948242187500000|     16.00000000|[58, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-0.701653297180802, 97.02642580236798, -116.61996654460596, 119.19781439032221, 136.01530083911126]|504.2186279296875000|     32.00000000|[63, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[-0.701653297180802, 97.02642580236798, -116.61996654460596, 119.19781439032221, 136.01530083911126]|504.2186279296875000|     16.00000000|[71, 33, 0, 33]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[-0.701653297180802, 97.02642580236798, -116.61996654460596, 119.19781439032221, 136.01530083911126]|504.2186279296875000|      8.00000000|[79, 37, 0, 37]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.701653297180802, 97.02642580236798, -116.61996654460596, 119.19781439032221, 136.01530083911126]|504.2186279296875000|      4.00000000|[88, 41, 0, 41]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[-0.6326945907900171, 99.40313075690318, -115.9005510527085, 116.07183675927966, 136.25451508647186]|374.7220458984375000|      8.00000000|[93, 43, 0, 43]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[-1.1303653266695584, 105.06186268520116, -110.88723677278226, 113.82379574446777, 135.01190962667323]|160.4447784423828125|     16.00000000|[98, 45, 0, 45]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[-1.1303653266695584, 105.06186268520116, -110.88723677278226, 113.82379574446777, 135.01190962667323]|160.4447784423828125|      8.00000000|[106, 49, 0, 49]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[-1.1303653266695584, 105.06186268520116, -110.88723677278226, 113.82379574446777, 135.01190962667323]|160.4447784423828125|      4.00000000|[115, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
