k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.25000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.12500000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[1.3221545792327896, 0.5728402425837484, 0.6062904230463767, 0.7355621398001475, 0.5632133201192121, 3.0049994281169568, 5.0233540955653195, 6.967914497961783, 2.0415331283597533, 4.507945965742799, 5.535553721437469]|  2.5544093472839102|      0.25000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       5|[1.3221545792327896, 0.5728402425837484, 0.6062904230463767, 0.7355621398001475, 0.5632133201192121, 3.0049994281169568, 5.0233540955653195, 6.967914497961783, 2.0415331283597533, 4.507945965742799, 5.535553721437469]|  2.5544093472839102|      0.12500000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[1.3221545792327896, 0.5728402425837484, 0.6062904230463767, 0.7355621398001475, 0.5632133201192121, 3.0049994281169568, 5.0233540955653195, 6.967914497961783, 2.0415331283597533, 4.507945965742799, 5.535553721437469]|  2.5544093472839102|      0.06250000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[1.3204768257671422, 0.5328426162833606, 0.6113646664571817, 0.7413485585259547, 0.547785822753006, 3.0115632237005614, 5.016569739762256, 6.96093190512458, 2.0698642393539894, 4.526211798300857, 5.5626134106953575]|  2.2092579097425702|      0.12500000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       8|[1.3291195582551005, 0.4921316876775833, 0.6234520006662331, 0.7508362870987504, 0.5378057404965237, 3.067343888720479, 5.021172107902456, 6.994974918758781, 2.153941779488264, 4.548641467105615, 5.603765407317833]|  1.7459598152879321|      0.25000000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
       9|[1.3291195582551005, 0.4921316876775833, 0.6234520006662331, 0.7508362870987504, 0.5378057404965237, 3.067343888720479, 5.021172107902456, 6.994974918758781, 2.153941779488264, 4.548641467105615, 5.603765407317833]|  1.7459598152879321|      0.12500000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
      10|[1.3373445207466446, 0.4056234853945847, 0.6312569195058506, 0.7666502709845548, 0.5511858003216373, 3.0672959935451485, 4.991241883948478, 6.955273196190158, 2.2142592950686444, 4.535501754685346, 5.639831374396834]|  1.4471162737493690|      0.25000000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      11|[1.3373445207466446, 0.4056234853945847, 0.6312569195058506, 0.7666502709845548, 0.5511858003216373, 3.0672959935451485, 4.991241883948478, 6.955273196190158, 2.2142592950686444, 4.535501754685346, 5.639831374396834]|  1.4471162737493690|      0.12500000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
