k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0]                                                                    | 17.1523467319888496|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.256611837226655, 9.331139745949521]                                          | 14.2087165562815070|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[9.256611837226655, 9.331139745949521]                                          | 14.2087165562815070|      1.00000000|[8, 2, 1, 3]                                                               |  | used linear model with 5 points | actual_k=1
       3|[9.256611837226655, 9.331139745949521]                                          | 14.2087165562815070|      0.50000000|[11, 3, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[9.256611837226655, 9.331139745949521]                                          | 14.2087165562815070|      0.25000000|[15, 4, 3, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[9.256611837226655, 9.331139745949521]                                          | 14.2087165562815070|      0.12500000|[19, 5, 3, 8]                                                              |  | used linear model with 5 points | actual_k=1
       6|[9.381163346746641, 9.341719040646844]                                          | 14.1985115960782604|      0.25000000|[22, 6, 4, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[9.381163346746641, 9.341719040646844]                                          | 14.1985115960782604|      0.12500000|[26, 7, 5, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[9.381163346746641, 9.341719040646844]                                          | 14.1985115960782604|      0.06250000|[30, 8, 6, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[9.344740049023835, 9.290929343039988]                                          | 14.1922971358978582|      0.12500000|[34, 9, 7, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[9.441124487683146, 9.211336378625225]                                          | 14.1820070557793514|      0.25000000|[38, 10, 8, 18]                                                            |  | used linear model with 5 points | iterate success | actual_k=1
      11|[9.441124487683146, 9.211336378625225]                                          | 14.1820070557793514|      0.12500000|[42, 11, 9, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
