k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 |  6.5000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9016895996046949, 0.0789384352014079, 1.3768032099450371]                    |  5.1053152084350586|      2.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.9016895996046949, 0.0789384352014079, 1.3768032099450371]                    |  5.1053152084350586|      1.00000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.9016895996046949, 0.0789384352014079, 1.3768032099450371]                    |  5.1053152084350586|      0.50000000|[15, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.3921766078515025, 0.1644755344419367, 1.422693289424288]                     |  1.8229069709777832|      1.00000000|[20, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[1.3921766078515025, 0.1644755344419367, 1.422693289424288]                     |  1.8229069709777832|      0.50000000|[24, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.605761891402808, 0.0926707335955634, 0.9763465663202406]                     |  1.5839784145355225|      1.00000000|[28, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[1.605761891402808, 0.0926707335955634, 0.9763465663202406]                     |  1.5839784145355225|      0.50000000|[33, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[2.083096298409025, -0.0162898871458054, 1.0777341741215836]                    |  0.8099361658096313|      1.00000000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[2.083096298409025, -0.0162898871458054, 1.0777341741215836]                    |  0.8099361658096313|      0.50000000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[2.083096298409025, -0.0162898871458054, 1.0777341741215836]                    |  0.8099361658096313|      0.25000000|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[2.083096298409025, -0.0162898871458054, 1.0777341741215836]                    |  0.8099361658096313|      0.12500000|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[2.059948926169249, -0.0542572722702245, 0.9609109023594586]                    |  0.4675126075744629|      0.25000000|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[2.059948926169249, -0.0542572722702245, 0.9609109023594586]                    |  0.4675126075744629|      0.12500000|[62, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[2.059948926169249, -0.0542572722702245, 0.9609109023594586]                    |  0.4675126075744629|      0.06250000|[67, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[2.0389629299533816, -0.0479107507475495, 0.9023826217816917]                   |  0.4400877952575684|      0.12500000|[72, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
