k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.50000000|[76, 5, 1, 6]                                                              |  | used linear model with 81 points | iterate failure | actual_k=1
       2|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.25000000|[152, 10, 2, 12]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       3|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.12500000|[228, 15, 3, 18]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       4|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.06250000|[304, 20, 4, 24]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       5|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.03125000|[380, 25, 5, 30]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       6|[1.0205493442848064, 0.0198973420003357, 0.015889147251892, 0.0190338321520613, 0.4269230240572347, 0.0243411931486156, 0.8030130453627803, 0.0203105542410726, 0.2197612952818258, 0.0150748969579976, 2.691453958437973, 0.0161078684883029, 0.8126269093989552, 0.018174015981617, 2.272190650554178, 0.018935479850609, 14.354809219185217, 0.0392941578041388, 12.159171748638942, 0.0374176524128464, 0.27631859605554, 0.0165183205430593, 0.2457434402113615, 0.0213563846050627, 1.16677595277631, 0.019675846523243, 0.1790120133302031, 0.0162505617484152, 0.1148662801625113, 0.0203223900702514, 3.746875020597585, 0.0203291870381533, 0.8359681315354329, 0.0198479380389405, 0.1624786380114286, 0.0214215926392365, 0.3861798011892923, 0.0167360843099079, 0.9229931289097812, 0.021442828445944, 0.261997999553885, 0.0231499886840981, 2.0734577101623066, 0.0226388279940863, 1.9481977611817511, 0.0207924085633659, 1.4852665191244285, 0.0208884179276617, 0.4806770538212474, 0.0185348679662294, 0.4914123173167112, 0.0193445205780064, 0.3313216597988075, 0.0211744115116518, 0.8414435602467232, 0.0171838801316577, 0.4605637255618245, 0.0192264363338981, 0.4900904115013494, 0.0204512598452253, 0.9834775330210639, 0.0203648391698152, -0.0181925763525374, 0.0207938047582329, 0.2662995680815721, 0.0224704423413051]|2290023.1084447419270873|      0.06250000|[456, 30, 6, 36]                                                           |  | used linear model with 81 points | iterate success | actual_k=1
       7|[1.0205493442848064, 0.0198973420003357, 0.015889147251892, 0.0190338321520613, 0.4269230240572347, 0.0243411931486156, 0.8030130453627803, 0.0203105542410726, 0.2197612952818258, 0.0150748969579976, 2.691453958437973, 0.0161078684883029, 0.8126269093989552, 0.018174015981617, 2.272190650554178, 0.018935479850609, 14.354809219185217, 0.0392941578041388, 12.159171748638942, 0.0374176524128464, 0.27631859605554, 0.0165183205430593, 0.2457434402113615, 0.0213563846050627, 1.16677595277631, 0.019675846523243, 0.1790120133302031, 0.0162505617484152, 0.1148662801625113, 0.0203223900702514, 3.746875020597585, 0.0203291870381533, 0.8359681315354329, 0.0198479380389405, 0.1624786380114286, 0.0214215926392365, 0.3861798011892923, 0.0167360843099079, 0.9229931289097812, 0.021442828445944, 0.261997999553885, 0.0231499886840981, 2.0734577101623066, 0.0226388279940863, 1.9481977611817511, 0.0207924085633659, 1.4852665191244285, 0.0208884179276617, 0.4806770538212474, 0.0185348679662294, 0.4914123173167112, 0.0193445205780064, 0.3313216597988075, 0.0211744115116518, 0.8414435602467232, 0.0171838801316577, 0.4605637255618245, 0.0192264363338981, 0.4900904115013494, 0.0204512598452253, 0.9834775330210639, 0.0203648391698152, -0.0181925763525374, 0.0207938047582329, 0.2662995680815721, 0.0224704423413051]|2290023.1084447419270873|      0.03125000|[532, 35, 7, 42]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       8|[1.020815449090569, 0.0189374050163056, 0.017947027126099, 0.018159439629557, 0.4280616953564382, 0.0198039367110169, 0.8011191210195172, 0.0199416068786855, 0.2212473062651123, 0.0160993053760114, 2.69615640729092, 0.0200385815535142, 0.8148899181333117, 0.0164921342316355, 2.2717057874577478, 0.0157374314927476, 14.35628477486085, 0.0577151037731296, 12.164060898371416, 0.0510567008642923, 0.2778227410586442, 0.0181508784136676, 0.2414208623806622, 0.0192388407612133, 1.1643132264810188, 0.0209140607195016, 0.1788529852480237, 0.0174955751859061, 0.1160291727274664, 0.0186891465916157, 3.7490000092102016, 0.026149845715738, 0.836664017566736, 0.0213343840363877, 0.1606162159778552, 0.0207464774025768, 0.3926754742993806, 0.0217442247367618, 0.9199478391182743, 0.0183507267186046, 0.261576849701586, 0.0188916869862616, 2.0730600753259445, 0.0236977071201942, 1.9505800455391968, 0.0216710455196468, 1.4910975323800701, 0.0187297837553346, 0.4819009007493864, 0.0187624233802553, 0.4903866253495734, 0.0217809575764142, 0.3344087803557051, 0.020166906149511, 0.8417562970005957, 0.0165060004606071, 0.4654155965324174, 0.0235553444407543, 0.4898686258801647, 0.0188144779308321, 0.9861970180484234, 0.0228413684372617, -0.0212241527584225, 0.0203230132599007, 0.2693052240313715, 0.0232186567804375]|1914515.6682930639944971|      0.06250000|[608, 40, 8, 48]                                                           |  | used linear model with 81 points | iterate success | actual_k=1
       9|[1.020815449090569, 0.0189374050163056, 0.017947027126099, 0.018159439629557, 0.4280616953564382, 0.0198039367110169, 0.8011191210195172, 0.0199416068786855, 0.2212473062651123, 0.0160993053760114, 2.69615640729092, 0.0200385815535142, 0.8148899181333117, 0.0164921342316355, 2.2717057874577478, 0.0157374314927476, 14.35628477486085, 0.0577151037731296, 12.164060898371416, 0.0510567008642923, 0.2778227410586442, 0.0181508784136676, 0.2414208623806622, 0.0192388407612133, 1.1643132264810188, 0.0209140607195016, 0.1788529852480237, 0.0174955751859061, 0.1160291727274664, 0.0186891465916157, 3.7490000092102016, 0.026149845715738, 0.836664017566736, 0.0213343840363877, 0.1606162159778552, 0.0207464774025768, 0.3926754742993806, 0.0217442247367618, 0.9199478391182743, 0.0183507267186046, 0.261576849701586, 0.0188916869862616, 2.0730600753259445, 0.0236977071201942, 1.9505800455391968, 0.0216710455196468, 1.4910975323800701, 0.0187297837553346, 0.4819009007493864, 0.0187624233802553, 0.4903866253495734, 0.0217809575764142, 0.3344087803557051, 0.020166906149511, 0.8417562970005957, 0.0165060004606071, 0.4654155965324174, 0.0235553444407543, 0.4898686258801647, 0.0188144779308321, 0.9861970180484234, 0.0228413684372617, -0.0212241527584225, 0.0203230132599007, 0.2693052240313715, 0.0232186567804375]|1914515.6682930639944971|      0.03125000|[684, 45, 9, 54]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
      10|[1.0220043472169351, 0.0176768270267196, 0.0210680637265272, 0.0169657139931155, 0.4322533629946931, 0.0194775209078841, 0.8050222263180653, 0.0254980006834071, 0.2192653364795888, 0.0150287111578664, 2.6966704310891334, 0.0284948700802855, 0.8138777660352259, 0.0145497017621574, 2.2642688816130963, 0.0277542963595359, 14.352448421875566, 0.0665089105315856, 12.164132665145651, 0.0650256651448236, 0.2766264195569952, 0.0187090938125256, 0.2361615091816334, 0.0220054732208432, 1.1664557417281807, 0.0272172578126521, 0.1767407243244713, 0.0207447281688163, 0.1123919949177717, 0.015719542015587, 3.750825952792338, 0.0279180289906216, 0.8361103982784303, 0.0217674374901825, 0.157073212153194, 0.0186444347133848, 0.3931665553971442, 0.0173861671622757, 0.922333689736168, 0.0203672378126886, 0.265289557985223, 0.0193651226094512, 2.0721787278996513, 0.0260080459828786, 1.952076349014033, 0.0232996828877427, 1.4889418912504102, 0.0215778203572715, 0.4798683853425513, 0.0238378304386995, 0.4888805095491595, 0.0225466481445594, 0.3289951642963861, 0.0255925952927299, 0.8400564557858909, 0.017523654881333, 0.4661427431885777, 0.0221857153639867, 0.4928649887500445, 0.018051378338184, 0.9876575914907971, 0.0233607522943443, -0.0221866841087069, 0.018106960883538, 0.269938048691544, 0.0254342893881484]|1741423.5967496519442648|      0.06250000|[760, 50, 10, 60]                                                          |  | used linear model with 81 points | iterate success | actual_k=1
      11|[1.0312664103930196, 0.0292299008369751, 0.0138062095929462, 0.0167962294532345, 0.430758012927459, 0.0245607378517625, 0.7995773427659362, 0.0267334699411659, 0.2175259602160844, 0.0258438503655068, 2.6968615883920575, 0.0373004923845826, 0.8226509752934664, 0.0145551113662734, 2.258508488183462, 0.0256945191052202, 14.364189998437322, 0.0919584901800726, 12.167969847884702, 0.0678098773603519, 0.2786995731319116, 0.0350051812378395, 0.245419562080985, 0.0347004023093164, 1.1629121549206212, 0.0239415470328712, 0.1748984091932163, 0.0250742432707612, 0.1105803499937941, 0.0164036897602692, 3.7429224712657385, 0.0363892496916183, 0.8398224512459302, 0.0275792895969398, 0.1487798268715337, 0.0208632620779845, 0.3960151837701203, 0.0278979389154873, 0.9372481109763461, 0.0337343666287256, 0.2772143278035553, 0.017628218032039, 2.069514977243453, 0.0342475769987941, 1.9448213071742686, 0.0310799921602185, 1.4967455293339118, 0.0226094708066629, 0.4843919875585857, 0.0263542092978039, 0.4943085077224797, 0.0271152899233948, 0.329440924641605, 0.029331889989044, 0.8311116575657945, 0.0089544176876177, 0.4693538836910809, 0.0125183183795705, 0.4986867253561142, 0.0250206833243316, 0.9912598607381413, 0.0252089621982808, -0.0189326794668942, 0.007404130828426, 0.2772879368745335, 0.0350257123775956]|1598859.5308672122191638|      0.12500000|[836, 55, 11, 66]                                                          |  | used linear model with 81 points | iterate success | actual_k=1
