k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[20.010087020556156, 2.019262977946784, 2.0186448258227028, 1.9938615299402405, 0.6991411417147337]|4997.4033203125000000|      1.00000000|[53, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       3|[20.010087020556156, 2.019262977946784, 2.0186448258227028, 1.9938615299402405, 0.6991411417147337]|4997.4033203125000000|      0.50000000|[79, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[20.010087020556156, 2.019262977946784, 2.0186448258227028, 1.9938615299402405, 0.6991411417147337]|4997.4033203125000000|      0.25000000|[105, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[20.00547811395785, 2.079729278184411, 2.010965504117815, 1.9905149290959547, 0.4567521716759073]|4524.9653320312500000|      0.50000000|[132, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       6|[20.00547811395785, 2.079729278184411, 2.010965504117815, 1.9905149290959547, 0.4567521716759073]|4524.9653320312500000|      0.25000000|[158, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[20.00547811395785, 2.079729278184411, 2.010965504117815, 1.9905149290959547, 0.4567521716759073]|4524.9653320312500000|      0.12500000|[184, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[20.012967536319167, 2.1126614676540627, 2.0210443230271937, 1.9980672522801501, 0.5764424355796275]|3855.1232910156250000|      0.25000000|[210, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       9|[20.012967536319167, 2.1126614676540627, 2.0210443230271937, 1.9980672522801501, 0.5764424355796275]|3855.1232910156250000|      0.12500000|[236, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[20.005209254481983, 2.2007156858607164, 2.0280317546584343, 1.952826926661019, 0.5008398400155624]|3742.9221191406250000|      0.25000000|[263, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
