k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[13, 4, 1, 5]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[26, 8, 2, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[39, 12, 3, 15]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[52, 16, 4, 20]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[65, 20, 5, 25]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[78, 24, 6, 30]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[91, 28, 7, 35]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00390625|[104, 32, 8, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[-0.0030864980352057, -0.0002562435684769, -0.0010315848480809, -0.0002170752688221, -0.0005010242815229, 0.0009920692521958, -0.0003514423333868, 0.000896108247497, 0.0006755014448703, 0.0004522642920952, -0.0005165029397752, 0.0004506024506662, -0.000695360462891, -6.71952834194e-05, 1.0008802933262102]|2116.6147252457121795|      0.00781250|[117, 36, 9, 45]                                                           |  | used linear model with 17 points | iterate success | actual_k=1
      10|[-0.0030864980352057, -0.0002562435684769, -0.0010315848480809, -0.0002170752688221, -0.0005010242815229, 0.0009920692521958, -0.0003514423333868, 0.000896108247497, 0.0006755014448703, 0.0004522642920952, -0.0005165029397752, 0.0004506024506662, -0.000695360462891, -6.71952834194e-05, 1.0008802933262102]|2116.6147252457121795|      0.00390625|[130, 40, 10, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[-0.0030864980352057, -0.0002562435684769, -0.0010315848480809, -0.0002170752688221, -0.0005010242815229, 0.0009920692521958, -0.0003514423333868, 0.000896108247497, 0.0006755014448703, 0.0004522642920952, -0.0005165029397752, 0.0004506024506662, -0.000695360462891, -6.71952834194e-05, 1.0008802933262102]|2116.6147252457121795|      0.00195312|[143, 44, 11, 55]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[-0.0025783003632234, 7.31057144269e-05, -0.001724599196216, -0.0002873337132863, -0.0003456740292202, 0.0019659067056629, -0.0001240320169946, 0.000168769335727, 0.0012089720670235, 0.0001870290614794, 0.0001050300931217, 6.48659020288e-05, -0.0002772870301992, -2.52503461715e-05, 1.0002946787143663]|2114.8903096245085180|      0.00390625|[156, 48, 12, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      13|[-0.0025783003632234, 7.31057144269e-05, -0.001724599196216, -0.0002873337132863, -0.0003456740292202, 0.0019659067056629, -0.0001240320169946, 0.000168769335727, 0.0012089720670235, 0.0001870290614794, 0.0001050300931217, 6.48659020288e-05, -0.0002772870301992, -2.52503461715e-05, 1.0002946787143663]|2114.8903096245085180|      0.00195312|[169, 52, 13, 65]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[-0.0025783003632234, 7.31057144269e-05, -0.001724599196216, -0.0002873337132863, -0.0003456740292202, 0.0019659067056629, -0.0001240320169946, 0.000168769335727, 0.0012089720670235, 0.0001870290614794, 0.0001050300931217, 6.48659020288e-05, -0.0002772870301992, -2.52503461715e-05, 1.0002946787143663]|2114.8903096245085180|      0.00097656|[182, 56, 14, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[-0.0025783003632234, 7.31057144269e-05, -0.001724599196216, -0.0002873337132863, -0.0003456740292202, 0.0019659067056629, -0.0001240320169946, 0.000168769335727, 0.0012089720670235, 0.0001870290614794, 0.0001050300931217, 6.48659020288e-05, -0.0002772870301992, -2.52503461715e-05, 1.0002946787143663]|2114.8903096245085180|      0.00048828|[195, 60, 15, 75]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[-0.0025783003632234, 7.31057144269e-05, -0.001724599196216, -0.0002873337132863, -0.0003456740292202, 0.0019659067056629, -0.0001240320169946, 0.000168769335727, 0.0012089720670235, 0.0001870290614794, 0.0001050300931217, 6.48659020288e-05, -0.0002772870301992, -2.52503461715e-05, 1.0002946787143663]|2114.8903096245085180|      0.00024414|[208, 64, 16, 80]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[-0.0024986437868744, 2.1569563337e-05, -0.0016760647114758, -0.0002858007599352, -0.0003792966632033, 0.0019112317316035, -0.0001524706587719, 0.0001616682714039, 0.001056659477359, 0.0002720058055575, 0.0001690104219054, 8.57230810312e-05, -0.0003227127996529, -6.3641167333e-06, 1.0003714750114523]|2114.8182623903880994|      0.00048828|[221, 68, 17, 85]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      18|[-0.0024957212842443, -0.0001922699291674, -0.0018941555707174, -0.0001932084999523, -0.000251231256268, 0.001771843365836, -0.0002283111247796, 9.48203400291e-05, 0.0010058052379356, 0.0002080181614818, -1.4533630761e-05, 1.69068561541e-05, -0.0004836514582052, -5.85323472975e-05, 1.000500966449083]|2114.6246129045939597|      0.00097656|[234, 72, 18, 90]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[-0.0024957212842443, -0.0001922699291674, -0.0018941555707174, -0.0001932084999523, -0.000251231256268, 0.001771843365836, -0.0002283111247796, 9.48203400291e-05, 0.0010058052379356, 0.0002080181614818, -1.4533630761e-05, 1.69068561541e-05, -0.0004836514582052, -5.85323472975e-05, 1.000500966449083]|2114.6246129045939597|      0.00048828|[247, 76, 19, 95]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[-0.0024957212842443, -0.0001922699291674, -0.0018941555707174, -0.0001932084999523, -0.000251231256268, 0.001771843365836, -0.0002283111247796, 9.48203400291e-05, 0.0010058052379356, 0.0002080181614818, -1.4533630761e-05, 1.69068561541e-05, -0.0004836514582052, -5.85323472975e-05, 1.000500966449083]|2114.6246129045939597|      0.00024414|[260, 80, 20, 100]                                                         |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[-0.0023952230058956, -0.0003223678919071, -0.0018931742343074, -9.41066151614e-05, -0.0002964093273889, 0.0016847945097088, -0.0002059901353567, 5.14706590346e-05, 0.000983713746123, 0.0002471909652016, -3.33560381982e-05, -2.798568725e-06, -0.0004758531094509, -0.0001311735340305, 1.0005525265678201]|2114.5908390224021787|      0.00048828|[273, 84, 21, 105]                                                         |  | used linear model with 17 points | iterate success | actual_k=1
      22|[-0.0025473945081663, -0.0005703169416553, -0.0017966491486135, -8.76471604732e-05, -0.0003862080369575, 0.0015020952868372, -0.0001854643647459, 0.0001738911899198, 0.0009249861567648, 0.0002977519746795, 3.41008437077e-05, 3.58099406864e-05, -0.0006199586097742, -0.0003107709398501, 1.000402506768002]|2114.4973829274895252|      0.00097656|[286, 88, 22, 110]                                                         |  | used linear model with 17 points | iterate success | actual_k=1
      23|[-0.0025473945081663, -0.0005703169416553, -0.0017966491486135, -8.76471604732e-05, -0.0003862080369575, 0.0015020952868372, -0.0001854643647459, 0.0001738911899198, 0.0009249861567648, 0.0002977519746795, 3.41008437077e-05, 3.58099406864e-05, -0.0006199586097742, -0.0003107709398501, 1.000402506768002]|2114.4973829274895252|      0.00048828|[299, 92, 23, 115]                                                         |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[-0.0024493119350858, -0.0005748813220974, -0.0018207874282746, -0.000108531433924, -0.0003533469550886, 0.0017648366045325, 0.0001080634940139, 0.000251913299031, 0.0009248382666422, 0.0002943969281754, -5.56652598451e-05, 0.0001965745119894, -0.0006959612984964, -0.0003709767123212, 1.0002538991699785]|2114.3414190950907141|      0.00097656|[312, 96, 24, 120]                                                         |  | used linear model with 17 points | iterate success | actual_k=1
      25|[-0.0024493119350858, -0.0005748813220974, -0.0018207874282746, -0.000108531433924, -0.0003533469550886, 0.0017648366045325, 0.0001080634940139, 0.000251913299031, 0.0009248382666422, 0.0002943969281754, -5.56652598451e-05, 0.0001965745119894, -0.0006959612984964, -0.0003709767123212, 1.0002538991699785]|2114.3414190950907141|      0.00048828|[325, 100, 25, 125]                                                        |  | used linear model with 17 points | iterate failure | actual_k=1
      26|[-0.0025614275171827, -0.0008576230259291, -0.0020453929336921, -5.72276932625e-05, -0.0002708294430779, 0.0017276948390764, 0.0002491082895966, 0.0002478279314912, 0.0009114681510372, 0.0001316828554063, -0.0001032026789641, 7.67439853233e-05, -0.0007887140084312, -0.0004840427520487, 1.000262043918766]|2114.1581607659386464|      0.00097656|[338, 104, 26, 130]                                                        |  | used linear model with 17 points | iterate success | actual_k=1
      27|[-0.0025614275171827, -0.0008576230259291, -0.0020453929336921, -5.72276932625e-05, -0.0002708294430779, 0.0017276948390764, 0.0002491082895966, 0.0002478279314912, 0.0009114681510372, 0.0001316828554063, -0.0001032026789641, 7.67439853233e-05, -0.0007887140084312, -0.0004840427520487, 1.000262043918766]|2114.1581607659386464|      0.00048828|[351, 108, 27, 135]                                                        |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[-0.0025614275171827, -0.0008576230259291, -0.0020453929336921, -5.72276932625e-05, -0.0002708294430779, 0.0017276948390764, 0.0002491082895966, 0.0002478279314912, 0.0009114681510372, 0.0001316828554063, -0.0001032026789641, 7.67439853233e-05, -0.0007887140084312, -0.0004840427520487, 1.000262043918766]|2114.1581607659386464|      0.00024414|[364, 112, 28, 140]                                                        |  | used linear model with 17 points | iterate failure | actual_k=1
      29|[-0.0024016787992008, -0.0009470873408524, -0.0020708343043986, -4.35188269147e-05, -0.0002278404656672, 0.0017206539497155, 0.0002467245933464, 0.0001657234135927, 0.0009019982334606, 0.0001561569717872, -0.000112323600586, 9.49964422481e-05, -0.0008465380014369, -0.0005869875623274, 1.0003014801770556]|2114.0534174422155047|      0.00048828|[377, 116, 29, 145]                                                        |  | used linear model with 17 points | iterate success | actual_k=1
      30|[-0.0025119506903427, -0.0009647336703511, -0.002272588665202, 0.0001743280730182, -0.0002292442115062, 0.0017647745091669, 0.0003838621588601, 3.73588244443e-05, 0.0011047639775526, 0.0001966230150473, -0.0001591918334822, 0.0002168021755773, -0.0010194948920725, -0.0005113398813472, 1.0003731115609547]|2113.9649863281110811|      0.00097656|[390, 120, 30, 150]                                                        |  | used linear model with 17 points | iterate success | actual_k=1
