k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.033761720963064, 149.90221017537743, -100.11587313009474, 100.08137121716291, 200.1917625642911]|84592.7486164685833501|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[47.347506398389825, 150.11044215787842, -100.07255617930637, 101.13355769118434, 200.2566447206818]|79180.1980277171969647|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[43.637628824040625, 148.95029545881275, -100.7298151250608, 101.38770191040862, 199.62872003248376]|67490.2594941093993839|      8.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[35.96229337149927, 148.5905398923964, -100.71057517111232, 103.59161797018174, 199.9483846208267]|46851.2330722046172014|     16.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[19.96735082724525, 148.6272050133114, -100.3284454264867, 103.51054499243783, 199.85965635321648]|16520.1217391484897234|     32.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[-9.569613193058323, 143.94429530688828, -110.81496608088099, 101.37779530420596, 195.9709063641983]|3842.2044428280432840|     64.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[-9.569613193058323, 143.94429530688828, -110.81496608088099, 101.37779530420596, 195.9709063641983]|3842.2044428280432840|     32.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[-1.3696836579716845, 164.5362528300069, -113.82956111000323, 84.85868991511077, 180.13538253515966]|2479.7370433478304221|     64.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[-1.3696836579716845, 164.5362528300069, -113.82956111000323, 84.85868991511077, 180.13538253515966]|2479.7370433478304221|     32.00000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[-1.3696836579716845, 164.5362528300069, -113.82956111000323, 84.85868991511077, 180.13538253515966]|2479.7370433478304221|     16.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[-1.3696836579716845, 164.5362528300069, -113.82956111000323, 84.85868991511077, 180.13538253515966]|2479.7370433478304221|      8.00000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[-1.4058659658774562, 159.93766827996467, -120.16818437316523, 84.45290293834864, 181.71933424966966]|1540.5415413590249045|     16.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[-1.4058659658774562, 159.93766827996467, -120.16818437316523, 84.45290293834864, 181.71933424966966]|1540.5415413590249045|      8.00000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[-3.706324447490704, 155.56080450202356, -123.33266972546838, 87.10208578812104, 176.97393469565407]|1367.0291568606508008|     16.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      15|[-3.706324447490704, 155.56080450202356, -123.33266972546838, 87.10208578812104, 176.97393469565407]|1367.0291568606508008|      8.00000000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[-0.713649207700469, 151.95752946792246, -126.42100379276376, 86.91830052530705, 171.27404701222332]|633.2815807020926968|     16.00000000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[-0.713649207700469, 151.95752946792246, -126.42100379276376, 86.91830052530705, 171.27404701222332]|633.2815807020926968|      8.00000000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
