k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5423843710827816, 1.2627587212304168, 0.0747365119449858, 0.7412350237676839, 0.7185451501319129, 1.580350347835354, 1.3654285042083347, 0.8788767617446895]|103.4879171037384111|      2.00000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=0
       2|[0.5423843710827816, 1.2627587212304168, 0.0747365119449858, 0.7412350237676839, 0.7185451501319129, 1.580350347835354, 1.3654285042083347, 0.8788767617446895]|103.4879171037384111|      1.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       3|[0.5423843710827816, 1.2627587212304168, 0.0747365119449858, 0.7412350237676839, 0.7185451501319129, 1.580350347835354, 1.3654285042083347, 0.8788767617446895]|103.4879171037384111|      0.50000000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       4|[0.5423843710827816, 1.2627587212304168, 0.0747365119449858, 0.7412350237676839, 0.7185451501319129, 1.580350347835354, 1.3654285042083347, 0.8788767617446895]|103.4879171037384111|      0.25000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       5|[0.5662060286441003, 1.2210386670601208, 0.0744725978538361, 0.8229273806973866, 0.7464920385068884, 1.5754480506949589, 1.408783811938521, 1.104339643577168]| 73.6984011969604325|      0.50000000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       6|[0.5662060286441003, 1.2210386670601208, 0.0744725978538361, 0.8229273806973866, 0.7464920385068884, 1.5754480506949589, 1.408783811938521, 1.104339643577168]| 73.6984011969604325|      0.25000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       7|[0.5110398808469357, 1.1648365484292487, 0.1326108522475714, 0.7127350706887988, 0.7828590141184578, 1.727017744813514, 1.3319723466141555, 1.2071972436563179]| 64.7294355083055706|      0.50000000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       8|[0.5110398808469357, 1.1648365484292487, 0.1326108522475714, 0.7127350706887988, 0.7828590141184578, 1.727017744813514, 1.3319723466141555, 1.2071972436563179]| 64.7294355083055706|      0.25000000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
       9|[0.5110398808469357, 1.1648365484292487, 0.1326108522475714, 0.7127350706887988, 0.7828590141184578, 1.727017744813514, 1.3319723466141555, 1.2071972436563179]| 64.7294355083055706|      0.12500000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[0.4353338340551192, 1.1068250311958194, 0.116485850433073, 0.6817589322001846, 0.740943921835057, 1.7648279390686104, 1.2984017189174706, 1.2387448063761841]| 59.9066547562064571|      0.25000000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      11|[0.4353338340551192, 1.1068250311958194, 0.116485850433073, 0.6817589322001846, 0.740943921835057, 1.7648279390686104, 1.2984017189174706, 1.2387448063761841]| 59.9066547562064571|      0.12500000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      12|[0.3832130242408408, 1.021752832125547, 0.1313472312985135, 0.6948653209871445, 0.7349357680268699, 1.7294316742149025, 1.2855898577888718, 1.3005943560757085]| 56.6804821127432916|      0.25000000|[156, 0, 12, 48]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      13|[0.3832130242408408, 1.021752832125547, 0.1313472312985135, 0.6948653209871445, 0.7349357680268699, 1.7294316742149025, 1.2855898577888718, 1.3005943560757085]| 56.6804821127432916|      0.12500000|[169, 0, 13, 52]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      14|[0.3441806595321217, 1.0355060135158165, 0.1170241535627498, 0.6355012709148607, 0.70760523238046, 1.809773387440374, 1.235237067740479, 1.2794772781125665]| 54.4617461058965162|      0.25000000|[182, 0, 14, 56]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      15|[0.3441806595321217, 1.0355060135158165, 0.1170241535627498, 0.6355012709148607, 0.70760523238046, 1.809773387440374, 1.235237067740479, 1.2794772781125665]| 54.4617461058965162|      0.12500000|[195, 0, 15, 60]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      16|[0.3003721987527738, 0.9655770997006384, 0.1336718895896519, 0.6732467640014493, 0.6998948730259124, 1.7596485141710778, 1.2319591440693374, 1.3467914598900308]| 52.7044857556598672|      0.25000000|[208, 0, 16, 64]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      17|[0.3003721987527738, 0.9655770997006384, 0.1336718895896519, 0.6732467640014493, 0.6998948730259124, 1.7596485141710778, 1.2319591440693374, 1.3467914598900308]| 52.7044857556598672|      0.12500000|[221, 0, 17, 68]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      18|[0.2271558494855199, 0.9499041134287909, 0.1440661755981798, 0.6048868444973029, 0.7020856467160477, 1.8315905657022569, 1.2244557799229394, 1.3477107986022792]| 47.5251676868411792|      0.25000000|[234, 0, 18, 72]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      19|[0.0698587746488943, 0.8104961728644147, 0.093919271433067, 0.6224158814924654, 0.7254301837443248, 1.935251346689699, 1.1929921715115297, 1.404461072979237]| 39.1806280867827610|      0.50000000|[247, 0, 19, 76]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
