k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |2648.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.7232145632244054, 2.2104327809661015, 2.544671028234727, 2.368798334102434]  |1790.9801160345775770|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[2.7232145632244054, 2.2104327809661015, 2.544671028234727, 2.368798334102434]  |1790.9801160345775770|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[2.7232145632244054, 2.2104327809661015, 2.544671028234727, 2.368798334102434]  |1790.9801160345775770|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[2.665398892367206, 1.7220998612616782, 2.4605192284563913, 2.335529995845887]  |209.4421666208131398|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[2.665398892367206, 1.7220998612616782, 2.4605192284563913, 2.335529995845887]  |209.4421666208131398|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[2.5938970928855247, 1.6120620131305592, 2.6382511165299256, 1.8869873104620196]| 12.0951757003668572|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[2.5938970928855247, 1.6120620131305592, 2.6382511165299256, 1.8869873104620196]| 12.0951757003668572|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[2.5938970928855247, 1.6120620131305592, 2.6382511165299256, 1.8869873104620196]| 12.0951757003668572|      0.25000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[2.5938970928855247, 1.6120620131305592, 2.6382511165299256, 1.8869873104620196]| 12.0951757003668572|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[2.5938970928855247, 1.6120620131305592, 2.6382511165299256, 1.8869873104620196]| 12.0951757003668572|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[2.5938970928855247, 1.6120620131305592, 2.6382511165299256, 1.8869873104620196]| 12.0951757003668572|      0.03125000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[2.5938970928855247, 1.6120620131305592, 2.6382511165299256, 1.8869873104620196]| 12.0951757003668572|      0.01562500|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[2.5938970928855247, 1.6120620131305592, 2.6382511165299256, 1.8869873104620196]| 12.0951757003668572|      0.00781250|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[2.5938970928855247, 1.6120620131305592, 2.6382511165299256, 1.8869873104620196]| 12.0951757003668572|      0.00390625|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[2.59587537220164, 1.6107081050113574, 2.638101631858589, 1.8839067606494497]   | 11.9946751950578303|      0.00781250|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      16|[2.59587537220164, 1.6107081050113574, 2.638101631858589, 1.8839067606494497]   | 11.9946751950578303|      0.00390625|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      17|[2.596286061833017, 1.6087954441190033, 2.6348104964460703, 1.883131983845135]  | 11.9610120441046899|      0.00781250|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      18|[2.596286061833017, 1.6087954441190033, 2.6348104964460703, 1.883131983845135]  | 11.9610120441046899|      0.00390625|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      19|[2.596286061833017, 1.6087954441190033, 2.6348104964460703, 1.883131983845135]  | 11.9610120441046899|      0.00195312|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      20|[2.5969682241910856, 1.6088043436027102, 2.634275958927595, 1.8813816860923538] | 11.9384957484804826|      0.00390625|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
