k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.12500000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.06250000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.03125000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.01562500|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00781250|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00390625|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00195312|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00097656|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00048828|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00024414|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00012207|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.100000706183525, 0.0001119564902387, 1000.0000044734354, -100.0000026954338] |  5.2261049830934851|      0.00024414|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[0.100000706183525, 0.0001119564902387, 1000.0000044734354, -100.0000026954338] |  5.2261049830934851|      0.00012207|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      16|[0.100000706183525, 0.0001119564902387, 1000.0000044734354, -100.0000026954338] |  5.2261049830934851|      0.00006104|[80, 0, 16, 32]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      17|[0.100000706183525, 0.0001119564902387, 1000.0000044734354, -100.0000026954338] |  5.2261049830934851|      0.00003052|[85, 0, 17, 34]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      18|[0.100000706183525, 0.0001119564902387, 1000.0000044734354, -100.0000026954338] |  5.2261049830934851|      0.00001526|[90, 0, 18, 36]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      19|[0.1000021136251521, 0.0001271344202132, 1000.0000051179929, -100.00000244099508]|  5.1596397241264569|      0.00003052|[95, 0, 19, 38]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      20|[0.1000021136251521, 0.0001271344202132, 1000.0000051179929, -100.00000244099508]|  5.1596397241264569|      0.00001526|[100, 0, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=0
