k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.50000000|[76, 5, 1, 6]                                                              |  | used linear model with 81 points | iterate failure | actual_k=1
       2|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.25000000|[152, 10, 2, 12]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       3|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.12500000|[228, 15, 3, 18]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       4|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.06250000|[304, 20, 4, 24]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       5|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.03125000|[380, 25, 5, 30]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       6|[1.0251099938655839, 0.0204528949311193, 0.0076371336492572, 0.0224459971489187, 0.4267615220435508, 0.018813013811606, 0.8018948085367098, 0.0189559491824624, 0.2232984042151754, 0.0189459605917991, 2.6906272663065756, 0.0202170677327942, 0.8017010650986782, 0.0218544056011877, 2.2656274319770113, 0.0195797350871818, 14.355340652928067, 0.0349910313170447, 12.1630596030859, 0.0363216770123895, 0.2781594532294767, 0.0215210403307126, 0.2416246867183811, 0.0162244352745626, 1.1655025291982903, 0.0191131989536807, 0.1766360376238411, 0.0208678709663211, 0.1118508184563395, 0.0169598574018952, 3.7485806230930203, 0.0221576448613227, 0.8304754202942816, 0.0173652403789879, 0.1559977591312444, 0.021407969057485, 0.3839656888203584, 0.0170563765607499, 0.9274199199708443, 0.0200833151624884, 0.2661366269777311, 0.017710432230476, 2.0732875521524092, 0.0204803867349448, 1.94498203704248, 0.0166849946181326, 1.4778879149431925, 0.0172442187172678, 0.4807538132216572, 0.0205639955624881, 0.4862355642909886, 0.024829043707049, 0.3267222251823246, 0.018350644940283, 0.8419187000426074, 0.0222537186628149, 0.4605721515389712, 0.01863691132548, 0.4869454224238491, 0.0175799184050916, 0.9891959070943555, 0.0223164330844047, -0.0185520751552363, 0.0166631855885936, 0.2666765849906187, 0.0223879291569272]|2386434.1297367014922202|      0.06250000|[456, 30, 6, 36]                                                           |  | used linear model with 81 points | iterate success | actual_k=1
       7|[1.0251099938655839, 0.0204528949311193, 0.0076371336492572, 0.0224459971489187, 0.4267615220435508, 0.018813013811606, 0.8018948085367098, 0.0189559491824624, 0.2232984042151754, 0.0189459605917991, 2.6906272663065756, 0.0202170677327942, 0.8017010650986782, 0.0218544056011877, 2.2656274319770113, 0.0195797350871818, 14.355340652928067, 0.0349910313170447, 12.1630596030859, 0.0363216770123895, 0.2781594532294767, 0.0215210403307126, 0.2416246867183811, 0.0162244352745626, 1.1655025291982903, 0.0191131989536807, 0.1766360376238411, 0.0208678709663211, 0.1118508184563395, 0.0169598574018952, 3.7485806230930203, 0.0221576448613227, 0.8304754202942816, 0.0173652403789879, 0.1559977591312444, 0.021407969057485, 0.3839656888203584, 0.0170563765607499, 0.9274199199708443, 0.0200833151624884, 0.2661366269777311, 0.017710432230476, 2.0732875521524092, 0.0204803867349448, 1.94498203704248, 0.0166849946181326, 1.4778879149431925, 0.0172442187172678, 0.4807538132216572, 0.0205639955624881, 0.4862355642909886, 0.024829043707049, 0.3267222251823246, 0.018350644940283, 0.8419187000426074, 0.0222537186628149, 0.4605721515389712, 0.01863691132548, 0.4869454224238491, 0.0175799184050916, 0.9891959070943555, 0.0223164330844047, -0.0185520751552363, 0.0166631855885936, 0.2666765849906187, 0.0223879291569272]|2386434.1297367014922202|      0.03125000|[532, 35, 7, 42]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
       8|[1.025807798573217, 0.0179609035055301, 0.0083608521110058, 0.0266708574455768, 0.4234407982331322, 0.0160901649530463, 0.8023899886356416, 0.017115444885995, 0.2213227137388473, 0.0225641830592567, 2.6944148799825287, 0.0240304950026568, 0.8020292046846443, 0.0223539927139117, 2.2649312767698464, 0.0201414473690039, 14.356331674053616, 0.0537033264270889, 12.166886869550082, 0.0471602665276288, 0.280347534210947, 0.0270844930672307, 0.2426499070665641, 0.0219892470022002, 1.1671498357721206, 0.0226441669447294, 0.1748368641311102, 0.0137734706717419, 0.1136347139568512, 0.0208143756207287, 3.75094924812722, 0.0261084062813891, 0.8340533528063148, 0.016364097382425, 0.1574144473717605, 0.0200321918642512, 0.3815213756519946, 0.0163594735364778, 0.9307104555155942, 0.0228972869679423, 0.2664864841058001, 0.020956641757688, 2.0696847899926505, 0.0231222056701258, 1.9397889150726848, 0.0211273432571378, 1.4745855746228402, 0.0173652324765466, 0.4800825114990666, 0.0216104000988983, 0.4854824151079953, 0.0223377681176025, 0.324932279520225, 0.0202143301762095, 0.8429547242827602, 0.0205368147405347, 0.4565814457068234, 0.017384402868243, 0.4859005515666387, 0.0180442440927158, 0.9892464526651192, 0.027319066483972, -0.0162176040805467, 0.0211794480244722, 0.2657852126699279, 0.0217172118636089]|1962085.2892912239767611|      0.06250000|[608, 40, 8, 48]                                                           |  | used linear model with 81 points | iterate success | actual_k=1
       9|[1.025807798573217, 0.0179609035055301, 0.0083608521110058, 0.0266708574455768, 0.4234407982331322, 0.0160901649530463, 0.8023899886356416, 0.017115444885995, 0.2213227137388473, 0.0225641830592567, 2.6944148799825287, 0.0240304950026568, 0.8020292046846443, 0.0223539927139117, 2.2649312767698464, 0.0201414473690039, 14.356331674053616, 0.0537033264270889, 12.166886869550082, 0.0471602665276288, 0.280347534210947, 0.0270844930672307, 0.2426499070665641, 0.0219892470022002, 1.1671498357721206, 0.0226441669447294, 0.1748368641311102, 0.0137734706717419, 0.1136347139568512, 0.0208143756207287, 3.75094924812722, 0.0261084062813891, 0.8340533528063148, 0.016364097382425, 0.1574144473717605, 0.0200321918642512, 0.3815213756519946, 0.0163594735364778, 0.9307104555155942, 0.0228972869679423, 0.2664864841058001, 0.020956641757688, 2.0696847899926505, 0.0231222056701258, 1.9397889150726848, 0.0211273432571378, 1.4745855746228402, 0.0173652324765466, 0.4800825114990666, 0.0216104000988983, 0.4854824151079953, 0.0223377681176025, 0.324932279520225, 0.0202143301762095, 0.8429547242827602, 0.0205368147405347, 0.4565814457068234, 0.017384402868243, 0.4859005515666387, 0.0180442440927158, 0.9892464526651192, 0.027319066483972, -0.0162176040805467, 0.0211794480244722, 0.2657852126699279, 0.0217172118636089]|1962085.2892912239767611|      0.03125000|[684, 45, 9, 54]                                                           |  | used linear model with 81 points | iterate failure | actual_k=1
      10|[1.0274320535599972, 0.0147135729652134, 0.0101191656111556, 0.0244533431923546, 0.4261799893545095, 0.0169853388169066, 0.8064717126912005, 0.0223412891674333, 0.2191421513368346, 0.0262813294887961, 2.6953170785584466, 0.0265240611112356, 0.8020780299403831, 0.0183032730831336, 2.2625539681417237, 0.0234346064025753, 14.35536552054278, 0.0707034982193833, 12.164445488969198, 0.0607545389778419, 0.2810678092160739, 0.0264048198598073, 0.2404037892043591, 0.0215415130900964, 1.1662210978575156, 0.0227954692704655, 0.1747478906635186, 0.0202168029408667, 0.1141052084583177, 0.0219128433761527, 3.7474992352561713, 0.0334905104932841, 0.8358270202942795, 0.0169020716652266, 0.1585638565558833, 0.0196744831700745, 0.3799643589085858, 0.0182001847418873, 0.9289774202563529, 0.0183817671235591, 0.2635925888363532, 0.0182304838649673, 2.0735838011878114, 0.0221115689698792, 1.9346904023186515, 0.0222941564465623, 1.474095239112917, 0.0180529504795576, 0.4843372854828641, 0.0211969728694855, 0.4874151303773773, 0.01489594841054, 0.3247274762347008, 0.0162199467220684, 0.8432468175841136, 0.0196559164651277, 0.4604063206203576, 0.0169317258623986, 0.4889319668495907, 0.0176247937070937, 0.9916165451149594, 0.0309670844317127, -0.0141861934318026, 0.0201378098175305, 0.2678893320649988, 0.0242103202198043]|1743099.5811271192505956|      0.06250000|[760, 50, 10, 60]                                                          |  | used linear model with 81 points | iterate success | actual_k=1
      11|[1.0274320535599972, 0.0147135729652134, 0.0101191656111556, 0.0244533431923546, 0.4261799893545095, 0.0169853388169066, 0.8064717126912005, 0.0223412891674333, 0.2191421513368346, 0.0262813294887961, 2.6953170785584466, 0.0265240611112356, 0.8020780299403831, 0.0183032730831336, 2.2625539681417237, 0.0234346064025753, 14.35536552054278, 0.0707034982193833, 12.164445488969198, 0.0607545389778419, 0.2810678092160739, 0.0264048198598073, 0.2404037892043591, 0.0215415130900964, 1.1662210978575156, 0.0227954692704655, 0.1747478906635186, 0.0202168029408667, 0.1141052084583177, 0.0219128433761527, 3.7474992352561713, 0.0334905104932841, 0.8358270202942795, 0.0169020716652266, 0.1585638565558833, 0.0196744831700745, 0.3799643589085858, 0.0182001847418873, 0.9289774202563529, 0.0183817671235591, 0.2635925888363532, 0.0182304838649673, 2.0735838011878114, 0.0221115689698792, 1.9346904023186515, 0.0222941564465623, 1.474095239112917, 0.0180529504795576, 0.4843372854828641, 0.0211969728694855, 0.4874151303773773, 0.01489594841054, 0.3247274762347008, 0.0162199467220684, 0.8432468175841136, 0.0196559164651277, 0.4604063206203576, 0.0169317258623986, 0.4889319668495907, 0.0176247937070937, 0.9916165451149594, 0.0309670844317127, -0.0141861934318026, 0.0201378098175305, 0.2678893320649988, 0.0242103202198043]|1743099.5811271192505956|      0.03125000|[836, 55, 11, 66]                                                          |  | used linear model with 81 points | iterate failure | actual_k=1
