k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 5.0, -5.0, -1.0]                                                         |7926693.3369958801195025|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.496754585277685, 4.159932278851431, -4.798641433966891, -0.9779771861401415]|6059501.2741012368351221|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[23.390503247790182, 2.5491031048504684, -4.439797920507996, -0.7484805993616845]|3644448.0777852237224579|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[23.390503247790182, 2.5491031048504684, -4.439797920507996, -0.7484805993616845]|3644448.0777852237224579|      2.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[22.295973900163656, 1.0092075620760919, -3.7997494739492677, -0.6033420084025126]|2708733.0026466026902199|      4.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[22.295973900163656, 1.0092075620760919, -3.7997494739492677, -0.6033420084025126]|2708733.0026466026902199|      2.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[20.926865171836894, 0.9969161182543625, -2.480432088403361, 0.0169739164491457]|2317079.9586377805098891|      4.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[20.926865171836894, 0.9969161182543625, -2.480432088403361, 0.0169739164491457]|2317079.9586377805098891|      2.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[20.926865171836894, 0.9969161182543625, -2.480432088403361, 0.0169739164491457]|2317079.9586377805098891|      1.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[20.396722104205704, 1.8211839770797198, -2.2976472161562973, -0.0612598053572338]|2097612.2815916910767555|      2.00000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
      10|[18.50276398977117, 2.4174780448863524, -2.1491198400830185, -0.249131208244952]|1713550.0509390819352120|      4.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[18.50276398977117, 2.4174780448863524, -2.1491198400830185, -0.249131208244952]|1713550.0509390819352120|      2.00000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[18.50276398977117, 2.4174780448863524, -2.1491198400830185, -0.249131208244952]|1713550.0509390819352120|      1.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[18.02983169800907, 3.2570869488312746, -1.8928128653056326, -0.1736416691980279]|1632316.8400088346097618|      2.00000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[18.02983169800907, 3.2570869488312746, -1.8928128653056326, -0.1736416691980279]|1632316.8400088346097618|      1.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
