k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       2|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.25000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=1
       3|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.12500000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.06250000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[0.9375290365370382, 10.001708644845914, 500.0008421738537]                     |  0.7195538282394409|      0.12500000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[0.9375290365370382, 10.001708644845914, 500.0008421738537]                     |  0.7195538282394409|      0.06250000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[0.8751823607561698, 10.004875160668586, 500.00386131224406]                    |  0.7169824242591858|      0.12500000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[0.8751823607561698, 10.004875160668586, 500.00386131224406]                    |  0.7169824242591858|      0.06250000|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.8128053519007763, 10.00804481765412, 500.0061660987522]                      |  0.7145905494689941|      0.12500000|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.8128053519007763, 10.00804481765412, 500.0061660987522]                      |  0.7145905494689941|      0.06250000|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.7504623905086382, 10.011876833425903, 500.00838439088426]                    |  0.7123780846595764|      0.12500000|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[0.7504623905086382, 10.011876833425903, 500.00838439088426]                    |  0.7123780846595764|      0.06250000|[74, 24, 1, 25]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.6880119802020921, 10.013985168686661, 500.00706107120544]                    |  0.7103468179702759|      0.12500000|[80, 26, 1, 27]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.6880119802020921, 10.013985168686661, 500.00706107120544]                    |  0.7103468179702759|      0.06250000|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.6255667438133339, 10.015960271174672, 500.0087761287887]                     |  0.7084910273551941|      0.12500000|[92, 30, 1, 31]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
