k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.50000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.25000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[1000.0367974069694, 1000.046760558149, 399.81129195202425, 40.10120230206626, 0.7478670330513125, 0.2674372914405898, -0.0687683394906273]|1245280.3750000000000000|      0.50000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[1000.0367974069694, 1000.046760558149, 399.81129195202425, 40.10120230206626, 0.7478670330513125, 0.2674372914405898, -0.0687683394906273]|1245280.3750000000000000|      0.25000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[1000.0367974069694, 1000.046760558149, 399.81129195202425, 40.10120230206626, 0.7478670330513125, 0.2674372914405898, -0.0687683394906273]|1245280.3750000000000000|      0.12500000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[1000.0367974069694, 1000.046760558149, 399.81129195202425, 40.10120230206626, 0.7478670330513125, 0.2674372914405898, -0.0687683394906273]|1245280.3750000000000000|      0.06250000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[1000.0367974069694, 1000.046760558149, 399.81129195202425, 40.10120230206626, 0.7478670330513125, 0.2674372914405898, -0.0687683394906273]|1245280.3750000000000000|      0.03125000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[1000.0476461959753, 1000.0513934145796, 399.80602010983205, 40.110340094513084, 0.7726235378918264, 0.266785513358054, -0.0581475108548049]|1179453.0000000000000000|      0.06250000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[1000.0476461959753, 1000.0513934145796, 399.80602010983205, 40.110340094513084, 0.7726235378918264, 0.266785513358054, -0.0581475108548049]|1179453.0000000000000000|      0.03125000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[1000.0425227708477, 1000.0532921615993, 399.79085957502735, 40.107764805221684, 0.7887355939095259, 0.2836665852809482, -0.0710185988365633]|1151068.1250000000000000|      0.06250000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[1000.0156806444364, 1000.0352880803553, 399.7680151117321, 40.10906768572521, 0.830273123188101, 0.2979089889542685, -0.0912627067808764]|1121624.2500000000000000|      0.12500000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[1000.0156806444364, 1000.0352880803553, 399.7680151117321, 40.10906768572521, 0.830273123188101, 0.2979089889542685, -0.0912627067808764]|1121624.2500000000000000|      0.06250000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[1000.0156806444364, 1000.0352880803553, 399.7680151117321, 40.10906768572521, 0.830273123188101, 0.2979089889542685, -0.0912627067808764]|1121624.2500000000000000|      0.03125000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[1000.0093619110575, 1000.0387670692112, 399.7523659949338, 40.102311677926885, 0.8435010032800414, 0.2765086031193459, -0.0922829623755244]|1080542.0000000000000000|      0.06250000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[1000.0093619110575, 1000.0387670692112, 399.7523659949338, 40.102311677926885, 0.8435010032800414, 0.2765086031193459, -0.0922829623755244]|1080542.0000000000000000|      0.03125000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[1000.0083405372615, 1000.0432464755806, 399.75496575613386, 40.10310913233566, 0.8674774016476747, 0.2806834085680739, -0.0734212858037996]|1061723.2500000000000000|      0.06250000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[1000.007170849024, 1000.0335438808105, 399.7848899099973, 40.09881091855407, 0.9122957216838119, 0.2780766166630488, -0.1031085673079048]|1010031.3125000000000000|      0.12500000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      18|[1000.007170849024, 1000.0335438808105, 399.7848899099973, 40.09881091855407, 0.9122957216838119, 0.2780766166630488, -0.1031085673079048]|1010031.3125000000000000|      0.06250000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      19|[1000.007170849024, 1000.0335438808105, 399.7848899099973, 40.09881091855407, 0.9122957216838119, 0.2780766166630488, -0.1031085673079048]|1010031.3125000000000000|      0.03125000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      20|[1000.007170849024, 1000.0335438808105, 399.7848899099973, 40.09881091855407, 0.9122957216838119, 0.2780766166630488, -0.1031085673079048]|1010031.3125000000000000|      0.01562500|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      21|[1000.007170849024, 1000.0335438808105, 399.7848899099973, 40.09881091855407, 0.9122957216838119, 0.2780766166630488, -0.1031085673079048]|1010031.3125000000000000|      0.00781250|[169, 0, 0, 42]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      22|[1000.0052201212927, 1000.0373442800659, 399.7859294582338, 40.10381265862413, 0.9098347097920059, 0.2807051009391492, -0.1011790052637155]|1008006.9375000000000000|      0.01562500|[177, 0, 0, 44]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      23|[1000.0052201212927, 1000.0373442800659, 399.7859294582338, 40.10381265862413, 0.9098347097920059, 0.2807051009391492, -0.1011790052637155]|1008006.9375000000000000|      0.00781250|[185, 0, 0, 46]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      24|[1000.003572755509, 1000.0384911837868, 399.78837008221103, 40.100072390242616, 0.9143655562300957, 0.2845952238102255, -0.1023614077831716]|1004984.0000000000000000|      0.01562500|[193, 0, 0, 48]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      25|[1000.003572755509, 1000.0384911837868, 399.78837008221103, 40.100072390242616, 0.9143655562300957, 0.2845952238102255, -0.1023614077831716]|1004984.0000000000000000|      0.00781250|[201, 0, 0, 50]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      26|[1000.003572755509, 1000.0384911837868, 399.78837008221103, 40.100072390242616, 0.9143655562300957, 0.2845952238102255, -0.1023614077831716]|1004984.0000000000000000|      0.00390625|[209, 0, 0, 52]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
