k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.0641168384, 0.02, 4.0641168384, 0.16497222, 0.02, 0.16497222, 1.1602949687, 0.02, 1.1602949687, 0.26776527, 0.02, 0.26776527, 0.31204919, 0.02, 0.31204919, 0.073935213, 0.02, 0.073935213, 0.23024068, 0.02, 0.23024068, 1.3683044425, 0.02, 1.3683044425, 0.25260505, 0.02, 0.25260505, 1.1600613899, 0.02, 1.1600613899, 0.046139967, 0.02, 0.046139967, 0.12450694, 0.02, 0.12450694, 0.29665794, 0.02, 0.29665794, 0.09209888, 0.02, 0.09209888, 0.10680955, 0.02, 0.10680955, 0.53729835, 0.02, 0.53729835, 0.0032518929, 0.02, 0.0032518929, 0.087101117, 0.02, 0.087101117, 0.1011676, 0.02, 0.1011676, 0.025500784, 0.02, 0.025500784, 0.095961864, 0.02, 0.095961864, 0.27293359, 0.02, 0.27293359, 0.39239373, 0.02, 0.39239373, 0.1295583, 0.02, 0.1295583, 0.041123179, 0.02, 0.041123179, 0.29625891, 0.02, 0.29625891, 0.089238179, 0.02, 0.089238179, 0.2772403, 0.02, 0.2772403, 0.05829792, 0.02, 0.05829792, 0.14615847, 0.02, 0.14615847, 0.17082536, 0.02, 0.17082536, 0.13884257, 0.02, 0.13884257, 0.38162104, 0.02, 0.38162104]|150235.7958013504103292|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.0641168384, 0.02, 4.0641168384, 0.16497222, 0.02, 0.16497222, 1.1602949687, 0.02, 1.1602949687, 0.26776527, 0.02, 0.26776527, 0.31204919, 0.02, 0.31204919, 0.073935213, 0.02, 0.073935213, 0.23024068, 0.02, 0.23024068, 1.3683044425, 0.02, 1.3683044425, 0.25260505, 0.02, 0.25260505, 1.1600613899, 0.02, 1.1600613899, 0.046139967, 0.02, 0.046139967, 0.12450694, 0.02, 0.12450694, 0.29665794, 0.02, 0.29665794, 0.09209888, 0.02, 0.09209888, 0.10680955, 0.02, 0.10680955, 0.53729835, 0.02, 0.53729835, 0.0032518929, 0.02, 0.0032518929, 0.087101117, 0.02, 0.087101117, 0.1011676, 0.02, 0.1011676, 0.025500784, 0.02, 0.025500784, 0.095961864, 0.02, 0.095961864, 0.27293359, 0.02, 0.27293359, 0.39239373, 0.02, 0.39239373, 0.1295583, 0.02, 0.1295583, 0.041123179, 0.02, 0.041123179, 0.29625891, 0.02, 0.29625891, 0.089238179, 0.02, 0.089238179, 0.2772403, 0.02, 0.2772403, 0.05829792, 0.02, 0.05829792, 0.14615847, 0.02, 0.14615847, 0.17082536, 0.02, 0.17082536, 0.13884257, 0.02, 0.13884257, 0.38162104, 0.02, 0.38162104]|150235.7958013504103292|      0.50000000|[113, 0, 1, 8]                                                             |  | used linear model with 113 points | iterate failure | actual_k=0
       2|[4.0641168384, 0.02, 4.0641168384, 0.16497222, 0.02, 0.16497222, 1.1602949687, 0.02, 1.1602949687, 0.26776527, 0.02, 0.26776527, 0.31204919, 0.02, 0.31204919, 0.073935213, 0.02, 0.073935213, 0.23024068, 0.02, 0.23024068, 1.3683044425, 0.02, 1.3683044425, 0.25260505, 0.02, 0.25260505, 1.1600613899, 0.02, 1.1600613899, 0.046139967, 0.02, 0.046139967, 0.12450694, 0.02, 0.12450694, 0.29665794, 0.02, 0.29665794, 0.09209888, 0.02, 0.09209888, 0.10680955, 0.02, 0.10680955, 0.53729835, 0.02, 0.53729835, 0.0032518929, 0.02, 0.0032518929, 0.087101117, 0.02, 0.087101117, 0.1011676, 0.02, 0.1011676, 0.025500784, 0.02, 0.025500784, 0.095961864, 0.02, 0.095961864, 0.27293359, 0.02, 0.27293359, 0.39239373, 0.02, 0.39239373, 0.1295583, 0.02, 0.1295583, 0.041123179, 0.02, 0.041123179, 0.29625891, 0.02, 0.29625891, 0.089238179, 0.02, 0.089238179, 0.2772403, 0.02, 0.2772403, 0.05829792, 0.02, 0.05829792, 0.14615847, 0.02, 0.14615847, 0.17082536, 0.02, 0.17082536, 0.13884257, 0.02, 0.13884257, 0.38162104, 0.02, 0.38162104]|150235.7958013504103292|      0.25000000|[226, 0, 2, 16]                                                            |  | used linear model with 113 points | iterate failure | actual_k=0
       3|[4.0641168384, 0.02, 4.0641168384, 0.16497222, 0.02, 0.16497222, 1.1602949687, 0.02, 1.1602949687, 0.26776527, 0.02, 0.26776527, 0.31204919, 0.02, 0.31204919, 0.073935213, 0.02, 0.073935213, 0.23024068, 0.02, 0.23024068, 1.3683044425, 0.02, 1.3683044425, 0.25260505, 0.02, 0.25260505, 1.1600613899, 0.02, 1.1600613899, 0.046139967, 0.02, 0.046139967, 0.12450694, 0.02, 0.12450694, 0.29665794, 0.02, 0.29665794, 0.09209888, 0.02, 0.09209888, 0.10680955, 0.02, 0.10680955, 0.53729835, 0.02, 0.53729835, 0.0032518929, 0.02, 0.0032518929, 0.087101117, 0.02, 0.087101117, 0.1011676, 0.02, 0.1011676, 0.025500784, 0.02, 0.025500784, 0.095961864, 0.02, 0.095961864, 0.27293359, 0.02, 0.27293359, 0.39239373, 0.02, 0.39239373, 0.1295583, 0.02, 0.1295583, 0.041123179, 0.02, 0.041123179, 0.29625891, 0.02, 0.29625891, 0.089238179, 0.02, 0.089238179, 0.2772403, 0.02, 0.2772403, 0.05829792, 0.02, 0.05829792, 0.14615847, 0.02, 0.14615847, 0.17082536, 0.02, 0.17082536, 0.13884257, 0.02, 0.13884257, 0.38162104, 0.02, 0.38162104]|150235.7958013504103292|      0.12500000|[339, 0, 3, 24]                                                            |  | used linear model with 113 points | iterate failure | actual_k=0
       4|[4.0641168384, 0.02, 4.0641168384, 0.16497222, 0.02, 0.16497222, 1.1602949687, 0.02, 1.1602949687, 0.26776527, 0.02, 0.26776527, 0.31204919, 0.02, 0.31204919, 0.073935213, 0.02, 0.073935213, 0.23024068, 0.02, 0.23024068, 1.3683044425, 0.02, 1.3683044425, 0.25260505, 0.02, 0.25260505, 1.1600613899, 0.02, 1.1600613899, 0.046139967, 0.02, 0.046139967, 0.12450694, 0.02, 0.12450694, 0.29665794, 0.02, 0.29665794, 0.09209888, 0.02, 0.09209888, 0.10680955, 0.02, 0.10680955, 0.53729835, 0.02, 0.53729835, 0.0032518929, 0.02, 0.0032518929, 0.087101117, 0.02, 0.087101117, 0.1011676, 0.02, 0.1011676, 0.025500784, 0.02, 0.025500784, 0.095961864, 0.02, 0.095961864, 0.27293359, 0.02, 0.27293359, 0.39239373, 0.02, 0.39239373, 0.1295583, 0.02, 0.1295583, 0.041123179, 0.02, 0.041123179, 0.29625891, 0.02, 0.29625891, 0.089238179, 0.02, 0.089238179, 0.2772403, 0.02, 0.2772403, 0.05829792, 0.02, 0.05829792, 0.14615847, 0.02, 0.14615847, 0.17082536, 0.02, 0.17082536, 0.13884257, 0.02, 0.13884257, 0.38162104, 0.02, 0.38162104]|150235.7958013504103292|      0.06250000|[452, 0, 4, 32]                                                            |  | used linear model with 113 points | iterate failure | actual_k=0
       5|[4.064565975035084, 0.0668072628126652, 4.0642631933403734, 0.162007274018571, 0.0185010413476084, 0.1655863836681151, 1.1529754917790684, 0.028729111207134, 1.1625796752189013, 0.2631159191236339, 0.0140815478520962, 0.2694157203419803, 0.3142517663369, 0.0164541180486265, 0.3088006270128549, 0.0729114478191659, 0.0227763608227623, 0.0734356442106448, 0.2327115782529017, 0.012600207500018, 0.2285840934096824, 1.3605364830576032, 0.0229006921094177, 1.3674553539879486, 0.2460847503521757, 0.0169871044576599, 0.2592211322289794, 1.1597652246369239, 0.0185330548637201, 1.154916605622967, 0.0494832079395571, 0.0211335733258577, 0.0474308756240915, 0.1260657137509158, 0.0130479532447228, 0.1146679980939326, 0.2980901974215538, 0.0201972693913649, 0.2985716316087073, 0.0871488898675761, 0.0210625540271979, 0.0882145620116426, 0.1052599948267756, 0.0209090381419313, 0.0999972095649831, 0.5396050212136915, 0.0177589930169683, 0.5355733711928167, 0.0035197871253204, 0.0217084994522903, 0.0024961911389061, 0.0848581689330962, 0.0212089831679633, 0.0903629547881811, 0.1030212338845337, 0.0174506897764703, 0.1036309741650788, 0.0313290857490174, 0.0215895919406497, 0.0319560499822964, 0.1000090144679264, 0.022275696332006, 0.098050738501708, 0.2690576349792196, 0.0236712252509241, 0.2699829941988257, 0.3869595735303368, 0.0223361139307392, 0.3901530190186944, 0.1342823196751644, 0.0212401239105971, 0.1234678748900922, 0.0383018914792615, 0.0213006067149043, 0.04095652760162, 0.2955267807961441, 0.0251879100546836, 0.2989677368852333, 0.0879198360396097, 0.0154971295405263, 0.0912465838339503, 0.2829433082122959, 0.0183097531467101, 0.2780866490394096, 0.0597821802412532, 0.0258405450307426, 0.0566611471433586, 0.1486651998204982, 0.0057891144172495, 0.1540668385437626, 0.1838278712011894, 0.0184426222336137, 0.17156937794381, 0.1381989267927124, 0.0214837475440207, 0.1425741967034753, 0.3857949567664257, 0.021357364058809, 0.3880158806235223]|44574.0691782542271540|      0.12500000|[565, 0, 5, 40]                                                            |  | used linear model with 113 points | iterate success | actual_k=0
       6|[4.067520199615292, 0.1595522142827051, 4.052909109779946, 0.1638121764340308, 0.0290365115026199, 0.156663174242361, 1.1504351621502473, 0.0213357989177851, 1.1706960343808632, 0.2735980060082659, 0.0180918125540105, 0.2705950984212035, 0.3064298982387937, 0.0162795957883765, 0.3075455868084246, 0.0672819293511474, 0.0170295620222099, 0.0786689813211103, 0.2287761784191895, 0.0202081326171594, 0.2151904756459738, 1.354640711805777, 0.0134051669447627, 1.3658791664597563, 0.242480514212525, 0.0044275485055236, 0.2498205382977438, 1.1589524743828081, 0.0172832390389583, 1.133797215953086, 0.0464083254600373, 0.0137329960079747, 0.0545741719709109, 0.133203402601811, 0.015448882519627, 0.1090834269631062, 0.3003557710600421, 0.0323616062028676, 0.3150050224048053, 0.0746590826569991, 0.0134454016597517, 0.1071838318145955, 0.1114789242159487, 0.0244292025829623, 0.1127127707993313, 0.5544457491661373, 0.0106319263149168, 0.526207068318663, 0.0082541537751261, 0.0242731344188107, -0.0114720262577291, 0.0935173042067313, 0.0281938736377018, 0.0982960441010504, 0.100596737759673, 0.0249898965227318, 0.09885276138028, 0.0328044032551861, 0.0425471259314277, 0.0380722796438533, 0.1037730998760249, 0.0397650744616295, 0.100094978515091, 0.2535768725752616, 0.012284665929893, 0.2623753150155066, 0.3938282643725532, 0.029164110521987, 0.3933757629229442, 0.1368413740687679, 0.0253533272682118, 0.1241884970173967, 0.0309905074404801, 0.0286712137509038, 0.04731177624278, 0.3031274007661409, 0.0255268033588641, 0.2990770386037317, 0.0864172242270019, 0.0122662932282004, 0.0927595082595099, 0.2917336631259599, 0.014433129759708, 0.2883058643119162, 0.0582649015654897, 0.0109316533209131, 0.0560181960110249, 0.1482452702408151, 0.0206990229690194, 0.1642620393728919, 0.1970604001751856, 0.0158097748827686, 0.1742445404745653, 0.144227790480849, 0.0193375382029164, 0.1379696317837582, 0.4003953414432354, 0.0178930696655518, 0.3991049353806108]|18310.6737262810820539|      0.25000000|[678, 0, 6, 48]                                                            |  | used linear model with 113 points | iterate success | actual_k=0
       7|[4.056969463159383, 0.3386325041614914, 4.060019289892805, 0.1668578479011922, 0.0405826451790931, 0.113123009545565, 1.1473708040205082, 0.0099936629008766, 1.2171469812703177, 0.2765014112263117, 0.018125965922819, 0.2766084040578439, 0.3164065237786389, 0.0282992539161462, 0.3139948382743747, 0.0893242876965614, 0.0124398803839073, 0.0717242295997002, 0.2167098717936727, 0.0046668818938168, 0.2164665081932333, 1.3566407769185909, 0.0355659963709777, 1.3605244377115175, 0.2027108863139857, 0.0119645388681842, 0.2410156071779077, 1.174926567881885, 0.0043488707032628, 1.1217066347513212, 0.0598067028113139, 0.0297654310245858, 0.0465159339885822, 0.136776408674102, -0.0106803771661604, 0.1088811812467703, 0.3025091556090673, 0.026281538371868, 0.3143641465472826, 0.0549007472484353, 0.019863452672737, 0.1268788162324913, 0.127728645451815, 0.0247090578196143, 0.1151071075628822, 0.5590506506286542, -0.0138454033556327, 0.5046748009704632, 0.0347457502797704, 0.0218323188262203, -0.025263669207389, 0.0718849838115376, 0.0336739511895874, 0.0956950841367097, 0.0642179669129146, 0.0266591492935826, 0.1036255656679408, 0.033796426857161, 0.0441905374913112, 0.0255853835238522, 0.0848280787344247, 0.0810319644675581, 0.1002552943067882, 0.2487413426071479, 0.0071242689380745, 0.2638660491229768, 0.3635271425236793, 0.0035130996923174, 0.3795728214924176, 0.120035776686602, 0.0120591110745538, 0.1224560435749452, 0.0191270223781563, 0.0343348641304612, 0.0614285038765929, 0.318994184673431, 0.052439357041369, 0.3003785478341223, 0.0808132500163436, 0.0354029908055567, 0.1403484975466161, 0.2887134561321469, 0.0227702217294607, 0.2867638699628718, 0.0392998877830908, 0.0474998857214257, 0.0140970409546446, 0.1246250039184165, 0.0364469885133391, 0.1487611711561402, 0.1835349556536047, 0.0371515951613328, 0.1701895644257934, 0.1518529509891203, 0.0294574414629233, 0.145249161545994, 0.409777376989095, 0.0386323663342445, 0.3669195066970041]|8235.8405402198914089|      0.50000000|[791, 0, 7, 56]                                                            |  | used linear model with 113 points | iterate success | actual_k=0
       8|[3.991777842225003, 0.7353786008842091, 4.081671089898115, 0.1504509230109592, 0.0017698391691734, 0.1373143014815615, 1.1932706619805895, -0.0162277432049088, 1.2213127829666357, 0.2231338087925353, 0.0148657755365467, 0.2792715370357424, 0.3139328234098843, 0.019746264049022, 0.3213607054058897, 0.1108166559374238, -0.0369266095724335, 0.09471406118513, 0.2495974131426322, 0.0134021296140773, 0.1678702467325239, 1.3486168647076298, 0.0039213964115278, 1.319597578639668, 0.2602675506354577, -0.0280093178735264, 0.2262099429020428, 1.2425647144035243, 0.0134718842394407, 1.101010829873036, 0.0429924456118735, 0.0716661567775297, 0.0835216875274766, 0.0812544531399548, 0.0072067097034786, 0.1011844306362004, 0.3290887524553785, -0.0082156830976548, 0.3564075044455856, 0.0458370202495328, 0.0057615685499204, 0.150265945462569, 0.1074250292231156, 0.0069519637046625, 0.1186906441835109, 0.5341399539225817, -0.003100984485041, 0.4849631884279068, 0.0356945684380179, 0.0451852252399425, -0.0463340618773843, 0.1077087036919394, 0.0537217226060734, 0.0513470364751081, 0.0895340810257046, -0.0208601634235041, 0.0946833235739436, 0.0114537458741932, 0.0477317900032394, -0.0199064060831574, 0.0670429490813068, 0.0769075663961041, 0.1166463647059918, 0.2554785960933872, 0.0301401627249082, 0.2665218994798411, 0.3538757182906098, 0.0055962443535659, 0.4401144343473559, 0.1146134713259259, 0.019314256421702, 0.1141682657298964, -0.0081622330949189, 0.0301769012307681, 0.0563927600250133, 0.277150598599173, 0.0264571660604072, 0.2898398072479771, 0.0903246920528777, 0.0646373191542306, 0.1772005954745186, 0.3479364054691628, -0.0138817322610374, 0.3063360560352992, 0.0986526092067045, 0.0022643129629099, -0.0467681467878741, 0.1361994524956793, 0.0023386876496486, 0.1280488368857695, 0.1629368698387999, 0.0627660016570596, 0.2032150887819245, 0.0998297289950477, 0.0269230025139452, 0.129473150389497, 0.4364325682428616, 0.0213772489570398, 0.4240913005854932]|3332.7431640782538125|      1.00000000|[904, 0, 8, 64]                                                            |  | used linear model with 113 points | iterate success | actual_k=0
       9|[3.8985957525576285, 1.4392980887353597, 4.020671319684894, 0.0181397640151411, -0.1031077547433642, 0.0705043285651696, 1.2629847305246458, -0.005497688830014, 1.1823710878084954, 0.0911469031805597, 0.0849783140980004, 0.3143058628886259, 0.2160349532870646, 0.0278318246295677, 0.3387346635570426, 0.010295489394621, -0.0241760793487099, -0.0206084404426378, 0.3969823752932494, 0.0053473079274011, 0.1467953062507315, 1.444507064371015, -0.0893665934682807, 1.2506752133989938, 0.302991960244916, -0.1416283266520457, 0.3380816711577653, 1.194582929463123, 0.076918963506111, 1.145276588738793, 0.0615394429424236, -0.020684941751979, -0.052117153385559, 0.0293376815480297, -0.0224527842029295, 0.1350387488271531, 0.311007913147406, -0.0197135907418034, 0.35580090991203, 0.1128635673800365, -0.1599930426868127, 0.1652506879163086, 0.2149592725708154, -0.0253001897645973, 0.0579209661050055, 0.5352125250813153, 0.0038228655835986, 0.4466589950515513, -0.0240173568423785, -0.005950579554691, -0.1319960067606993, 0.1128493190348916, 0.0874984483803835, -0.0070960325847253, 0.0376764515993976, 0.0613403753702416, 0.0071671637289506, 0.0354127383490195, 0.1315780475274133, 0.0908578934962453, 0.100560380376713, 7.97770981113e-05, 0.1610983479158742, 0.2326608592166169, 0.0398266263063273, 0.323394604361334, 0.3192890637027246, -0.0072912960085352, 0.3828902049204165, 0.1688511025012438, -0.0617696303436647, 0.0299598007347632, -0.0579915241377195, 0.104537237449997, 0.1748110210168621, 0.3574316060388165, 0.0697388359563855, 0.2238972252290823, 0.2216330441729792, 0.0093506453017492, 0.150097722149454, 0.3005259582265414, -0.097224828820232, 0.3502644380137827, 0.2101665949335421, -0.0883610415657139, 0.0078035387297076, 0.1157556286390789, 0.0645944671165228, 0.1878259332172798, 0.227043049137683, 0.0766620542349147, 0.132020066327707, 0.1259752488879916, 0.0616823944767571, 0.258810166419934, 0.3389163196782562, 0.0635828700305881, 0.3474737643751291]|1366.8871056214386499|      2.00000000|[1017, 0, 9, 72]                                                           |  | used linear model with 113 points | iterate success | actual_k=0
      10|[3.229945401559746, 2.708510111726852, 3.8271990860771514, 0.0930602217997117, -0.0683688404664638, -0.0400603153554913, 1.177695580600716, 0.086605201620451, 1.1678023183806863, 0.1911818410569786, 0.1078842262828804, 0.4128727761604253, 0.243571581663863, -0.1738088844396386, 0.2305442556193901, 0.0070518671423165, -0.1577594623772867, -0.274604861974838, 0.3871716817046014, -0.0722611463661098, 0.0760114712354143, 1.586585580952251, -0.2874188006447104, 1.0933812222572876, 0.2798315337442605, -0.5026656055976755, 0.3349068407667697, 1.2044409243658123, 0.0505775283223036, 1.0506170561717483, -0.0211049993860528, -0.1273041873543647, -0.012243383775592, 0.1921093837817701, -0.2379370778204086, 0.0165715619029943, 0.0568126229767245, -0.0032355064910083, 0.4345302012688472, 0.0645892389060334, 0.1312058648294845, 0.2177824084830844, -0.0514845215921837, -0.1626157542200691, -0.2466172115611327, 0.3139228983058078, -0.1705790393263511, 0.3066886925291247, 0.140659148725151, 0.0655256403903258, -0.2130190409305878, 0.1987252592559379, 0.1233106154067443, 0.073206862069616, -0.2078201012118951, 0.1831049194460095, -0.0897019129628907, 0.1624699267088359, 0.0690366317948769, 0.1489046850380309, 0.2204669621246929, -0.3969583411045621, 0.265846749036264, 0.4175452314526658, 0.1147377553538001, 0.4976740322988459, 0.2650245845775346, -0.1770704072308591, 0.3537149052639021, 0.1278542475801109, -0.2134658426647715, 0.0213943907664161, -0.2044062111065048, 0.0060367735053295, 0.288560277472836, 0.5932078977851118, 0.2380365541118969, 0.2818313805259253, 0.1570093998325257, 0.0749861443873073, 0.2033850235638914, 0.3523966816610712, 0.0099303938585592, 0.1721919357839409, -0.0151388717549693, -0.0039917909700962, -0.0214975083370119, -0.043219154435455, -0.1546404673535776, 0.1600997244682265, 0.1879300288895125, 0.1234462588181318, 0.0611238722717918, 0.2423273873788291, 0.0038272220071967, 0.0588717437025943, 0.2456275058816842, -0.1620059302404314, 0.4457705683887656]|518.2609752602046456|      4.00000000|[1130, 0, 10, 80]                                                          |  | used linear model with 113 points | iterate success | actual_k=0
      11|[3.229945401559746, 2.708510111726852, 3.8271990860771514, 0.0930602217997117, -0.0683688404664638, -0.0400603153554913, 1.177695580600716, 0.086605201620451, 1.1678023183806863, 0.1911818410569786, 0.1078842262828804, 0.4128727761604253, 0.243571581663863, -0.1738088844396386, 0.2305442556193901, 0.0070518671423165, -0.1577594623772867, -0.274604861974838, 0.3871716817046014, -0.0722611463661098, 0.0760114712354143, 1.586585580952251, -0.2874188006447104, 1.0933812222572876, 0.2798315337442605, -0.5026656055976755, 0.3349068407667697, 1.2044409243658123, 0.0505775283223036, 1.0506170561717483, -0.0211049993860528, -0.1273041873543647, -0.012243383775592, 0.1921093837817701, -0.2379370778204086, 0.0165715619029943, 0.0568126229767245, -0.0032355064910083, 0.4345302012688472, 0.0645892389060334, 0.1312058648294845, 0.2177824084830844, -0.0514845215921837, -0.1626157542200691, -0.2466172115611327, 0.3139228983058078, -0.1705790393263511, 0.3066886925291247, 0.140659148725151, 0.0655256403903258, -0.2130190409305878, 0.1987252592559379, 0.1233106154067443, 0.073206862069616, -0.2078201012118951, 0.1831049194460095, -0.0897019129628907, 0.1624699267088359, 0.0690366317948769, 0.1489046850380309, 0.2204669621246929, -0.3969583411045621, 0.265846749036264, 0.4175452314526658, 0.1147377553538001, 0.4976740322988459, 0.2650245845775346, -0.1770704072308591, 0.3537149052639021, 0.1278542475801109, -0.2134658426647715, 0.0213943907664161, -0.2044062111065048, 0.0060367735053295, 0.288560277472836, 0.5932078977851118, 0.2380365541118969, 0.2818313805259253, 0.1570093998325257, 0.0749861443873073, 0.2033850235638914, 0.3523966816610712, 0.0099303938585592, 0.1721919357839409, -0.0151388717549693, -0.0039917909700962, -0.0214975083370119, -0.043219154435455, -0.1546404673535776, 0.1600997244682265, 0.1879300288895125, 0.1234462588181318, 0.0611238722717918, 0.2423273873788291, 0.0038272220071967, 0.0588717437025943, 0.2456275058816842, -0.1620059302404314, 0.4457705683887656]|518.2609752602046456|      2.00000000|[1243, 0, 11, 88]                                                          |  | used linear model with 113 points | iterate failure | actual_k=0
