k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.4661905834243132, 0.1050512680438341, 0.0266676319913528, -0.3257816389219892, 0.5725342758993947, 0.1975434655677568, -0.4560439585489777, 0.2993753779746881, 0.0191077266958834]|342350.8871915558120236|      2.00000000|[10, 0, 1, 2]                                                              |  | used linear model with 10 points | iterate success | actual_k=1
       2|[-0.4661905834243132, 0.1050512680438341, 0.0266676319913528, -0.3257816389219892, 0.5725342758993947, 0.1975434655677568, -0.4560439585489777, 0.2993753779746881, 0.0191077266958834]|342350.8871915558120236|      1.00000000|[19, 1, 2, 4]                                                              |  | used linear model with 10 points | iterate failure | actual_k=1
       3|[-0.4661905834243132, 0.1050512680438341, 0.0266676319913528, -0.3257816389219892, 0.5725342758993947, 0.1975434655677568, -0.4560439585489777, 0.2993753779746881, 0.0191077266958834]|342350.8871915558120236|      0.50000000|[28, 2, 3, 6]                                                              |  | used linear model with 10 points | iterate failure | actual_k=1
       4|[-0.6825317492187801, 0.203264300709511, 0.1703690918169424, -0.151998511721788, 0.9045175520741584, 0.2291279692593124, -0.3522867236327678, 0.4400588402468681, 0.0496386692672805]|94540.5238438630767632|      1.00000000|[38, 2, 4, 8]                                                              |  | used linear model with 10 points | iterate success | actual_k=1
       5|[-0.6825317492187801, 0.203264300709511, 0.1703690918169424, -0.151998511721788, 0.9045175520741584, 0.2291279692593124, -0.3522867236327678, 0.4400588402468681, 0.0496386692672805]|94540.5238438630767632|      0.50000000|[47, 3, 5, 10]                                                             |  | used linear model with 10 points | iterate failure | actual_k=1
       6|[-0.6825317492187801, 0.203264300709511, 0.1703690918169424, -0.151998511721788, 0.9045175520741584, 0.2291279692593124, -0.3522867236327678, 0.4400588402468681, 0.0496386692672805]|94540.5238438630767632|      0.25000000|[56, 4, 6, 12]                                                             |  | used linear model with 10 points | iterate failure | actual_k=1
       7|[-0.7196184726758381, 0.1282568942215501, 0.0154281603469517, -0.0646199783019357, 0.904107362148954, 0.1388755508695017, -0.4719148195000063, 0.4453973026502864, 0.0866753508834673]|21994.3623250811251637|      0.50000000|[65, 5, 7, 14]                                                             |  | used linear model with 10 points | iterate success | actual_k=1
       8|[-0.7196184726758381, 0.1282568942215501, 0.0154281603469517, -0.0646199783019357, 0.904107362148954, 0.1388755508695017, -0.4719148195000063, 0.4453973026502864, 0.0866753508834673]|21994.3623250811251637|      0.25000000|[74, 6, 8, 16]                                                             |  | used linear model with 10 points | iterate failure | actual_k=1
       9|[-0.6633123713415324, 0.1553972337608586, 0.025161720721956, -0.0210217790093553, 0.9368300537670832, -0.074456506220175, -0.4954845075115495, 0.3613962715247981, 0.1357103913253544]|7050.4740583824795976|      0.50000000|[84, 6, 9, 18]                                                             |  | used linear model with 10 points | iterate success | actual_k=1
      10|[-0.6633123713415324, 0.1553972337608586, 0.025161720721956, -0.0210217790093553, 0.9368300537670832, -0.074456506220175, -0.4954845075115495, 0.3613962715247981, 0.1357103913253544]|7050.4740583824795976|      0.25000000|[94, 6, 10, 20]                                                            |  | used linear model with 10 points | iterate failure | actual_k=1
      11|[-0.6633123713415324, 0.1553972337608586, 0.025161720721956, -0.0210217790093553, 0.9368300537670832, -0.074456506220175, -0.4954845075115495, 0.3613962715247981, 0.1357103913253544]|7050.4740583824795976|      0.12500000|[103, 7, 11, 22]                                                           |  | used linear model with 10 points | iterate failure | actual_k=1
      12|[-0.6857339693997636, 0.1241966037784685, 0.0291658277041461, 0.0032724047052918, 0.9897612300851879, 0.0086647396457478, -0.4824686456682503, 0.4111325127064994, 0.1012343836243232]|1767.5821245395870847|      0.25000000|[113, 7, 12, 24]                                                           |  | used linear model with 10 points | iterate success | actual_k=1
