k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[-3.9945118099087797, -0.0082626466623886, 3.994756484490266, 0.0225941142879972, -1.9953335804079249, -0.0662628290669905]|  6.5416597021434333|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[-3.9945118099087797, -0.0082626466623886, 3.994756484490266, 0.0225941142879972, -1.9953335804079249, -0.0662628290669905]|  6.5416597021434333|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[-3.9945118099087797, -0.0082626466623886, 3.994756484490266, 0.0225941142879972, -1.9953335804079249, -0.0662628290669905]|  6.5416597021434333|      0.06250000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[-3.9960475115572525, -0.0581218971483518, 3.9934132791301407, 0.0552883933822279, -1.9948836437086785, -0.0848914154937864]|  0.7660198397901752|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[-3.9960475115572525, -0.0581218971483518, 3.9934132791301407, 0.0552883933822279, -1.9948836437086785, -0.0848914154937864]|  0.7660198397901752|      0.06250000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[-3.9960475115572525, -0.0581218971483518, 3.9934132791301407, 0.0552883933822279, -1.9948836437086785, -0.0848914154937864]|  0.7660198397901752|      0.03125000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[-3.9960475115572525, -0.0581218971483518, 3.9934132791301407, 0.0552883933822279, -1.9948836437086785, -0.0848914154937864]|  0.7660198397901752|      0.01562500|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[-3.9961166477948455, -0.0512839300115359, 3.993183783429368, 0.0415592887115623, -1.994637313685005, -0.0819289184387418]|  0.6513032677052774|      0.03125000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[-3.9961166477948455, -0.0512839300115359, 3.993183783429368, 0.0415592887115623, -1.994637313685005, -0.0819289184387418]|  0.6513032677052774|      0.01562500|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[-3.9971684650164216, -0.0660286479573142, 3.99305949136854, 0.0437013237833491, -1.9946313335724843, -0.0865140901590749]|  0.6005814571094309|      0.03125000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
