k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.9321378269318362, -0.7346819397585799, 0.6750090168723949]                  |2131.6229449908419156|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[0.2174954965007637, -0.6121265411067578, -0.9569601605064574]                  |113.1299397602798251|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[0.2174954965007637, -0.6121265411067578, -0.9569601605064574]                  |113.1299397602798251|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.2174954965007637, -0.6121265411067578, -0.9569601605064574]                  |113.1299397602798251|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.2174954965007637, -0.6121265411067578, -0.9569601605064574]                  |113.1299397602798251|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.6758152081706282, -0.5464585639541277, -1.1457212758653519]                  |  3.4296991099156404|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[0.6758152081706282, -0.5464585639541277, -1.1457212758653519]                  |  3.4296991099156404|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.6758152081706282, -0.5464585639541277, -1.1457212758653519]                  |  3.4296991099156404|      0.25000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.6758152081706282, -0.5464585639541277, -1.1457212758653519]                  |  3.4296991099156404|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.742236711619513, -0.5875515681614261, -1.0481274805461374]                   |  1.4141317122203789|      0.25000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[0.742236711619513, -0.5875515681614261, -1.0481274805461374]                   |  1.4141317122203789|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.742236711619513, -0.5875515681614261, -1.0481274805461374]                   |  1.4141317122203789|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.742236711619513, -0.5875515681614261, -1.0481274805461374]                   |  1.4141317122203789|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.742236711619513, -0.5875515681614261, -1.0481274805461374]                   |  1.4141317122203789|      0.01562500|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[0.757236047031616, -0.5854202585257586, -1.0519508405124687]                   |  1.2923094985186192|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
