k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[1.032299158898696, 2.0151062962247557, 1.0815557239370437, 0.9515668090389618, 1.0136769505045142, 1.0718985054096406]|  0.5918948267059403|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[1.1293621560131228, 2.0183565279839186, 1.1310465628972686, 0.7505613668567122, 1.1113144154064636, 1.0980252178765486]|  0.4527793303101054|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       6|[1.1293621560131228, 2.0183565279839186, 1.1310465628972686, 0.7505613668567122, 1.1113144154064636, 1.0980252178765486]|  0.4527793303101054|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[1.1293621560131228, 2.0183565279839186, 1.1310465628972686, 0.7505613668567122, 1.1113144154064636, 1.0980252178765486]|  0.4527793303101054|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[1.1942153119403236, 1.9759039153369835, 1.1042177728654274, 0.7905856776272487, 1.1797448208606152, 1.0469136337895455]|  0.3805886303382051|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[1.2503015001321898, 1.945148962716865, 1.2320082911925618, 0.6747600977894748, 1.348398128213886, 1.0616971645981779]|  0.3112665850348549|      0.50000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[1.2503015001321898, 1.945148962716865, 1.2320082911925618, 0.6747600977894748, 1.348398128213886, 1.0616971645981779]|  0.3112665850348549|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[1.2503015001321898, 1.945148962716865, 1.2320082911925618, 0.6747600977894748, 1.348398128213886, 1.0616971645981779]|  0.3112665850348549|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[1.2503015001321898, 1.945148962716865, 1.2320082911925618, 0.6747600977894748, 1.348398128213886, 1.0616971645981779]|  0.3112665850348549|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[1.2503015001321898, 1.945148962716865, 1.2320082911925618, 0.6747600977894748, 1.348398128213886, 1.0616971645981779]|  0.3112665850348549|      0.03125000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[1.25937161850926, 1.9413091400018028, 1.2180338340484294, 0.6815037195158973, 1.3617391925858873, 1.0402307878870822]|  0.3005333835974352|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      15|[1.25937161850926, 1.9413091400018028, 1.2180338340484294, 0.6815037195158973, 1.3617391925858873, 1.0402307878870822]|  0.3005333835974352|      0.03125000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[1.2768823530737778, 1.9241040134717338, 1.212793774176777, 0.6883220823931849, 1.3786151590266895, 1.0441261380638127]|  0.2998587759674018|      0.06250000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[1.2768823530737778, 1.9241040134717338, 1.212793774176777, 0.6883220823931849, 1.3786151590266895, 1.0441261380638127]|  0.2998587759674018|      0.03125000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[1.2768823530737778, 1.9241040134717338, 1.212793774176777, 0.6883220823931849, 1.3786151590266895, 1.0441261380638127]|  0.2998587759674018|      0.01562500|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[1.2754644380279723, 1.9268056883567866, 1.222190795172753, 0.6807940927964428, 1.3787520863578142, 1.0536044139975926]|  0.2978452092886501|      0.03125000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      20|[1.2754644380279723, 1.9268056883567866, 1.222190795172753, 0.6807940927964428, 1.3787520863578142, 1.0536044139975926]|  0.2978452092886501|      0.01562500|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[1.2890047408695557, 1.9300410792315044, 1.2234886051799343, 0.6757519246398948, 1.3834732986982061, 1.0545716023708076]|  0.2965280633711772|      0.03125000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      22|[1.302716633202309, 1.9449972258433608, 1.235457695103767, 0.6597447004394998, 1.3962574611337681, 1.0559626587299469]|  0.2960205891338250|      0.06250000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[1.302716633202309, 1.9449972258433608, 1.235457695103767, 0.6597447004394998, 1.3962574611337681, 1.0559626587299469]|  0.2960205891338250|      0.03125000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[1.302716633202309, 1.9449972258433608, 1.235457695103767, 0.6597447004394998, 1.3962574611337681, 1.0559626587299469]|  0.2960205891338250|      0.01562500|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[1.3122990431318944, 1.9482978950141217, 1.226152500446132, 0.6646956453041795, 1.3966802577880741, 1.050472087877467]|  0.2947928636588155|      0.03125000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      26|[1.3122990431318944, 1.9482978950141217, 1.226152500446132, 0.6646956453041795, 1.3966802577880741, 1.050472087877467]|  0.2947928636588155|      0.01562500|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[1.3122990431318944, 1.9482978950141217, 1.226152500446132, 0.6646956453041795, 1.3966802577880741, 1.050472087877467]|  0.2947928636588155|      0.00781250|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[1.3122990431318944, 1.9482978950141217, 1.226152500446132, 0.6646956453041795, 1.3966802577880741, 1.050472087877467]|  0.2947928636588155|      0.00390625|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      29|[1.3131655795199886, 1.9500147763636388, 1.2282605116675853, 0.6629099197746224, 1.3959308059519815, 1.0523067587337736]|  0.2946262602443587|      0.00781250|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      30|[1.3153594112032605, 1.9526527796377768, 1.2299631394835027, 0.6622523612625901, 1.398899968200213, 1.0583990447077332]|  0.2945554461886276|      0.01562500|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
