k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[0.9907034424749582, 2.0894310105398017, 0.7859148956187209, 0.6686380688199588, 1.0628987155337761, 1.286925527973558]|  0.5231041878901052|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[0.9907034424749582, 2.0894310105398017, 0.7859148956187209, 0.6686380688199588, 1.0628987155337761, 1.286925527973558]|  0.5231041878901052|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[0.9907034424749582, 2.0894310105398017, 0.7859148956187209, 0.6686380688199588, 1.0628987155337761, 1.286925527973558]|  0.5231041878901052|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[1.1072749376450313, 2.1474962933136488, 0.7177303859328908, 0.6254447385758476, 1.2347988772056484, 1.1895856454550493]|  0.4468809131003418|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       6|[1.1072749376450313, 2.1474962933136488, 0.7177303859328908, 0.6254447385758476, 1.2347988772056484, 1.1895856454550493]|  0.4468809131003418|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[1.1072749376450313, 2.1474962933136488, 0.7177303859328908, 0.6254447385758476, 1.2347988772056484, 1.1895856454550493]|  0.4468809131003418|      0.12500000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[1.099638973706947, 2.1509799406980465, 0.7901190354315769, 0.5692351101792714, 1.238240451487095, 1.2741023474812048]|  0.3448272599509115|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       9|[1.099638973706947, 2.1509799406980465, 0.7901190354315769, 0.5692351101792714, 1.238240451487095, 1.2741023474812048]|  0.3448272599509115|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[1.1762728059173477, 2.198661822490628, 0.7642592703788713, 0.5237063108576065, 1.2999616469653479, 1.2436460029541907]|  0.3151587566502373|      0.25000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      11|[1.1762728059173477, 2.198661822490628, 0.7642592703788713, 0.5237063108576065, 1.2999616469653479, 1.2436460029541907]|  0.3151587566502373|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[1.1762728059173477, 2.198661822490628, 0.7642592703788713, 0.5237063108576065, 1.2999616469653479, 1.2436460029541907]|  0.3151587566502373|      0.06250000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[1.1942792364359076, 2.1849753276659, 0.8050058624507729, 0.4857371804046492, 1.3080581456691796, 1.258719336868895]|  0.3056537360733536|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      14|[1.1942792364359076, 2.1849753276659, 0.8050058624507729, 0.4857371804046492, 1.3080581456691796, 1.258719336868895]|  0.3056537360733536|      0.06250000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[1.1942792364359076, 2.1849753276659, 0.8050058624507729, 0.4857371804046492, 1.3080581456691796, 1.258719336868895]|  0.3056537360733536|      0.03125000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[1.204750135100147, 2.181696654183822, 0.7871723767878359, 0.4937485635314062, 1.3227149169822012, 1.2426216144975448]|  0.3024644066039523|      0.06250000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[1.204750135100147, 2.181696654183822, 0.7871723767878359, 0.4937485635314062, 1.3227149169822012, 1.2426216144975448]|  0.3024644066039523|      0.03125000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[1.2100460490313214, 2.176085244681058, 0.8121524811826148, 0.4820905753360282, 1.3273755684618918, 1.254257417111594]|  0.3002261279619091|      0.06250000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      19|[1.2100460490313214, 2.176085244681058, 0.8121524811826148, 0.4820905753360282, 1.3273755684618918, 1.254257417111594]|  0.3002261279619091|      0.03125000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[1.229660752058475, 2.1756672395220624, 0.80346123497568, 0.487372940147982, 1.3401557366788164, 1.2362330625169182]|  0.2989419575322921|      0.06250000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      21|[1.229660752058475, 2.1756672395220624, 0.80346123497568, 0.487372940147982, 1.3401557366788164, 1.2362330625169182]|  0.2989419575322921|      0.03125000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[1.229660752058475, 2.1756672395220624, 0.80346123497568, 0.487372940147982, 1.3401557366788164, 1.2362330625169182]|  0.2989419575322921|      0.01562500|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      23|[1.2307748320547387, 2.1774057464783874, 0.812577613269008, 0.480544577216305, 1.3402665532196352, 1.2467273405056725]|  0.2964128426278880|      0.03125000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
