k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 45.2064958913885775|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8609715168242904, -0.6844648274176348, -0.9386738708035279]                  | 20.0365295410156250|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.0821084407227137, -0.6693325844039304, -2.522528544791413]                   |  1.2991888523101807|      4.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[2.0821084407227137, -0.6693325844039304, -2.522528544791413]                   |  1.2991888523101807|      2.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[2.0821084407227137, -0.6693325844039304, -2.522528544791413]                   |  1.2991888523101807|      1.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[2.0821084407227137, -0.6693325844039304, -2.522528544791413]                   |  1.2991888523101807|      0.50000000|[25, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[2.0821084407227137, -0.6693325844039304, -2.522528544791413]                   |  1.2991888523101807|      0.25000000|[30, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[2.0704195627532287, -0.8937805209276601, -2.4130456971756598]                  |  0.7220451831817627|      0.50000000|[34, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[2.0704195627532287, -0.8937805209276601, -2.4130456971756598]                  |  0.7220451831817627|      0.25000000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[2.3160695919912855, -0.9210784357304702, -2.4506074727295446]                  |  0.4367379546165466|      0.50000000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[2.3160695919912855, -0.9210784357304702, -2.4506074727295446]                  |  0.4367379546165466|      0.25000000|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[2.3160695919912855, -0.9210784357304702, -2.4506074727295446]                  |  0.4367379546165466|      0.12500000|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[2.3160695919912855, -0.9210784357304702, -2.4506074727295446]                  |  0.4367379546165466|      0.06250000|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[2.299696486729705, -0.9786537990123818, -2.43262834685955]                     |  0.3798005878925323|      0.12500000|[61, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[2.420882568634815, -1.002016750911121, -2.4524552485606534]                    |  0.2915385365486145|      0.25000000|[66, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[2.4615970862817087, -1.1627769365329275, -2.6395340842733637]                  |  0.2399075329303741|      0.50000000|[71, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
