k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-2000.0, 50.0, 0.8]                                                            |66022.4466591572272591|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-2000.0, 50.0, 0.8]                                                            |66022.4466591572272591|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[-2000.0, 50.0, 0.8]                                                            |66022.4466591572272591|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[-1999.995942715048, 49.96107521284987, 1.0469177988402918]                     |7329.6490264693502468|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[-1999.995942715048, 49.96107521284987, 1.0469177988402918]                     |7329.6490264693502468|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[-1999.995942715048, 49.96107521284987, 1.0469177988402918]                     |7329.6490264693502468|      0.12500000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-1999.995942715048, 49.96107521284987, 1.0469177988402918]                     |7329.6490264693502468|      0.06250000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[-1999.9967795425598, 49.959447106929744, 0.9844446126655149]                   |482.5633845010845562|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[-1999.9967795425598, 49.959447106929744, 0.9844446126655149]                   |482.5633845010845562|      0.06250000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[-1999.9967795425598, 49.959447106929744, 0.9844446126655149]                   |482.5633845010845562|      0.03125000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[-1999.9967795425598, 49.959447106929744, 0.9844446126655149]                   |482.5633845010845562|      0.01562500|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[-2000.0010580534906, 49.9527531759634, 0.9978992125269825]                     |  0.6865037037682062|      0.03125000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[-2000.0010580534906, 49.9527531759634, 0.9978992125269825]                     |  0.6865037037682062|      0.01562500|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[-2000.0010580534906, 49.9527531759634, 0.9978992125269825]                     |  0.6865037037682062|      0.00781250|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[-2000.0010580534906, 49.9527531759634, 0.9978992125269825]                     |  0.6865037037682062|      0.00390625|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[-2000.0010580534906, 49.9527531759634, 0.9978992125269825]                     |  0.6865037037682062|      0.00195312|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
