k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[13, 4, 1, 5]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[26, 8, 2, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[39, 12, 3, 15]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[52, 16, 4, 20]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[65, 20, 5, 25]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[78, 24, 6, 30]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[91, 28, 7, 35]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00390625|[104, 32, 8, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[-0.0027780380538025, -0.0008274136676043, 0.0001648337358953, 0.0003683023056225, -0.000545206078936, 0.0003731650200258, -0.000516170695781, 0.0005239191972908, 7.31917481197e-05, -0.0018537691690498, 0.0006925766640754, -0.0009353021953934, 0.0006918586504233, 0.0004479287497964, 0.9995092252641823]|2117.5002843959550773|      0.00781250|[117, 36, 9, 45]                                                           |  | used linear model with 17 points | iterate success | actual_k=1
      10|[-0.0027780380538025, -0.0008274136676043, 0.0001648337358953, 0.0003683023056225, -0.000545206078936, 0.0003731650200258, -0.000516170695781, 0.0005239191972908, 7.31917481197e-05, -0.0018537691690498, 0.0006925766640754, -0.0009353021953934, 0.0006918586504233, 0.0004479287497964, 0.9995092252641823]|2117.5002843959550773|      0.00390625|[130, 40, 10, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[-0.0027780380538025, -0.0008274136676043, 0.0001648337358953, 0.0003683023056225, -0.000545206078936, 0.0003731650200258, -0.000516170695781, 0.0005239191972908, 7.31917481197e-05, -0.0018537691690498, 0.0006925766640754, -0.0009353021953934, 0.0006918586504233, 0.0004479287497964, 0.9995092252641823]|2117.5002843959550773|      0.00195312|[143, 44, 11, 55]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[-0.0027780380538025, -0.0008274136676043, 0.0001648337358953, 0.0003683023056225, -0.000545206078936, 0.0003731650200258, -0.000516170695781, 0.0005239191972908, 7.31917481197e-05, -0.0018537691690498, 0.0006925766640754, -0.0009353021953934, 0.0006918586504233, 0.0004479287497964, 0.9995092252641823]|2117.5002843959550773|      0.00097656|[156, 48, 12, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[-0.0027426137221868, -0.0008898674758792, 6.12600095637e-05, 0.0003194491466954, -0.0003050168157473, 0.0009856245279867, -0.0006060652598761, 0.0009390331092432, 5.96990757971e-05, -0.0020148504497945, 0.0006695512197879, -0.0009808850412641, 0.0003216060958206, 0.0002595123881398, 0.9998569058730554]|2115.7906263549302821|      0.00195312|[169, 52, 13, 65]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[-0.0027426137221868, -0.0008898674758792, 6.12600095637e-05, 0.0003194491466954, -0.0003050168157473, 0.0009856245279867, -0.0006060652598761, 0.0009390331092432, 5.96990757971e-05, -0.0020148504497945, 0.0006695512197879, -0.0009808850412641, 0.0003216060958206, 0.0002595123881398, 0.9998569058730554]|2115.7906263549302821|      0.00097656|[182, 56, 14, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[-0.0027426137221868, -0.0008898674758792, 6.12600095637e-05, 0.0003194491466954, -0.0003050168157473, 0.0009856245279867, -0.0006060652598761, 0.0009390331092432, 5.96990757971e-05, -0.0020148504497945, 0.0006695512197879, -0.0009808850412641, 0.0003216060958206, 0.0002595123881398, 0.9998569058730554]|2115.7906263549302821|      0.00048828|[195, 60, 15, 75]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[-0.0027426137221868, -0.0008898674758792, 6.12600095637e-05, 0.0003194491466954, -0.0003050168157473, 0.0009856245279867, -0.0006060652598761, 0.0009390331092432, 5.96990757971e-05, -0.0020148504497945, 0.0006695512197879, -0.0009808850412641, 0.0003216060958206, 0.0002595123881398, 0.9998569058730554]|2115.7906263549302821|      0.00024414|[208, 64, 16, 80]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[-0.0026257387101956, -0.0010063385908263, 0.0001052164338512, 0.0003401246539068, -0.0002862584405547, 0.0011117872916272, -0.0005746221958847, 0.0009584118692121, 0.0001155468838272, -0.0020319625541687, 0.000664826190446, -0.0010128333339171, 0.0002336318618736, 0.0002555827503807, 0.9998702047730238]|2115.4164666578776632|      0.00048828|[221, 68, 17, 85]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      18|[-0.0026257387101956, -0.0010063385908263, 0.0001052164338512, 0.0003401246539068, -0.0002862584405547, 0.0011117872916272, -0.0005746221958847, 0.0009584118692121, 0.0001155468838272, -0.0020319625541687, 0.000664826190446, -0.0010128333339171, 0.0002336318618736, 0.0002555827503807, 0.9998702047730238]|2115.4164666578776632|      0.00024414|[234, 72, 18, 90]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[-0.0026257387101956, -0.0010063385908263, 0.0001052164338512, 0.0003401246539068, -0.0002862584405547, 0.0011117872916272, -0.0005746221958847, 0.0009584118692121, 0.0001155468838272, -0.0020319625541687, 0.000664826190446, -0.0010128333339171, 0.0002336318618736, 0.0002555827503807, 0.9998702047730238]|2115.4164666578776632|      0.00012207|[247, 76, 19, 95]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[-0.0025902109351481, -0.0010190691160165, 7.07811641233e-05, 0.0003594279588555, -0.0002832284471102, 0.0012080361692035, -0.0005850644689106, 0.0009179959161701, 0.0001192365152681, -0.0020352475714356, 0.0006406872898786, -0.0010077601958535, 0.0002194442576719, 0.0002638792304731, 0.9998702429055013]|2115.2597588944831841|      0.00024414|[260, 80, 20, 100]                                                         |  | used linear model with 17 points | iterate success | actual_k=1
      21|[-0.0026181887397776, -0.001115408889061, 9.96595371585e-05, 0.0002706334775565, -0.0003144284003063, 0.0013560890993924, -0.0006429849301897, 0.0008806251506608, 0.0001680603493286, -0.0020392991382595, 0.0007343256062647, -0.000997936527407, 0.0002459639065146, 0.0002330882482903, 0.9998540732806916]|2115.0855577752126919|      0.00048828|[273, 84, 21, 105]                                                         |  | used linear model with 17 points | iterate success | actual_k=1
      22|[-0.0026181887397776, -0.001115408889061, 9.96595371585e-05, 0.0002706334775565, -0.0003144284003063, 0.0013560890993924, -0.0006429849301897, 0.0008806251506608, 0.0001680603493286, -0.0020392991382595, 0.0007343256062647, -0.000997936527407, 0.0002459639065146, 0.0002330882482903, 0.9998540732806916]|2115.0855577752126919|      0.00024414|[286, 88, 22, 110]                                                         |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[-0.0025195439565016, -0.0011983958661126, 9.42819184152e-05, 0.0003519440483217, -0.0002731806155381, 0.0015019819585278, -0.0006701309837101, 0.0008495690202836, 0.0002224454134668, -0.0019709060172402, 0.0007237621757719, -0.0010251275268004, 0.0002014586391814, 0.0002619596724225, 0.9998351360362316]|2114.8835289135145104|      0.00048828|[299, 92, 23, 115]                                                         |  | used linear model with 17 points | iterate success | actual_k=1
      24|[-0.0025025819030469, -0.0012164120891591, -2.85618829053e-05, 0.0003904277612929, -8.98440749635e-05, 0.0018848001578256, -0.0005990918799065, 0.0007608578201818, 0.0003170331451736, -0.0020210083783911, 0.0007225916133669, -0.0009724939876256, 0.0002093428268673, 0.0001446514025498, 0.9998453468103161]|2114.7189771437042509|      0.00097656|[312, 96, 24, 120]                                                         |  | used linear model with 17 points | iterate success | actual_k=1
      25|[-0.0025591500369874, -0.001594129780688, 0.0004413016446202, 0.0003315010020763, 0.0001058593049935, 0.001710865105373, -0.0005769957127254, 0.0006464806771293, 0.0007357288269972, -0.0018561768320414, 0.0006631779571066, -0.0013753964187091, 0.0002394425617053, -0.0001009857544974, 1.0001134075360791]|2114.5497346573652067|      0.00195312|[325, 100, 25, 125]                                                        |  | used linear model with 17 points | iterate success | actual_k=1
      26|[-0.0025591500369874, -0.001594129780688, 0.0004413016446202, 0.0003315010020763, 0.0001058593049935, 0.001710865105373, -0.0005769957127254, 0.0006464806771293, 0.0007357288269972, -0.0018561768320414, 0.0006631779571066, -0.0013753964187091, 0.0002394425617053, -0.0001009857544974, 1.0001134075360791]|2114.5497346573652067|      0.00097656|[338, 104, 26, 130]                                                        |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[-0.0025591500369874, -0.001594129780688, 0.0004413016446202, 0.0003315010020763, 0.0001058593049935, 0.001710865105373, -0.0005769957127254, 0.0006464806771293, 0.0007357288269972, -0.0018561768320414, 0.0006631779571066, -0.0013753964187091, 0.0002394425617053, -0.0001009857544974, 1.0001134075360791]|2114.5497346573652067|      0.00048828|[351, 108, 27, 135]                                                        |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[-0.0023554977012989, -0.0019184484544743, 0.0004468277289394, 0.0004004361509267, 0.0001175714692259, 0.0018707126290472, -0.0006258219683849, 0.0005656641226337, 0.0007834702598774, -0.001766375785375, 0.0006897603170903, -0.0015155326144366, 0.0001275733803834, -0.0001784186189393, 1.000169768662525]|2114.4379095181861885|      0.00097656|[364, 112, 28, 140]                                                        |  | used linear model with 17 points | iterate success | actual_k=1
      29|[-0.0023554977012989, -0.0019184484544743, 0.0004468277289394, 0.0004004361509267, 0.0001175714692259, 0.0018707126290472, -0.0006258219683849, 0.0005656641226337, 0.0007834702598774, -0.001766375785375, 0.0006897603170903, -0.0015155326144366, 0.0001275733803834, -0.0001784186189393, 1.000169768662525]|2114.4379095181861885|      0.00048828|[377, 116, 29, 145]                                                        |  | used linear model with 17 points | iterate failure | actual_k=1
      30|[-0.0026220482240528, -0.0021289536162142, 0.0004426548392823, 0.0004817543424807, 0.0002097978574104, 0.0018018266547527, -0.0005104947257687, 0.0005442483984679, 0.0008797474443488, -0.0017027560677314, 0.0005184075542173, -0.0015346664565723, 0.0001521745999025, 3.0165815515e-06, 1.0002831191512427]|2114.3150883950852403|      0.00097656|[390, 120, 30, 150]                                                        |  | used linear model with 17 points | iterate success | actual_k=1
