k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.849616965288863, -0.19111423565939, 0.0752189590356851, 0.5118765442343851, -0.1132262810537335, 0.224317030542, -0.0809755287675637]|108335.1478476830234285|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       2|[9.849616965288863, -0.19111423565939, 0.0752189590356851, 0.5118765442343851, -0.1132262810537335, 0.224317030542, -0.0809755287675637]|108335.1478476830234285|      1.00000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[9.849616965288863, -0.19111423565939, 0.0752189590356851, 0.5118765442343851, -0.1132262810537335, 0.224317030542, -0.0809755287675637]|108335.1478476830234285|      0.50000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[9.975864177023771, -0.3385023737785572, -0.114193703284904, 0.5317060458796117, -0.3560715516890043, -0.0195141825922795, 0.1591088866358581]|35728.4132231972907903|      1.00000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       5|[9.975864177023771, -0.3385023737785572, -0.114193703284904, 0.5317060458796117, -0.3560715516890043, -0.0195141825922795, 0.1591088866358581]|35728.4132231972907903|      0.50000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[9.975864177023771, -0.3385023737785572, -0.114193703284904, 0.5317060458796117, -0.3560715516890043, -0.0195141825922795, 0.1591088866358581]|35728.4132231972907903|      0.25000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[9.975864177023771, -0.3385023737785572, -0.114193703284904, 0.5317060458796117, -0.3560715516890043, -0.0195141825922795, 0.1591088866358581]|35728.4132231972907903|      0.12500000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[9.995943411919066, -0.3199305358366094, -0.1473889595645527, 0.5441152202484847, -0.4255542812641325, 0.0136155790979498, 0.0713845018011545]|18091.0333079555457516|      0.25000000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
       9|[9.995943411919066, -0.3199305358366094, -0.1473889595645527, 0.5441152202484847, -0.4255542812641325, 0.0136155790979498, 0.0713845018011545]|18091.0333079555457516|      0.12500000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
      10|[9.995943411919066, -0.3199305358366094, -0.1473889595645527, 0.5441152202484847, -0.4255542812641325, 0.0136155790979498, 0.0713845018011545]|18091.0333079555457516|      0.06250000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[9.995943411919066, -0.3199305358366094, -0.1473889595645527, 0.5441152202484847, -0.4255542812641325, 0.0136155790979498, 0.0713845018011545]|18091.0333079555457516|      0.03125000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[9.995492671913375, -0.3202958502305716, -0.147129400736441, 0.5481430548650196, -0.4256900363352394, 0.0138387341173176, 0.0404027841477476]|7842.6194281442512874|      0.06250000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      13|[9.995492671913375, -0.3202958502305716, -0.147129400736441, 0.5481430548650196, -0.4256900363352394, 0.0138387341173176, 0.0404027841477476]|7842.6194281442512874|      0.03125000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[9.995492671913375, -0.3202958502305716, -0.147129400736441, 0.5481430548650196, -0.4256900363352394, 0.0138387341173176, 0.0404027841477476]|7842.6194281442512874|      0.01562500|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[9.995492671913375, -0.3202958502305716, -0.147129400736441, 0.5481430548650196, -0.4256900363352394, 0.0138387341173176, 0.0404027841477476]|7842.6194281442512874|      0.00781250|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[9.995492671913375, -0.3202958502305716, -0.147129400736441, 0.5481430548650196, -0.4256900363352394, 0.0138387341173176, 0.0404027841477476]|7842.6194281442512874|      0.00390625|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[9.995492671913375, -0.3202958502305716, -0.147129400736441, 0.5481430548650196, -0.4256900363352394, 0.0138387341173176, 0.0404027841477476]|7842.6194281442512874|      0.00195312|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[9.99487867307794, -0.3206529346426712, -0.1466084087938393, 0.5483147038249231, -0.4257367364424905, 0.0127580969602838, 0.0390465614951298]|7748.0629732744746434|      0.00390625|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      19|[9.99487867307794, -0.3206529346426712, -0.1466084087938393, 0.5483147038249231, -0.4257367364424905, 0.0127580969602838, 0.0390465614951298]|7748.0629732744746434|      0.00195312|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      20|[9.99487867307794, -0.3206529346426712, -0.1466084087938393, 0.5483147038249231, -0.4257367364424905, 0.0127580969602838, 0.0390465614951298]|7748.0629732744746434|      0.00097656|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      21|[9.994843102785183, -0.3207377465634785, -0.1461579344962695, 0.5485211341055044, -0.4257912394713745, 0.013069445358981, 0.0382721152092406]|7734.4602917516440357|      0.00195312|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      22|[9.994843102785183, -0.3207377465634785, -0.1461579344962695, 0.5485211341055044, -0.4257912394713745, 0.013069445358981, 0.0382721152092406]|7734.4602917516440357|      0.00097656|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      23|[9.994843102785183, -0.3207377465634785, -0.1461579344962695, 0.5485211341055044, -0.4257912394713745, 0.013069445358981, 0.0382721152092406]|7734.4602917516440357|      0.00048828|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      24|[9.994796289078588, -0.3206468890058219, -0.1461797421364348, 0.5485187105363803, -0.4257355122090021, 0.0133665804545137, 0.0386410267441204]|7732.0421579456751715|      0.00097656|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      25|[9.994451134217947, -0.3206960486479157, -0.1467916086550503, 0.5483552183257547, -0.4256192096431308, 0.0139810746367751, 0.0388407416453472]|7730.1343965940523049|      0.00195312|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      26|[9.994451134217947, -0.3206960486479157, -0.1467916086550503, 0.5483552183257547, -0.4256192096431308, 0.0139810746367751, 0.0388407416453472]|7730.1343965940523049|      0.00097656|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      27|[9.994451134217947, -0.3206960486479157, -0.1467916086550503, 0.5483552183257547, -0.4256192096431308, 0.0139810746367751, 0.0388407416453472]|7730.1343965940523049|      0.00048828|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      28|[9.994460853663053, -0.3206940215473945, -0.1467955527339966, 0.5483835147578854, -0.4256189388523913, 0.0141464493040657, 0.0383823150922193]|7722.8207838763446489|      0.00097656|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      29|[9.99432079576225, -0.3208158842062284, -0.147176041294779, 0.5484001341947359, -0.4260578334000673, 0.0148725802817847, 0.0381493661238579]|7717.8893071036463880|      0.00195312|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      30|[9.99432079576225, -0.3208158842062284, -0.147176041294779, 0.5484001341947359, -0.4260578334000673, 0.0148725802817847, 0.0381493661238579]|7717.8893071036463880|      0.00097656|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      31|[9.994198642231892, -0.3206962379299211, -0.1468692567859311, 0.5485225648166487, -0.4260840215806084, 0.0156491283653311, 0.0386093866245774]|7710.0718912175580044|      0.00195312|[403, 124, 31, 62]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      32|[9.994198642231892, -0.3206962379299211, -0.1468692567859311, 0.5485225648166487, -0.4260840215806084, 0.0156491283653311, 0.0386093866245774]|7710.0718912175580044|      0.00097656|[416, 128, 32, 64]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      33|[9.993471101137585, -0.3211128676738887, -0.1469294984813748, 0.5486405367164616, -0.4259327760652248, 0.0160137362964869, 0.0383311468924353]|7705.2898185988533442|      0.00195312|[429, 132, 33, 66]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      34|[9.993471101137585, -0.3211128676738887, -0.1469294984813748, 0.5486405367164616, -0.4259327760652248, 0.0160137362964869, 0.0383311468924353]|7705.2898185988533442|      0.00097656|[442, 136, 34, 68]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      35|[9.993687005932145, -0.3212584393454151, -0.1469459384279657, 0.5486122231273666, -0.426159454081125, 0.0169228958700023, 0.0382484284521524]|7697.1925289094460823|      0.00195312|[455, 140, 35, 70]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
