k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.50000000|[4, 0, 1, 2]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       2|[0.6724946918503766, -1.0919198111824904, 20.05253017246975]                    |266.7880380115481103|      1.00000000|[8, 0, 2, 4]                                                               |  | used linear model with 4 points | iterate success | actual_k=0
       3|[0.6724946918503766, -1.0919198111824904, 20.05253017246975]                    |266.7880380115481103|      0.50000000|[12, 0, 3, 6]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       4|[0.6724946918503766, -1.0919198111824904, 20.05253017246975]                    |266.7880380115481103|      0.25000000|[16, 0, 4, 8]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       5|[0.6724946918503766, -1.0919198111824904, 20.05253017246975]                    |266.7880380115481103|      0.12500000|[20, 0, 5, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       6|[0.6724946918503766, -1.0919198111824904, 20.05253017246975]                    |266.7880380115481103|      0.06250000|[24, 0, 6, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       7|[0.6724946918503766, -1.0919198111824904, 20.05253017246975]                    |266.7880380115481103|      0.03125000|[28, 0, 7, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       8|[0.6724946918503766, -1.0919198111824904, 20.05253017246975]                    |266.7880380115481103|      0.01562500|[32, 0, 8, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       9|[0.6711271847488991, -1.1071792561038856, 20.05559935640336]                    |253.8087165176026758|      0.03125000|[36, 0, 9, 18]                                                             |  | used linear model with 4 points | iterate success | actual_k=0
      10|[0.7009178230057916, -1.1164823592123387, 20.054007927862564]                   |237.8525761190344099|      0.06250000|[40, 0, 10, 20]                                                            |  | used linear model with 4 points | iterate success | actual_k=0
      11|[0.7009178230057916, -1.1164823592123387, 20.054007927862564]                   |237.8525761190344099|      0.03125000|[44, 0, 11, 22]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      12|[0.7307949095011615, -1.1240794159876792, 20.059127198406348]                   |229.4654468845302517|      0.06250000|[48, 0, 12, 24]                                                            |  | used linear model with 4 points | iterate success | actual_k=0
      13|[0.7307949095011615, -1.1240794159876792, 20.059127198406348]                   |229.4654468845302517|      0.03125000|[52, 0, 13, 26]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      14|[0.7307949095011615, -1.1240794159876792, 20.059127198406348]                   |229.4654468845302517|      0.01562500|[56, 0, 14, 28]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
      15|[0.7307949095011615, -1.1240794159876792, 20.059127198406348]                   |229.4654468845302517|      0.00781250|[60, 0, 15, 30]                                                            |  | used linear model with 4 points | iterate failure | actual_k=0
