k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.50000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.25000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.12500000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[999.9921309424825, 1000.0192006205164, 400.011800379177, 39.9716650919586, 0.6004671920684143, 0.3636326601297676, 0.0127836457633032]|1965694.8750000000000000|      0.25000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[1000.1614129436975, 999.8735715920395, 400.03465781501603, 39.87392197916399, 0.5693438698265597, 0.3492077414596197, -0.024403343784293]|1783160.6250000000000000|      0.50000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[1000.1614129436975, 999.8735715920395, 400.03465781501603, 39.87392197916399, 0.5693438698265597, 0.3492077414596197, -0.024403343784293]|1783160.6250000000000000|      0.25000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[1000.1614129436975, 999.8735715920395, 400.03465781501603, 39.87392197916399, 0.5693438698265597, 0.3492077414596197, -0.024403343784293]|1783160.6250000000000000|      0.12500000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[1000.1614129436975, 999.8735715920395, 400.03465781501603, 39.87392197916399, 0.5693438698265597, 0.3492077414596197, -0.024403343784293]|1783160.6250000000000000|      0.06250000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[1000.1614129436975, 999.8735715920395, 400.03465781501603, 39.87392197916399, 0.5693438698265597, 0.3492077414596197, -0.024403343784293]|1783160.6250000000000000|      0.03125000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[1000.1615757415107, 999.8624654934067, 400.06116864027575, 39.87450521190526, 0.5739127062913619, 0.3389948328245155, -0.029388199270454]|1747288.5000000000000000|      0.06250000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[1000.1526718542992, 999.8663691149085, 400.0506516263991, 39.85927599870234, 0.6132206827080365, 0.297297661641819, -0.043005281242051]|1597110.7500000000000000|      0.12500000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[1000.1243475123389, 999.822651606131, 400.08882616742636, 39.86399768000574, 0.713478935601981, 0.3062650216439192, -0.0790578872931133]|1428947.2500000000000000|      0.25000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[1000.1243475123389, 999.822651606131, 400.08882616742636, 39.86399768000574, 0.713478935601981, 0.3062650216439192, -0.0790578872931133]|1428947.2500000000000000|      0.12500000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[1000.1289918035529, 999.8319051958116, 400.15905509473913, 39.89130882625199, 0.7755713633496305, 0.2321714858157786, -0.0568210021415221]|1277828.8750000000000000|      0.25000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[1000.1289918035529, 999.8319051958116, 400.15905509473913, 39.89130882625199, 0.7755713633496305, 0.2321714858157786, -0.0568210021415221]|1277828.8750000000000000|      0.12500000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[1000.1289918035529, 999.8319051958116, 400.15905509473913, 39.89130882625199, 0.7755713633496305, 0.2321714858157786, -0.0568210021415221]|1277828.8750000000000000|      0.06250000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      17|[1000.1289918035529, 999.8319051958116, 400.15905509473913, 39.89130882625199, 0.7755713633496305, 0.2321714858157786, -0.0568210021415221]|1277828.8750000000000000|      0.03125000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      18|[1000.1279563403737, 999.8209739078051, 400.1366753508161, 39.88104284996302, 0.7897307976965208, 0.2304280119328212, -0.0636198821296258]|1243394.1250000000000000|      0.06250000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      19|[1000.1279563403737, 999.8209739078051, 400.1366753508161, 39.88104284996302, 0.7897307976965208, 0.2304280119328212, -0.0636198821296258]|1243394.1250000000000000|      0.03125000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      20|[1000.1279563403737, 999.8209739078051, 400.1366753508161, 39.88104284996302, 0.7897307976965208, 0.2304280119328212, -0.0636198821296258]|1243394.1250000000000000|      0.01562500|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      21|[1000.1258538642453, 999.8074211215599, 400.13702633679065, 39.877062469886845, 0.7944011867391346, 0.2344918924565881, -0.0622977895850221]|1228888.2500000000000000|      0.03125000|[169, 0, 0, 42]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      22|[1000.1258538642453, 999.8074211215599, 400.13702633679065, 39.877062469886845, 0.7944011867391346, 0.2344918924565881, -0.0622977895850221]|1228888.2500000000000000|      0.01562500|[177, 0, 0, 44]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      23|[1000.1249424829018, 999.8013607498148, 400.1369961981892, 39.86859887738885, 0.791132038026354, 0.2437138338755926, -0.0685601421947767]|1182062.0000000000000000|      0.03125000|[185, 0, 0, 46]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      24|[1000.1232396245783, 999.8204550584077, 400.1557479503935, 39.87444871783128, 0.7917339348478264, 0.2578677461054215, -0.0733062772287828]|1155935.7500000000000000|      0.06250000|[193, 0, 0, 48]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      25|[1000.1277941183558, 999.8358052460919, 400.14748813502445, 39.895974557807826, 0.8463059305872828, 0.2577552108930315, -0.0851458973536348]|1078898.1250000000000000|      0.12500000|[201, 0, 0, 50]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      26|[1000.1277941183558, 999.8358052460919, 400.14748813502445, 39.895974557807826, 0.8463059305872828, 0.2577552108930315, -0.0851458973536348]|1078898.1250000000000000|      0.06250000|[209, 0, 0, 52]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      27|[1000.1277941183558, 999.8358052460919, 400.14748813502445, 39.895974557807826, 0.8463059305872828, 0.2577552108930315, -0.0851458973536348]|1078898.1250000000000000|      0.03125000|[217, 0, 0, 54]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
