k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.003134372804524, 149.9631286337336, -100.05891649251465, 1.0366170099168306, 2.009352281023677]|84514.7968750000000000|      2.00000000|[31, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[48.119164381945296, 150.52106512474882, -100.49088498015352, 2.6430553905592555, 1.6351025219858457]|81654.2578125000000000|      4.00000000|[61, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[48.119164381945296, 150.52106512474882, -100.49088498015352, 2.6430553905592555, 1.6351025219858457]|81654.2578125000000000|      2.00000000|[91, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[46.12628003259092, 150.39127198446243, -100.59559991596255, 2.640335519236667, 1.6107489729324433]|75295.1093750000000000|      4.00000000|[121, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | iterate success | actual_k=1
       5|[46.12628003259092, 150.39127198446243, -100.59559991596255, 2.640335519236667, 1.6107489729324433]|75295.1093750000000000|      2.00000000|[151, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[44.133553693956515, 150.26198609052085, -100.70618429746514, 2.6328025646794035, 1.6043266599713246]|69199.5312500000000000|      4.00000000|[181, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       7|[44.133553693956515, 150.26198609052085, -100.70618429746514, 2.6328025646794035, 1.6043266599713246]|69199.5312500000000000|      2.00000000|[211, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[42.15584468204719, 150.0916491659405, -100.74402323909558, 2.6210706645258193, 1.3633225659143222]|63416.4335937500000000|      4.00000000|[241, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[42.15584468204719, 150.0916491659405, -100.74402323909558, 2.6210706645258193, 1.3633225659143222]|63416.4335937500000000|      2.00000000|[271, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[42.15584468204719, 150.0916491659405, -100.74402323909558, 2.6210706645258193, 1.3633225659143222]|63416.4335937500000000|      1.00000000|[301, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[41.15991700793379, 150.02821133336903, -100.80805848925218, 2.622246901392315, 1.361976260627982]|60598.5351562500000000|      2.00000000|[331, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      12|[39.16823488639976, 149.89654251563817, -100.93400239463224, 2.624191425837432, 1.3620031188157562]|55160.7500000000000000|      4.00000000|[361, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      13|[39.16823488639976, 149.89654251563817, -100.93400239463224, 2.624191425837432, 1.3620031188157562]|55160.7500000000000000|      2.00000000|[391, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[37.19916777260547, 149.8453366062281, -100.9686308649578, 2.493744392547617, 1.0427272243857009]|50072.7695312500000000|      4.00000000|[421, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      15|[37.19916777260547, 149.8453366062281, -100.9686308649578, 2.493744392547617, 1.0427272243857009]|50072.7695312500000000|      2.00000000|[451, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[37.19916777260547, 149.8453366062281, -100.9686308649578, 2.493744392547617, 1.0427272243857009]|50072.7695312500000000|      1.00000000|[481, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[36.268682891971075, 149.78738507086578, -101.03175405880239, 2.5000495300596732, 0.6866159860067975]|47737.0195312500000000|      2.00000000|[511, 34, 0, 34]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      18|[36.268682891971075, 149.78738507086578, -101.03175405880239, 2.5000495300596732, 0.6866159860067975]|47737.0195312500000000|      1.00000000|[541, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
