k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[-0.0045364487397503, 0.0032525015143764, -0.000792454519815, -0.0001909938817396, 0.0010180019586761, 0.0031976350223139, 0.001074802223254, -0.0003303757355335, 0.0003605535349437, 0.001684272365471, 0.0006601807457249, -0.0018397176718213, -0.0005748866524831, 0.0001711944757549, 0.9969113044357201]|2136.0860515637082244|      0.01562500|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       9|[-0.0045364487397503, 0.0032525015143764, -0.000792454519815, -0.0001909938817396, 0.0010180019586761, 0.0031976350223139, 0.001074802223254, -0.0003303757355335, 0.0003605535349437, 0.001684272365471, 0.0006601807457249, -0.0018397176718213, -0.0005748866524831, 0.0001711944757549, 0.9969113044357201]|2136.0860515637082244|      0.00781250|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[-0.0045364487397503, 0.0032525015143764, -0.000792454519815, -0.0001909938817396, 0.0010180019586761, 0.0031976350223139, 0.001074802223254, -0.0003303757355335, 0.0003605535349437, 0.001684272365471, 0.0006601807457249, -0.0018397176718213, -0.0005748866524831, 0.0001711944757549, 0.9969113044357201]|2136.0860515637082244|      0.00390625|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[-0.0009768195305728, 0.0030027434282798, -0.0013087302307922, -6.35069200284e-05, 0.0010895446653209, 0.0024253441813577, 0.0003040436469865, -0.0005470054945578, 0.0002224588804198, 0.0019050824206948, 0.0002841326551333, -0.0020429195222906, -0.0011057929568308, 5.408606403e-07, 0.9962490408562075]|2127.8927021669260284|      0.00781250|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      12|[-0.0009768195305728, 0.0030027434282798, -0.0013087302307922, -6.35069200284e-05, 0.0010895446653209, 0.0024253441813577, 0.0003040436469865, -0.0005470054945578, 0.0002224588804198, 0.0019050824206948, 0.0002841326551333, -0.0020429195222906, -0.0011057929568308, 5.408606403e-07, 0.9962490408562075]|2127.8927021669260284|      0.00390625|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[-0.0026711959152022, 0.0018633485139145, -0.0007914010936707, -0.0006284562158709, 0.0002377074927854, 0.0007617375550963, -8.47053738986e-05, -0.0009167977734153, 0.0010148806337482, 0.0019091455793504, 0.0010559298067154, -0.0031360706881542, 0.0008061353934598, -0.0008036208154644, 0.9962811193951298]|2116.7005646678480844|      0.00781250|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      14|[-0.0026711959152022, 0.0018633485139145, -0.0007914010936707, -0.0006284562158709, 0.0002377074927854, 0.0007617375550963, -8.47053738986e-05, -0.0009167977734153, 0.0010148806337482, 0.0019091455793504, 0.0010559298067154, -0.0031360706881542, 0.0008061353934598, -0.0008036208154644, 0.9962811193951298]|2116.7005646678480844|      0.00390625|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      15|[-0.0026401598162147, 0.0001150286202481, -0.0025892131465469, 0.0002135956155764, -8.76746538498e-05, 0.0027989162091806, -0.0009335514356891, -0.0016977903336076, 0.0007228720428967, 0.0021795653233325, 0.0006233852322401, -0.0038279370637746, 0.0006189431858446, -0.0021492394211458, 0.9963416535361123]|2115.5468747636191438|      0.00781250|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      16|[-0.0026401598162147, 0.0001150286202481, -0.0025892131465469, 0.0002135956155764, -8.76746538498e-05, 0.0027989162091806, -0.0009335514356891, -0.0016977903336076, 0.0007228720428967, 0.0021795653233325, 0.0006233852322401, -0.0038279370637746, 0.0006189431858446, -0.0021492394211458, 0.9963416535361123]|2115.5468747636191438|      0.00390625|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
