k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.12500000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[0.96226563671386, 1.9563359234202118, 1.103245795228807, 0.973746927739115, 1.024969388365837, 1.017949313438012]|  0.6499135080375206|      0.25000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[0.96226563671386, 1.9563359234202118, 1.103245795228807, 0.973746927739115, 1.024969388365837, 1.017949313438012]|  0.6499135080375206|      0.12500000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[0.9712400496992325, 1.8821061372659391, 1.080958325760748, 0.9362897093531385, 1.104231788777702, 1.060985299955155]|  0.5611402467782692|      0.25000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[0.9712400496992325, 1.8821061372659391, 1.080958325760748, 0.9362897093531385, 1.104231788777702, 1.060985299955155]|  0.5611402467782692|      0.12500000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[1.0369553420847553, 1.8043668575397904, 1.1097921490165148, 0.948556903654847, 1.1197516818880715, 1.1245491594399826]|  0.4848953708867061|      0.25000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[1.0369553420847553, 1.8043668575397904, 1.1097921490165148, 0.948556903654847, 1.1197516818880715, 1.1245491594399826]|  0.4848953708867061|      0.12500000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[1.0369553420847553, 1.8043668575397904, 1.1097921490165148, 0.948556903654847, 1.1197516818880715, 1.1245491594399826]|  0.4848953708867061|      0.06250000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[1.0553538334398491, 1.813470359740104, 1.1251581154141064, 0.9054045679064896, 1.142848439645631, 1.1537583111011172]|  0.4473028954968993|      0.12500000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[1.0553538334398491, 1.813470359740104, 1.1251581154141064, 0.9054045679064896, 1.142848439645631, 1.1537583111011172]|  0.4473028954968993|      0.06250000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[1.0553538334398491, 1.813470359740104, 1.1251581154141064, 0.9054045679064896, 1.142848439645631, 1.1537583111011172]|  0.4473028954968993|      0.03125000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[1.0572062034785892, 1.8140775093465122, 1.1123063976685443, 0.9217797387362173, 1.1657004070987693, 1.1579100949829402]|  0.4369915264551437|      0.06250000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      15|[1.0812846998773995, 1.8246103032439451, 1.151567152076973, 0.9300120373019514, 1.1942129122533953, 1.186077376308971]|  0.4143911082871523|      0.12500000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      16|[1.0812846998773995, 1.8246103032439451, 1.151567152076973, 0.9300120373019514, 1.1942129122533953, 1.186077376308971]|  0.4143911082871523|      0.06250000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[1.114552031310451, 1.8525014856549251, 1.1807369269222792, 0.9333136863944163, 1.2172917193967925, 1.161033243011466]|  0.3910759317267726|      0.12500000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      18|[1.1548043171756792, 1.8722862838011531, 1.179126992741686, 0.8352348969806888, 1.2761334395576263, 1.1840316427932538]|  0.3544848892579833|      0.25000000|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      19|[1.1548043171756792, 1.8722862838011531, 1.179126992741686, 0.8352348969806888, 1.2761334395576263, 1.1840316427932538]|  0.3544848892579833|      0.12500000|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      20|[1.1548043171756792, 1.8722862838011531, 1.179126992741686, 0.8352348969806888, 1.2761334395576263, 1.1840316427932538]|  0.3544848892579833|      0.06250000|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
