k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[20.003939251372515, 2.055309165052032, 1.942767110732815, 2.0594054376265625, 0.6900211923237587]|4875.8920342282081037|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[20.003939251372515, 2.055309165052032, 1.942767110732815, 2.0594054376265625, 0.6900211923237587]|4875.8920342282081037|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[20.003939251372515, 2.055309165052032, 1.942767110732815, 2.0594054376265625, 0.6900211923237587]|4875.8920342282081037|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[20.003939251372515, 2.055309165052032, 1.942767110732815, 2.0594054376265625, 0.6900211923237587]|4875.8920342282081037|      0.12500000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[20.01276823804189, 2.049350113387078, 1.956864059201863, 2.068679874069778, 0.5666242735203779]|3997.7420405973389279|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       7|[20.01276823804189, 2.049350113387078, 1.956864059201863, 2.068679874069778, 0.5666242735203779]|3997.7420405973389279|      0.12500000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[20.01276823804189, 2.049350113387078, 1.956864059201863, 2.068679874069778, 0.5666242735203779]|3997.7420405973389279|      0.06250000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[20.026790732136085, 2.102059897942068, 1.960527440741701, 2.0822995711098637, 0.5936868262413364]|3933.9490403704458004|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[20.051632046943364, 2.198762691616943, 1.950306562760554, 2.0909403584615642, 0.5196777104422858]|3645.0396446325107718|      0.25000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      11|[20.051632046943364, 2.198762691616943, 1.950306562760554, 2.0909403584615642, 0.5196777104422858]|3645.0396446325107718|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[20.051632046943364, 2.198762691616943, 1.950306562760554, 2.0909403584615642, 0.5196777104422858]|3645.0396446325107718|      0.06250000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[20.055987997154208, 2.2315981679270678, 1.9424680994700505, 2.0738971080656423, 0.5692477951954232]|3618.6674863844491483|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      14|[20.075691109660152, 2.301786049239143, 2.0337912267797393, 2.0944402211044855, 0.5298966122455819]|3358.8685158543567013|      0.25000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      15|[20.075691109660152, 2.301786049239143, 2.0337912267797393, 2.0944402211044855, 0.5298966122455819]|3358.8685158543567013|      0.12500000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[20.04312865442796, 2.4187912003626884, 2.027499037990661, 2.102887306941266, 0.5022644530661681]|3184.6721038193859386|      0.25000000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[20.04312865442796, 2.4187912003626884, 2.027499037990661, 2.102887306941266, 0.5022644530661681]|3184.6721038193859386|      0.12500000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[20.04312865442796, 2.4187912003626884, 2.027499037990661, 2.102887306941266, 0.5022644530661681]|3184.6721038193859386|      0.06250000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[20.04312865442796, 2.4187912003626884, 2.027499037990661, 2.102887306941266, 0.5022644530661681]|3184.6721038193859386|      0.03125000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[20.04312865442796, 2.4187912003626884, 2.027499037990661, 2.102887306941266, 0.5022644530661681]|3184.6721038193859386|      0.01562500|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[20.04509501461522, 2.4281048478871536, 2.030116492677463, 2.1040121322156797, 0.5143232142574575]|3161.8366447897838043|      0.03125000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      22|[20.058079099863548, 2.444911483510458, 2.034146682607886, 2.107151496139692, 0.4919756194748641]|3153.3171011095096219|      0.06250000|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[20.058079099863548, 2.444911483510458, 2.034146682607886, 2.107151496139692, 0.4919756194748641]|3153.3171011095096219|      0.03125000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
