k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.50000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.25000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       3|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.12500000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.06250000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[0.9453404184052575, 10.002681849440686, 499.9698107995557]                     |  0.7199369668960571|      0.12500000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[0.9453404184052575, 10.002681849440686, 499.9698107995557]                     |  0.7199369668960571|      0.06250000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[0.9453404184052575, 10.002681849440686, 499.9698107995557]                     |  0.7199369668960571|      0.03125000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.9228783137846295, 9.990375073342888, 499.9519066207672]                      |  0.7190425395965576|      0.06250000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[0.8606533730934861, 9.995868865889001, 499.95393763023145]                     |  0.7165002822875977|      0.12500000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[0.8606533730934861, 9.995868865889001, 499.95393763023145]                     |  0.7165002822875977|      0.06250000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.8606533730934861, 9.995868865889001, 499.95393763023145]                     |  0.7165002822875977|      0.03125000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[0.8311673035460612, 9.986776137612782, 499.95888298109253]                     |  0.7153766751289368|      0.06250000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[0.7710919126463986, 9.993276193550734, 499.97485003094704]                     |  0.7131563425064087|      0.12500000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[0.7710919126463986, 9.993276193550734, 499.97485003094704]                     |  0.7131563425064087|      0.06250000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[0.7710919126463986, 9.993276193550734, 499.97485003094704]                     |  0.7131563425064087|      0.03125000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
