k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.00335429914429, 149.94193567561047, -100.05765824101748, 100.00118573426708, 200.00004975986238]|84511.8122667128482135|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       2|[47.01107190480534, 149.812707562696, -100.17592480835611, 100.00728567436128, 199.9907349426115]|78035.9815484599239426|      4.00000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       3|[43.02562658767957, 149.56691752327504, -100.41175012933124, 100.0001622416694, 200.00292327372537]|65876.3979790057201171|      8.00000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       4|[35.0596831439555, 149.02476010947098, -100.91031652473707, 100.03420776617318, 199.99382153322253]|44725.5927973156576627|     16.00000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       5|[19.156513876749944, 147.80965984781534, -101.99677716494381, 99.69889251789154, 200.5594234906841]|15103.7699089394081966|     32.00000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       6|[-11.336462159809908, 142.00125103295403, -107.73405743763857, 94.46254102401296, 200.2353284763274]|5066.4597522751118959|     64.00000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       7|[-11.336462159809908, 142.00125103295403, -107.73405743763857, 94.46254102401296, 200.2353284763274]|5066.4597522751118959|     32.00000000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[-11.336462159809908, 142.00125103295403, -107.73405743763857, 94.46254102401296, 200.2353284763274]|5066.4597522751118959|     16.00000000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[3.418319060259183, 141.78535421727574, -113.52625783997642, 94.75635829647148, 198.0873280986648]|1201.6953283285802172|     32.00000000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
      10|[3.418319060259183, 141.78535421727574, -113.52625783997642, 94.75635829647148, 198.0873280986648]|1201.6953283285802172|     16.00000000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[3.418319060259183, 141.78535421727574, -113.52625783997642, 94.75635829647148, 198.0873280986648]|1201.6953283285802172|      8.00000000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[-3.609602943390753, 138.36687286392137, -115.14157953054534, 95.26565735499804, 197.85570803834364]|926.9823105123022060|     16.00000000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      13|[-3.609602943390753, 138.36687286392137, -115.14157953054534, 95.26565735499804, 197.85570803834364]|926.9823105123022060|      8.00000000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[-3.609602943390753, 138.36687286392137, -115.14157953054534, 95.26565735499804, 197.85570803834364]|926.9823105123022060|      4.00000000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[0.334252290391869, 137.8887374534426, -115.59768137969213, 95.21593629750464, 197.93872215677135]|478.2093589723941136|      8.00000000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      16|[0.334252290391869, 137.8887374534426, -115.59768137969213, 95.21593629750464, 197.93872215677135]|478.2093589723941136|      4.00000000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
