k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.255993230443444, 149.78150595213617, -100.35854026111616, 100.12518746987962, 200.50447126424206]|85255.2109375000000000|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[47.40672743835411, 149.22426614756824, -100.42425114953019, 99.91321791624067, 200.0349493607197]|79131.2812500000000000|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[43.43984655738087, 148.8206391133111, -100.34498003578791, 100.10601641597906, 200.27471199836458]|66957.5625000000000000|      8.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[37.85776806637911, 150.33827174419625, -102.12083916907379, 95.00792826951071, 199.09445248981052]|51629.2343750000000000|     16.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[23.507147754857836, 150.22297770006173, -106.20712923342514, 91.64206821556621, 203.78695966244058]|21204.1074218750000000|     32.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[-0.1768573637160351, 146.14241771241137, -125.65202470662064, 99.85566418955513, 202.8651066681251]|400.6862182617187500|     64.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[-0.1768573637160351, 146.14241771241137, -125.65202470662064, 99.85566418955513, 202.8651066681251]|400.6862182617187500|     32.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[-0.1768573637160351, 146.14241771241137, -125.65202470662064, 99.85566418955513, 202.8651066681251]|400.6862182617187500|     16.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-0.1768573637160351, 146.14241771241137, -125.65202470662064, 99.85566418955513, 202.8651066681251]|400.6862182617187500|      8.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[-0.1768573637160351, 146.14241771241137, -125.65202470662064, 99.85566418955513, 202.8651066681251]|400.6862182617187500|      4.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.311295360326352, 147.0849243423317, -129.19116179830974, 99.40020413253882, 204.32813536000347]|305.6361694335937500|      8.00000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[0.311295360326352, 147.0849243423317, -129.19116179830974, 99.40020413253882, 204.32813536000347]|305.6361694335937500|      4.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[0.1875559723748189, 144.24899783712812, -131.37299209485656, 97.75041884621457, 205.00639378203127]|156.5118103027343750|      8.00000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[0.1875559723748189, 144.24899783712812, -131.37299209485656, 97.75041884621457, 205.00639378203127]|156.5118103027343750|      4.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[0.1875559723748189, 144.24899783712812, -131.37299209485656, 97.75041884621457, 205.00639378203127]|156.5118103027343750|      2.00000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[0.6834667822794465, 143.51027218642108, -132.4214131264811, 96.46962228730708, 205.69103266256994]|120.6428298950195312|      4.00000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[0.6834667822794465, 143.51027218642108, -132.4214131264811, 96.46962228730708, 205.69103266256994]|120.6428298950195312|      2.00000000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      18|[0.1202215478413615, 142.51804234908013, -133.70034299507208, 95.51430592424013, 205.30380689708477]| 74.7281341552734375|      4.00000000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      19|[0.8064716984023571, 140.99296862250947, -136.7365316821625, 94.71954495443329, 203.47265313056636]| 19.9667854309082031|      8.00000000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
