k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[1.4078606721333462, 0.5203843959331973, 0.678656059327859, 0.7434371655912893, 0.545465515814606, 3.0698208826962206, 5.016485953298643, 6.871312468123928, 2.040395434761045, 4.5702686096356855, 5.5103543085959865]|  2.3897242894363813|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       4|[1.4078606721333462, 0.5203843959331973, 0.678656059327859, 0.7434371655912893, 0.545465515814606, 3.0698208826962206, 5.016485953298643, 6.871312468123928, 2.040395434761045, 4.5702686096356855, 5.5103543085959865]|  2.3897242894363813|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[1.3989009771034093, 0.3917949976294919, 0.7249753616266316, 0.660960149973907, 0.6241346038346207, 3.125708045127794, 5.056094608440201, 6.847963558830627, 2.124709516026348, 4.555975374584188, 5.6452512185255825]|  1.8919819337431807|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       6|[1.3989009771034093, 0.3917949976294919, 0.7249753616266316, 0.660960149973907, 0.6241346038346207, 3.125708045127794, 5.056094608440201, 6.847963558830627, 2.124709516026348, 4.555975374584188, 5.6452512185255825]|  1.8919819337431807|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[1.4013202124994264, 0.4397902701476646, 0.7040277960635436, 0.7279349060661663, 0.4181544140740051, 3.123015701909112, 5.02221420066956, 6.868650734791135, 2.1834984433743148, 4.638688319263861, 5.676197702935093]|  1.7102696549416032|      0.50000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[1.4013202124994264, 0.4397902701476646, 0.7040277960635436, 0.7279349060661663, 0.4181544140740051, 3.123015701909112, 5.02221420066956, 6.868650734791135, 2.1834984433743148, 4.638688319263861, 5.676197702935093]|  1.7102696549416032|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[1.4401832932794278, 0.400639696118276, 0.6598430451072395, 0.702446768735292, 0.5460569590583181, 3.1961895487176104, 5.079907459521788, 7.018143199709488, 2.197060085783079, 4.5427445404880995, 5.684906736097263]|  1.4563142831925160|      0.50000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[1.4401832932794278, 0.400639696118276, 0.6598430451072395, 0.702446768735292, 0.5460569590583181, 3.1961895487176104, 5.079907459521788, 7.018143199709488, 2.197060085783079, 4.5427445404880995, 5.684906736097263]|  1.4563142831925160|      0.25000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[1.3243011172523986, 0.2750166679686685, 0.6049781481438, 0.7550963437172618, 0.4831211089432339, 3.202744245224325, 5.11902460437763, 7.0216955028029195, 2.223399524468023, 4.681585000565628, 5.6402867083804304]|  1.0284083453060204|      0.50000000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[1.3243011172523986, 0.2750166679686685, 0.6049781481438, 0.7550963437172618, 0.4831211089432339, 3.202744245224325, 5.11902460437763, 7.0216955028029195, 2.223399524468023, 4.681585000565628, 5.6402867083804304]|  1.0284083453060204|      0.25000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
