k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-500.0, -700.0]                                                                |  6.5525197919342713|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-500.0, -700.0]                                                                |  6.5525197919342713|      0.50000000|[5, 0, 0, 1]                                                               |  | used linear model with 5 points | actual_k=0
       2|[-500.0, -700.0]                                                                |  6.5525197919342713|      0.25000000|[9, 0, 0, 2]                                                               |  | used linear model with 5 points | actual_k=0
       3|[-500.0, -700.0]                                                                |  6.5525197919342713|      0.12500000|[13, 0, 0, 3]                                                              |  | used linear model with 5 points | actual_k=0
       4|[-500.0, -700.0]                                                                |  6.5525197919342713|      0.06250000|[17, 0, 0, 4]                                                              |  | used linear model with 5 points | actual_k=0
       5|[-500.0, -700.0]                                                                |  6.5525197919342713|      0.03125000|[21, 0, 0, 5]                                                              |  | used linear model with 5 points | actual_k=0
       6|[-500.0, -700.0]                                                                |  6.5525197919342713|      0.01562500|[25, 0, 0, 6]                                                              |  | used linear model with 5 points | actual_k=0
       7|[-500.0, -700.0]                                                                |  6.5525197919342713|      0.00781250|[29, 0, 0, 7]                                                              |  | used linear model with 5 points | actual_k=0
       8|[-500.0, -700.0]                                                                |  6.5525197919342713|      0.00390625|[33, 0, 0, 8]                                                              |  | used linear model with 5 points | actual_k=0
       9|[-500.0, -700.0]                                                                |  6.5525197919342713|      0.00195312|[37, 0, 0, 9]                                                              |  | used linear model with 5 points | actual_k=0
      10|[-499.99944691899515, -699.9981268212398]                                       |  6.5525164170040586|      0.00390625|[41, 0, 1, 11]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      11|[-499.99944691899515, -699.9981268212398]                                       |  6.5525164170040586|      0.00195312|[46, 0, 1, 12]                                                             |  | used linear model with 5 points | actual_k=0
      12|[-499.9988022729927, -699.9962831486015]                                        |  6.5525130665727174|      0.00390625|[50, 0, 2, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      13|[-499.9988022729927, -699.9962831486015]                                        |  6.5525130665727174|      0.00195312|[55, 0, 2, 15]                                                             |  | used linear model with 5 points | actual_k=0
      14|[-499.99848648211827, -699.994355721978]                                        |  6.5525097873470859|      0.00390625|[59, 0, 3, 17]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      15|[-499.99848648211827, -699.994355721978]                                        |  6.5525097873470859|      0.00195312|[64, 0, 3, 18]                                                             |  | used linear model with 5 points | actual_k=0
      16|[-499.9978593075396, -699.9925060330005]                                        |  6.5525064910342525|      0.00390625|[68, 0, 4, 20]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
