k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 0.5]                                                                      |  0.4598493014643029|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 0.5]                                                                      |  0.4598493014643029|      0.50000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[0.3791395683286835, 0.0148270864359564]                                        |  0.1943237334489822|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[0.3791395683286835, 0.0148270864359564]                                        |  0.1943237334489822|      0.50000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.3791395683286835, 0.0148270864359564]                                        |  0.1943237334489822|      0.25000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.1431378906352898, 0.0973086487750849]                                        |  0.0545548871159554|      0.50000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[0.1431378906352898, 0.0973086487750849]                                        |  0.0545548871159554|      0.25000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[-0.0459997422639201, -0.0661751602742632]                                      |  0.0194313041865826|      0.50000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[-0.0459997422639201, -0.0661751602742632]                                      |  0.0194313041865826|      0.25000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-0.0459997422639201, -0.0661751602742632]                                      |  0.0194313041865826|      0.12500000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.0127743513220344, 0.0441453089195789]                                        |  0.0058312523178756|      0.25000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
