k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0]                                                                 |1009.3578488831893765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 1.0]                                                                 |1009.3578488831893765|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 1.0]                                                                 |1009.3578488831893765|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 1.0]                                                                 |1009.3578488831893765|      0.12500000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.0, 0.0, 1.0]                                                                 |1009.3578488831893765|      0.06250000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.0, 0.0, 1.0]                                                                 |1009.3578488831893765|      0.03125000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.0143070358443489, -0.0257917638312571, 0.9896725538577452]                   |941.4414804810596706|      0.06250000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[0.0143070358443489, -0.0257917638312571, 0.9896725538577452]                   |941.4414804810596706|      0.03125000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.0143070358443489, -0.0257917638312571, 0.9896725538577452]                   |941.4414804810596706|      0.01562500|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.0143070358443489, -0.0257917638312571, 0.9896725538577452]                   |941.4414804810596706|      0.00781250|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.0209969782740909, -0.0219224782423747, 0.9885286764305681]                   |935.1032839513060253|      0.01562500|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[0.0209969782740909, -0.0219224782423747, 0.9885286764305681]                   |935.1032839513060253|      0.00781250|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.027499855838389, -0.0184629347423001, 0.9911323850173418]                    |934.3510835093076139|      0.01562500|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      13|[0.027499855838389, -0.0184629347423001, 0.9911323850173418]                    |934.3510835093076139|      0.00781250|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.027499855838389, -0.0184629347423001, 0.9911323850173418]                    |934.3510835093076139|      0.00390625|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[0.027499855838389, -0.0184629347423001, 0.9911323850173418]                    |934.3510835093076139|      0.00195312|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
