k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.003446395103644, 149.94143383512952, -100.05869923584673, 100.00013882909344, 200.00230159464996]|84511.8125000000000000|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[47.01097911632405, 149.81286257795654, -100.17451533560642, 99.99712592722013, 200.01330742403084]|78035.9921875000000000|      4.00000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       3|[43.030777356454585, 149.52051674545953, -100.43670693883685, 99.99162551902438, 199.95204427312598]|65878.2890625000000000|      8.00000000|[82, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[35.06468900671496, 148.99195031411023, -100.94243011384965, 99.9124347726732, 199.9572238233528]|44726.7695312500000000|     16.00000000|[109, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | iterate success | actual_k=2
       5|[19.12037886376261, 148.9106806603463, -101.9599566646743, 99.46920349795636, 200.69244832253912]|15203.4687500000000000|     32.00000000|[136, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       6|[-11.798211426515959, 147.34399904973594, -108.16119326297348, 95.64141517750508, 197.15988771886953]|5643.3334960937500000|     64.00000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       7|[-11.798211426515959, 147.34399904973594, -108.16119326297348, 95.64141517750508, 197.15988771886953]|5643.3334960937500000|     32.00000000|[189, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[-11.798211426515959, 147.34399904973594, -108.16119326297348, 95.64141517750508, 197.15988771886953]|5643.3334960937500000|     16.00000000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[2.723751093511897, 147.2028956353523, -113.85204462570623, 98.88765785157572, 195.68719845711703]|1383.3940429687500000|     32.00000000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[2.723751093511897, 147.2028956353523, -113.85204462570623, 98.88765785157572, 195.68719845711703]|1383.3940429687500000|     16.00000000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[2.723751093511897, 147.2028956353523, -113.85204462570623, 98.88765785157572, 195.68719845711703]|1383.3940429687500000|      8.00000000|[296, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[2.723751093511897, 147.2028956353523, -113.85204462570623, 98.88765785157572, 195.68719845711703]|1383.3940429687500000|      4.00000000|[322, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[-0.8273543084852055, 146.02600996177583, -115.23960643015158, 99.0508996444281, 195.45781909634508]|916.1871337890625000|      8.00000000|[348, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      14|[-0.8273543084852055, 146.02600996177583, -115.23960643015158, 99.0508996444281, 195.45781909634508]|916.1871337890625000|      4.00000000|[374, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      15|[-1.2077156423631017, 144.1310729825845, -116.96895168617087, 100.5692624563653, 192.81803151826352]|738.9965209960937500|      8.00000000|[400, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      16|[2.18789634818292, 141.26423112641436, -123.13323654090581, 98.09610151100792, 193.18695447690862]|458.6463928222656250|     16.00000000|[426, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      17|[2.18789634818292, 141.26423112641436, -123.13323654090581, 98.09610151100792, 193.18695447690862]|458.6463928222656250|      8.00000000|[452, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      18|[2.18789634818292, 141.26423112641436, -123.13323654090581, 98.09610151100792, 193.18695447690862]|458.6463928222656250|      4.00000000|[478, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      19|[-1.3388427907242986, 140.0651192784981, -124.53946938150087, 98.05742955095226, 192.80583048156825]|302.4095764160156250|      8.00000000|[504, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      20|[-1.3388427907242986, 140.0651192784981, -124.53946938150087, 98.05742955095226, 192.80583048156825]|302.4095764160156250|      4.00000000|[530, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
