k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      0.50000000|[61, 4, 1, 5]                                                              |  | used linear model with 65 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      0.25000000|[122, 8, 2, 10]                                                            |  | used linear model with 65 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      0.12500000|[183, 12, 3, 15]                                                           |  | used linear model with 65 points | iterate failure | actual_k=1
       4|[0.0150749948960181, 0.0035360662809086, 0.0139415325670412, 0.0242316741029887, -0.0225355131674323, -0.0075367206297309, -0.0199565849495857, 0.0049804002276157, 0.0071017824633547, -0.0183762769385372, -0.0021276205786101, 0.0232829360259088, -0.0007767320694329, -0.0182055383337929, 0.0061069024273645, -0.0116369230010187, -0.0156599216403488, 0.0106913217444855, -0.0096521292975665, 0.0085584961332689, -0.0077442321435423, -6.09395218293e-05, 0.0007002735229328, 0.0199059698642869, -0.015958992710687, -0.0135603149919277, 0.0186069768520914, -0.0056416230617805, -0.0098292899796795, -0.0206092506173517, 0.0312177605661874, 0.004501333286571, -0.032765236249744, -0.0050573554717385, 0.0294507726202144, 0.0058287885323071, -0.0069519511199756, -0.0178377465328864, -0.0282440047700327, 0.0273734342676856, 0.0248681329667155, -0.0294184230819899, -0.0008763370788587, 0.0098662548360251, 0.0270289422973857, 0.0004249906155235, 0.0155343496258873, -1.38730076695e-05, 0.038188819982284, 0.0013969316998703, -0.0190733867610085, 0.0121087251073983, -0.0015649465879107, -0.0076858809774573, -0.013760820954112, -0.0065724253965653, -0.0113204745783053]|88668.4183557720243698|      0.25000000|[244, 16, 4, 20]                                                           |  | used linear model with 65 points | iterate success | actual_k=1
       5|[0.0150749948960181, 0.0035360662809086, 0.0139415325670412, 0.0242316741029887, -0.0225355131674323, -0.0075367206297309, -0.0199565849495857, 0.0049804002276157, 0.0071017824633547, -0.0183762769385372, -0.0021276205786101, 0.0232829360259088, -0.0007767320694329, -0.0182055383337929, 0.0061069024273645, -0.0116369230010187, -0.0156599216403488, 0.0106913217444855, -0.0096521292975665, 0.0085584961332689, -0.0077442321435423, -6.09395218293e-05, 0.0007002735229328, 0.0199059698642869, -0.015958992710687, -0.0135603149919277, 0.0186069768520914, -0.0056416230617805, -0.0098292899796795, -0.0206092506173517, 0.0312177605661874, 0.004501333286571, -0.032765236249744, -0.0050573554717385, 0.0294507726202144, 0.0058287885323071, -0.0069519511199756, -0.0178377465328864, -0.0282440047700327, 0.0273734342676856, 0.0248681329667155, -0.0294184230819899, -0.0008763370788587, 0.0098662548360251, 0.0270289422973857, 0.0004249906155235, 0.0155343496258873, -1.38730076695e-05, 0.038188819982284, 0.0013969316998703, -0.0190733867610085, 0.0121087251073983, -0.0015649465879107, -0.0076858809774573, -0.013760820954112, -0.0065724253965653, -0.0113204745783053]|88668.4183557720243698|      0.12500000|[305, 20, 5, 25]                                                           |  | used linear model with 65 points | iterate failure | actual_k=1
       6|[0.0150749948960181, 0.0035360662809086, 0.0139415325670412, 0.0242316741029887, -0.0225355131674323, -0.0075367206297309, -0.0199565849495857, 0.0049804002276157, 0.0071017824633547, -0.0183762769385372, -0.0021276205786101, 0.0232829360259088, -0.0007767320694329, -0.0182055383337929, 0.0061069024273645, -0.0116369230010187, -0.0156599216403488, 0.0106913217444855, -0.0096521292975665, 0.0085584961332689, -0.0077442321435423, -6.09395218293e-05, 0.0007002735229328, 0.0199059698642869, -0.015958992710687, -0.0135603149919277, 0.0186069768520914, -0.0056416230617805, -0.0098292899796795, -0.0206092506173517, 0.0312177605661874, 0.004501333286571, -0.032765236249744, -0.0050573554717385, 0.0294507726202144, 0.0058287885323071, -0.0069519511199756, -0.0178377465328864, -0.0282440047700327, 0.0273734342676856, 0.0248681329667155, -0.0294184230819899, -0.0008763370788587, 0.0098662548360251, 0.0270289422973857, 0.0004249906155235, 0.0155343496258873, -1.38730076695e-05, 0.038188819982284, 0.0013969316998703, -0.0190733867610085, 0.0121087251073983, -0.0015649465879107, -0.0076858809774573, -0.013760820954112, -0.0065724253965653, -0.0113204745783053]|88668.4183557720243698|      0.06250000|[366, 24, 6, 30]                                                           |  | used linear model with 65 points | iterate failure | actual_k=1
       7|[0.0129277229371892, 0.0159359677210496, 0.0092067878815212, 0.0139248832361964, -0.0205547655370743, -0.0102148591885777, -0.0213475660373528, 0.0086985919896735, 0.0021758821830872, -0.0205428584947467, 0.0001551697198383, 0.0268646104991844, -0.0052099883207856, -0.0045259656980149, 0.0138691048458245, -0.0142745048041721, -0.0099208530456466, 0.0068796415144726, -0.0171724555446116, 0.0078071317535115, -0.0113432861789141, -0.0023083817705871, -0.0034242004231153, 0.0241106906575633, -0.0046859261180211, -0.0136941254367649, 0.0258033172404423, -0.0046119339748333, -0.0175879081245499, -0.011564637556664, 0.0529336993090856, 0.0186460083570534, -0.0383807703670167, -0.0170955765698772, 0.0486359541165039, 0.0195040519952674, -0.0144889387859689, -0.0232996296314359, -0.0320047550705533, 0.0277701333595713, 0.0312209914353335, -0.0289331681366212, -0.0030491697653527, 0.0229714761793605, 0.0275158859119813, 0.0055723637813889, 0.0153898042984795, 0.0095496290606298, 0.0473097906474553, 0.0041910128754471, -0.0143637206455622, 0.0054703536394792, 0.0137029258694449, -0.0126159535886766, 0.0013274357723912, -0.0034337262356573, 0.0060168586435366]|68092.0324558676802553|      0.12500000|[427, 28, 7, 35]                                                           |  | used linear model with 65 points | iterate success | actual_k=1
       8|[0.0129277229371892, 0.0159359677210496, 0.0092067878815212, 0.0139248832361964, -0.0205547655370743, -0.0102148591885777, -0.0213475660373528, 0.0086985919896735, 0.0021758821830872, -0.0205428584947467, 0.0001551697198383, 0.0268646104991844, -0.0052099883207856, -0.0045259656980149, 0.0138691048458245, -0.0142745048041721, -0.0099208530456466, 0.0068796415144726, -0.0171724555446116, 0.0078071317535115, -0.0113432861789141, -0.0023083817705871, -0.0034242004231153, 0.0241106906575633, -0.0046859261180211, -0.0136941254367649, 0.0258033172404423, -0.0046119339748333, -0.0175879081245499, -0.011564637556664, 0.0529336993090856, 0.0186460083570534, -0.0383807703670167, -0.0170955765698772, 0.0486359541165039, 0.0195040519952674, -0.0144889387859689, -0.0232996296314359, -0.0320047550705533, 0.0277701333595713, 0.0312209914353335, -0.0289331681366212, -0.0030491697653527, 0.0229714761793605, 0.0275158859119813, 0.0055723637813889, 0.0153898042984795, 0.0095496290606298, 0.0473097906474553, 0.0041910128754471, -0.0143637206455622, 0.0054703536394792, 0.0137029258694449, -0.0126159535886766, 0.0013274357723912, -0.0034337262356573, 0.0060168586435366]|68092.0324558676802553|      0.06250000|[488, 32, 8, 40]                                                           |  | used linear model with 65 points | iterate failure | actual_k=1
       9|[0.0195633366588993, 0.0278891299632128, 0.0078568500227239, 0.0126056781359931, -0.0111059544671191, -0.0154034876232904, -0.0311070934036371, 6.15169439887e-05, 0.0024001377141252, -0.0273607502106868, 0.0058209706189969, 0.0126326773178293, -0.0013059192513497, 0.0008346176265006, 0.0141153883665275, -0.0105256202704238, -0.0070300040112317, 0.0132931806113538, -0.0203780934203164, 0.0069115552566794, -0.010407623080637, 0.0155301999341802, -0.007878535652941, 0.0256048448847701, -0.0116198801096724, -0.0203998001981853, 0.0231178081987, -0.0032609701341914, -0.0127096394750004, -0.0118863823989881, 0.0602925360647438, 0.0150726983344253, -0.0441013100983575, -0.0030596168870856, 0.0366279023052035, 0.0087781649048394, -0.0081228241870642, -0.0170323876910317, -0.0249450750262429, 0.0404615949483527, 0.0435116410183843, -0.0191799529702548, 0.0098751006148361, 0.0448338761524294, 0.0333597426932626, 0.0114587987876375, 0.0059138600751385, 0.0102499007551891, 0.0484044260600119, 0.0103775786759166, -0.0193113245148474, 0.0134524577148665, 0.0334096230670834, -0.001715917443537, 0.0042654794954121, 0.0011616894118349, 0.0071465396099125]|53495.4841622104431735|      0.12500000|[549, 36, 9, 45]                                                           |  | used linear model with 65 points | iterate success | actual_k=1
      10|[0.0195633366588993, 0.0278891299632128, 0.0078568500227239, 0.0126056781359931, -0.0111059544671191, -0.0154034876232904, -0.0311070934036371, 6.15169439887e-05, 0.0024001377141252, -0.0273607502106868, 0.0058209706189969, 0.0126326773178293, -0.0013059192513497, 0.0008346176265006, 0.0141153883665275, -0.0105256202704238, -0.0070300040112317, 0.0132931806113538, -0.0203780934203164, 0.0069115552566794, -0.010407623080637, 0.0155301999341802, -0.007878535652941, 0.0256048448847701, -0.0116198801096724, -0.0203998001981853, 0.0231178081987, -0.0032609701341914, -0.0127096394750004, -0.0118863823989881, 0.0602925360647438, 0.0150726983344253, -0.0441013100983575, -0.0030596168870856, 0.0366279023052035, 0.0087781649048394, -0.0081228241870642, -0.0170323876910317, -0.0249450750262429, 0.0404615949483527, 0.0435116410183843, -0.0191799529702548, 0.0098751006148361, 0.0448338761524294, 0.0333597426932626, 0.0114587987876375, 0.0059138600751385, 0.0102499007551891, 0.0484044260600119, 0.0103775786759166, -0.0193113245148474, 0.0134524577148665, 0.0334096230670834, -0.001715917443537, 0.0042654794954121, 0.0011616894118349, 0.0071465396099125]|53495.4841622104431735|      0.06250000|[610, 40, 10, 50]                                                          |  | used linear model with 65 points | iterate failure | actual_k=1
      11|[0.0195633366588993, 0.0278891299632128, 0.0078568500227239, 0.0126056781359931, -0.0111059544671191, -0.0154034876232904, -0.0311070934036371, 6.15169439887e-05, 0.0024001377141252, -0.0273607502106868, 0.0058209706189969, 0.0126326773178293, -0.0013059192513497, 0.0008346176265006, 0.0141153883665275, -0.0105256202704238, -0.0070300040112317, 0.0132931806113538, -0.0203780934203164, 0.0069115552566794, -0.010407623080637, 0.0155301999341802, -0.007878535652941, 0.0256048448847701, -0.0116198801096724, -0.0203998001981853, 0.0231178081987, -0.0032609701341914, -0.0127096394750004, -0.0118863823989881, 0.0602925360647438, 0.0150726983344253, -0.0441013100983575, -0.0030596168870856, 0.0366279023052035, 0.0087781649048394, -0.0081228241870642, -0.0170323876910317, -0.0249450750262429, 0.0404615949483527, 0.0435116410183843, -0.0191799529702548, 0.0098751006148361, 0.0448338761524294, 0.0333597426932626, 0.0114587987876375, 0.0059138600751385, 0.0102499007551891, 0.0484044260600119, 0.0103775786759166, -0.0193113245148474, 0.0134524577148665, 0.0334096230670834, -0.001715917443537, 0.0042654794954121, 0.0011616894118349, 0.0071465396099125]|53495.4841622104431735|      0.03125000|[671, 44, 11, 55]                                                          |  | used linear model with 65 points | iterate failure | actual_k=1
