k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[33, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[20.038894222681495, 2.036267217219123, 2.042580915679373, 2.0046902089385696, 0.6953148452824747]|4922.4960937500000000|      1.00000000|[65, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       3|[20.038894222681495, 2.036267217219123, 2.042580915679373, 2.0046902089385696, 0.6953148452824747]|4922.4960937500000000|      0.50000000|[97, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[20.038894222681495, 2.036267217219123, 2.042580915679373, 2.0046902089385696, 0.6953148452824747]|4922.4960937500000000|      0.25000000|[129, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[20.038894222681495, 2.036267217219123, 2.042580915679373, 2.0046902089385696, 0.6953148452824747]|4922.4960937500000000|      0.12500000|[161, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[20.050991259802604, 2.039487329984242, 2.036366932575596, 1.9919586285701012, 0.5717527724527521]|4000.6242675781250000|      0.25000000|[193, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       7|[20.050991259802604, 2.039487329984242, 2.036366932575596, 1.9919586285701012, 0.5717527724527521]|4000.6242675781250000|      0.12500000|[225, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[20.14323191165776, 2.086294746051509, 1.995251145860975, 2.0127807594024323, 0.5188220734503719]|3932.5825195312500000|      0.25000000|[257, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       9|[20.193488053485105, 2.2418152690975806, 1.807406465254325, 2.009042839587903, 0.4967292908426477]|3676.5666503906250000|      0.50000000|[289, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      10|[20.193488053485105, 2.2418152690975806, 1.807406465254325, 2.009042839587903, 0.4967292908426477]|3676.5666503906250000|      0.25000000|[321, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[20.193488053485105, 2.2418152690975806, 1.807406465254325, 2.009042839587903, 0.4967292908426477]|3676.5666503906250000|      0.12500000|[353, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[20.193488053485105, 2.2418152690975806, 1.807406465254325, 2.009042839587903, 0.4967292908426477]|3676.5666503906250000|      0.06250000|[385, 0, 0, 24]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[20.19521148124253, 2.2724705754415617, 1.8126563314705466, 2.016776792864233, 0.5503591040173447]|3538.6796875000000000|      0.12500000|[417, 0, 0, 26]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      14|[20.19521148124253, 2.2724705754415617, 1.8126563314705466, 2.016776792864233, 0.5503591040173447]|3538.6796875000000000|      0.06250000|[449, 0, 0, 28]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[20.209635043070545, 2.3052287109015426, 1.8310917561346234, 2.038697840639463, 0.5078771289306068]|3452.0327148437500000|      0.12500000|[481, 0, 0, 30]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      16|[20.209635043070545, 2.3052287109015426, 1.8310917561346234, 2.038697840639463, 0.5078771289306068]|3452.0327148437500000|      0.06250000|[513, 0, 0, 32]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      17|[20.21634321991, 2.350091069725931, 1.834019484351721, 2.0473652766594146, 0.5498881165948977]|3410.7553710937500000|      0.12500000|[545, 0, 0, 34]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      18|[20.21634321991, 2.350091069725931, 1.834019484351721, 2.0473652766594146, 0.5498881165948977]|3410.7553710937500000|      0.06250000|[577, 0, 0, 36]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      19|[20.233387160650935, 2.3623295455661153, 1.8403528431464875, 2.0658149403280173, 0.4943410890414722]|3352.3286132812500000|      0.12500000|[609, 0, 0, 38]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      20|[20.233387160650935, 2.3623295455661153, 1.8403528431464875, 2.0658149403280173, 0.4943410890414722]|3352.3286132812500000|      0.06250000|[641, 0, 0, 40]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      21|[20.233387160650935, 2.3623295455661153, 1.8403528431464875, 2.0658149403280173, 0.4943410890414722]|3352.3286132812500000|      0.03125000|[673, 0, 0, 42]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      22|[20.23639494312043, 2.3728436952190184, 1.8420839454521434, 2.068092946531541, 0.523474958922362]|3293.0556640625000000|      0.06250000|[705, 0, 0, 44]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      23|[20.260202147082982, 2.425809135968471, 1.8626915710958865, 2.07440911120741, 0.5151346378963845]|3193.0139160156250000|      0.12500000|[737, 0, 0, 46]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      24|[20.260202147082982, 2.425809135968471, 1.8626915710958865, 2.07440911120741, 0.5151346378963845]|3193.0139160156250000|      0.06250000|[769, 0, 0, 48]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      25|[20.260202147082982, 2.425809135968471, 1.8626915710958865, 2.07440911120741, 0.5151346378963845]|3193.0139160156250000|      0.03125000|[801, 0, 0, 50]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
