k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.9035541096957171, -0.8812992050338928, -0.4626120420504019]                 |1100.8658128176457467|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[0.4486571916661404, -0.9659670379949971, -1.9337870671684]                     |  5.7460819906656280|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[0.4486571916661404, -0.9659670379949971, -1.9337870671684]                     |  5.7460819906656280|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.4486571916661404, -0.9659670379949971, -1.9337870671684]                     |  5.7460819906656280|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.4486571916661404, -0.9659670379949971, -1.9337870671684]                     |  5.7460819906656280|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.4486571916661404, -0.9659670379949971, -1.9337870671684]                     |  5.7460819906656280|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.4486571916661404, -0.9659670379949971, -1.9337870671684]                     |  5.7460819906656280|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.4486571916661404, -0.9659670379949971, -1.9337870671684]                     |  5.7460819906656280|      0.06250000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.4486571916661404, -0.9659670379949971, -1.9337870671684]                     |  5.7460819906656280|      0.03125000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.4271355096543236, -0.9681213980554704, -1.9112318363756975]                  |  4.5172766626980110|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[0.3763427901510463, -0.9746482266751031, -1.8754023770770791]                  |  3.8630112198533184|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[0.3763427901510463, -0.9746482266751031, -1.8754023770770791]                  |  3.8630112198533184|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.3763427901510463, -0.9746482266751031, -1.8754023770770791]                  |  3.8630112198533184|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.3934289453338886, -0.948588743660969, -1.8777537907165507]                   |  3.5997532584691623|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[0.3934289453338886, -0.948588743660969, -1.8777537907165507]                   |  3.5997532584691623|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
