k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.50000000|[9, 0, 0, 3]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[1000.0365500642876, 999.6527133632395, 400.2250574989545, 40.229867033487686, 0.6754673523052139, 0.4527847636914174, 0.0549262710596295]|2882576.0000000000000000|      1.00000000|[15, 0, 0, 5]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[1000.0365500642876, 999.6527133632395, 400.2250574989545, 40.229867033487686, 0.6754673523052139, 0.4527847636914174, 0.0549262710596295]|2882576.0000000000000000|      0.50000000|[23, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[1000.0365500642876, 999.6527133632395, 400.2250574989545, 40.229867033487686, 0.6754673523052139, 0.4527847636914174, 0.0549262710596295]|2882576.0000000000000000|      0.25000000|[31, 0, 0, 11]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[1000.0365500642876, 999.6527133632395, 400.2250574989545, 40.229867033487686, 0.6754673523052139, 0.4527847636914174, 0.0549262710596295]|2882576.0000000000000000|      0.12500000|[39, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[1000.0365500642876, 999.6527133632395, 400.2250574989545, 40.229867033487686, 0.6754673523052139, 0.4527847636914174, 0.0549262710596295]|2882576.0000000000000000|      0.06250000|[47, 0, 0, 17]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[1000.0359201831081, 999.6848784815835, 400.2085120665161, 40.22110012877159, 0.665556474103255, 0.4405955968681763, 0.0072413975234562]|2187011.5000000000000000|      0.12500000|[53, 0, 0, 19]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[1000.0603020934184, 999.6345962733544, 400.21466931670096, 40.250526783327835, 0.6641543601044894, 0.3446971832554603, -0.0417474848878793]|1551711.7500000000000000|      0.25000000|[59, 0, 0, 21]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[1000.0603020934184, 999.6345962733544, 400.21466931670096, 40.250526783327835, 0.6641543601044894, 0.3446971832554603, -0.0417474848878793]|1551711.7500000000000000|      0.12500000|[67, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[1000.0603020934184, 999.6345962733544, 400.21466931670096, 40.250526783327835, 0.6641543601044894, 0.3446971832554603, -0.0417474848878793]|1551711.7500000000000000|      0.06250000|[75, 0, 0, 27]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[1000.0563419731438, 999.6385008644778, 400.23415247425925, 40.248548401253004, 0.708030390858517, 0.3051895846649111, -0.0393272017688196]|1361158.7500000000000000|      0.12500000|[81, 0, 0, 29]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
