k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.25000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.12500000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[-4.023331099971654, -0.0090984366120148, 3.9837258649166665, 0.0244060036144638, -1.9913302812170937, -0.0723757034168997]|  5.8597601252866554|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       5|[-4.023331099971654, -0.0090984366120148, 3.9837258649166665, 0.0244060036144638, -1.9913302812170937, -0.0723757034168997]|  5.8597601252866554|      0.12500000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[-4.023331099971654, -0.0090984366120148, 3.9837258649166665, 0.0244060036144638, -1.9913302812170937, -0.0723757034168997]|  5.8597601252866554|      0.06250000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[-4.027390967019539, -0.0621019307124703, 3.993547195592281, 0.0497496693289252, -1.9917989082800631, -0.0908531911597233]|  0.7368960483474492|      0.12500000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       8|[-4.027390967019539, -0.0621019307124703, 3.993547195592281, 0.0497496693289252, -1.9917989082800631, -0.0908531911597233]|  0.7368960483474492|      0.06250000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[-4.0227819007662164, -0.0704794697882574, 3.944511564740632, 0.0208942309558001, -1.975848325449006, -0.0728734014520734]|  0.4551692056322559|      0.12500000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[-4.0227819007662164, -0.0704794697882574, 3.944511564740632, 0.0208942309558001, -1.975848325449006, -0.0728734014520734]|  0.4551692056322559|      0.06250000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[-4.0227819007662164, -0.0704794697882574, 3.944511564740632, 0.0208942309558001, -1.975848325449006, -0.0728734014520734]|  0.4551692056322559|      0.03125000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[-4.0227819007662164, -0.0704794697882574, 3.944511564740632, 0.0208942309558001, -1.975848325449006, -0.0728734014520734]|  0.4551692056322559|      0.01562500|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[-4.0227819007662164, -0.0704794697882574, 3.944511564740632, 0.0208942309558001, -1.975848325449006, -0.0728734014520734]|  0.4551692056322559|      0.00781250|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[-4.023669555475781, -0.0767991590846903, 3.943415217005248, 0.0249990284072325, -1.975547652798604, -0.07434547755278]|  0.4006338542473064|      0.01562500|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[-4.023669555475781, -0.0767991590846903, 3.943415217005248, 0.0249990284072325, -1.975547652798604, -0.07434547755278]|  0.4006338542473064|      0.00781250|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      16|[-4.023669555475781, -0.0767991590846903, 3.943415217005248, 0.0249990284072325, -1.975547652798604, -0.07434547755278]|  0.4006338542473064|      0.00390625|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      17|[-4.022839327159589, -0.0737110968229202, 3.9441879956427717, 0.0231247761514931, -1.9763389833513119, -0.073800345377507]|  0.3981534823024832|      0.00781250|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      18|[-4.022839327159589, -0.0737110968229202, 3.9441879956427717, 0.0231247761514931, -1.9763389833513119, -0.073800345377507]|  0.3981534823024832|      0.00390625|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      19|[-4.022839327159589, -0.0737110968229202, 3.9441879956427717, 0.0231247761514931, -1.9763389833513119, -0.073800345377507]|  0.3981534823024832|      0.00195312|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      20|[-4.023016073331314, -0.0751753730898885, 3.9438687071514096, 0.0240566265386871, -1.976165185796858, -0.0745996308056457]|  0.3930512955983396|      0.00390625|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      21|[-4.023016073331314, -0.0751753730898885, 3.9438687071514096, 0.0240566265386871, -1.976165185796858, -0.0745996308056457]|  0.3930512955983396|      0.00195312|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      22|[-4.023016073331314, -0.0751753730898885, 3.9438687071514096, 0.0240566265386871, -1.976165185796858, -0.0745996308056457]|  0.3930512955983396|      0.00097656|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      23|[-4.023016073331314, -0.0751753730898885, 3.9438687071514096, 0.0240566265386871, -1.976165185796858, -0.0745996308056457]|  0.3930512955983396|      0.00048828|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      24|[-4.022991003826307, -0.0748590085956383, 3.94386290046604, 0.023687596447696, -1.976129038053136, -0.0746130479875414]|  0.3929636297894217|      0.00097656|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      25|[-4.022991003826307, -0.0748590085956383, 3.94386290046604, 0.023687596447696, -1.976129038053136, -0.0746130479875414]|  0.3929636297894217|      0.00048828|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      26|[-4.022991003826307, -0.0748590085956383, 3.94386290046604, 0.023687596447696, -1.976129038053136, -0.0746130479875414]|  0.3929636297894217|      0.00024414|[442, 0, 26, 52]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      27|[-4.02297063425564, -0.0750699032061325, 3.943884498097398, 0.0237637163107733, -1.9761377985967326, -0.0747045671127093]|  0.3928727905058678|      0.00048828|[459, 0, 27, 54]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
