k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0]                                                                      |  5.9900000000000002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 2.0]                                                                      |  5.9900000000000002|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.1317549963073255, 1.517671666861611]                                         |  0.3154220510968472|      1.00000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       3|[2.1317549963073255, 1.517671666861611]                                         |  0.3154220510968472|      0.50000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[2.1317549963073255, 1.517671666861611]                                         |  0.3154220510968472|      0.25000000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.8866770952089684, 1.4683074855838478]                                        |  0.2250708192586899|      0.50000000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[1.8866770952089684, 1.4683074855838478]                                        |  0.2250708192586899|      0.25000000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.8866770952089684, 1.4683074855838478]                                        |  0.2250708192586899|      0.12500000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.8866770952089684, 1.4683074855838478]                                        |  0.2250708192586899|      0.06250000|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1.9036978212291664, 1.408169769583443]                                         |  0.1928583234548569|      0.12500000|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[1.9036978212291664, 1.408169769583443]                                         |  0.1928583234548569|      0.06250000|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
