k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.003563046222204, 149.94025843996948, -100.05953340310435, 99.99969336436057, 200.00015179111787]|84511.8046875000000000|      2.00000000|[31, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[47.010620131257696, 149.8217028010236, -100.17836964777385, 99.99899224041536, 200.00089579714893]|78035.8125000000000000|      4.00000000|[61, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[43.025467239323824, 149.5626336122347, -100.40469334373297, 99.98887124677002, 200.01160716804222]|65876.4453125000000000|      8.00000000|[91, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[35.05860161338184, 148.9980670242845, -100.83782737206631, 100.066067780201, 200.14103774665608]|44730.5742187500000000|     16.00000000|[121, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | iterate success | actual_k=1
       5|[19.133815476142516, 147.9169624379949, -101.94768125878575, 100.08644811904284, 200.12660346051632]|15094.0197772503743181|     32.00000000|[151, 10, 1, 11]                                                           |  | trying linear partial model with 16 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       6|[-12.565103277395103, 144.82693645421415, -105.05074467645213, 100.12220002696024, 200.1236874355219]|6262.7646484375000000|     64.00000000|[182, 12, 1, 13]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       7|[-12.565103277395103, 144.82693645421415, -105.05074467645213, 100.12220002696024, 200.1236874355219]|6262.7646484375000000|     32.00000000|[212, 14, 1, 15]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-12.565103277395103, 144.82693645421415, -105.05074467645213, 100.12220002696024, 200.1236874355219]|6262.7646484375000000|     16.00000000|[242, 16, 1, 17]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[3.3667774852884413, 143.95539720841793, -106.23611600716396, 100.175337356776, 200.21124278474443]|1861.2640380859375000|     32.00000000|[272, 18, 1, 19]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      10|[3.3667774852884413, 143.95539720841793, -106.23611600716396, 100.175337356776, 200.21124278474443]|1861.2640380859375000|     16.00000000|[302, 20, 2, 22]                                                           |  | trying linear partial model with 16 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
