k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[1.116759509452258, 0.4214409612690445, 0.5898285112381126, 0.8724371073420831, 0.3930397271541325, 2.947377658781639, 5.049620850852116, 7.204444667817424, 2.0816828239406977, 4.532091670221875, 5.6823870856045415]|  1.5253781633414056|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[1.116759509452258, 0.4214409612690445, 0.5898285112381126, 0.8724371073420831, 0.3930397271541325, 2.947377658781639, 5.049620850852116, 7.204444667817424, 2.0816828239406977, 4.532091670221875, 5.6823870856045415]|  1.5253781633414056|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[1.116759509452258, 0.4214409612690445, 0.5898285112381126, 0.8724371073420831, 0.3930397271541325, 2.947377658781639, 5.049620850852116, 7.204444667817424, 2.0816828239406977, 4.532091670221875, 5.6823870856045415]|  1.5253781633414056|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[1.116759509452258, 0.4214409612690445, 0.5898285112381126, 0.8724371073420831, 0.3930397271541325, 2.947377658781639, 5.049620850852116, 7.204444667817424, 2.0816828239406977, 4.532091670221875, 5.6823870856045415]|  1.5253781633414056|      0.12500000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[1.116759509452258, 0.4214409612690445, 0.5898285112381126, 0.8724371073420831, 0.3930397271541325, 2.947377658781639, 5.049620850852116, 7.204444667817424, 2.0816828239406977, 4.532091670221875, 5.6823870856045415]|  1.5253781633414056|      0.06250000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[1.140084274608328, 0.3870549705376297, 0.5631169966438361, 0.8565102380278229, 0.3884273456304445, 2.948458456683077, 5.03495403034814, 7.198642536818433, 2.0973987705347095, 4.551395844806099, 5.700325149178583]|  1.3205123421042588|      0.12500000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[1.0964534714386756, 0.3194784442046305, 0.5845367883006604, 0.8076200808250985, 0.4195212915220714, 2.939531502745406, 5.005691569416309, 7.2210150633492995, 2.123262223973879, 4.601384172800633, 5.727428921189883]|  1.2010420550512106|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       9|[1.0964534714386756, 0.3194784442046305, 0.5845367883006604, 0.8076200808250985, 0.4195212915220714, 2.939531502745406, 5.005691569416309, 7.2210150633492995, 2.123262223973879, 4.601384172800633, 5.727428921189883]|  1.2010420550512106|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[1.0964534714386756, 0.3194784442046305, 0.5845367883006604, 0.8076200808250985, 0.4195212915220714, 2.939531502745406, 5.005691569416309, 7.2210150633492995, 2.123262223973879, 4.601384172800633, 5.727428921189883]|  1.2010420550512106|      0.06250000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[1.132642154324892, 0.2940590646731718, 0.5895733161605082, 0.8137993490329686, 0.3787787836063568, 2.951233328864173, 5.006256406659592, 7.21562951346855, 2.1260820363853865, 4.598044133128233, 5.733880225342846]|  0.9518445728710268|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[1.132642154324892, 0.2940590646731718, 0.5895733161605082, 0.8137993490329686, 0.3787787836063568, 2.951233328864173, 5.006256406659592, 7.21562951346855, 2.1260820363853865, 4.598044133128233, 5.733880225342846]|  0.9518445728710268|      0.06250000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[1.1433130521649164, 0.2589814967662707, 0.5649157967021194, 0.8009427968639671, 0.3590867185571098, 2.954851752662352, 5.007603685634673, 7.217202484137279, 2.1347355775292587, 4.63421711202435, 5.734246256643975]|  0.8013210841799374|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      14|[1.1433130521649164, 0.2589814967662707, 0.5649157967021194, 0.8009427968639671, 0.3590867185571098, 2.954851752662352, 5.007603685634673, 7.217202484137279, 2.1347355775292587, 4.63421711202435, 5.734246256643975]|  0.8013210841799374|      0.06250000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[1.1407504468734395, 0.2344207450936827, 0.5931377116090549, 0.7628133814477154, 0.3453864538264518, 2.941314376061317, 5.013826250229776, 7.200228926251174, 2.1201036616638977, 4.6452997523890485, 5.737626501409128]|  0.7439060577396210|      0.12500000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      16|[1.1407504468734395, 0.2344207450936827, 0.5931377116090549, 0.7628133814477154, 0.3453864538264518, 2.941314376061317, 5.013826250229776, 7.200228926251174, 2.1201036616638977, 4.6452997523890485, 5.737626501409128]|  0.7439060577396210|      0.06250000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[1.1635098308238536, 0.1979014496844381, 0.5677815126925392, 0.7474421823461094, 0.3325258084856613, 2.9282946800667786, 5.035611560327694, 7.190671937701494, 2.1335620185840822, 4.654944150364959, 5.736990350630562]|  0.6618392819212432|      0.12500000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
