k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.50000000|[113, 16, 1, 3]                                                            |  | used linear model with 129 points | iterate failure | actual_k=8
       2|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.25000000|[226, 32, 2, 6]                                                            |  | used linear model with 129 points | iterate failure | actual_k=8
       3|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.12500000|[339, 48, 3, 9]                                                            |  | used linear model with 129 points | iterate failure | actual_k=8
       4|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.06250000|[452, 64, 4, 12]                                                           |  | used linear model with 129 points | iterate failure | actual_k=8
       5|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.03125000|[565, 80, 5, 15]                                                           |  | used linear model with 129 points | iterate failure | actual_k=8
       6|[1.0228629828352518, 0.0195115032066894, 0.0127377782104455, 0.0192738761428759, 0.4302891543708061, 0.0194634706436348, 0.7989437157835309, 0.0208829252243902, 0.2200899050770347, 0.0184371672172747, 2.6906442025101125, 0.0192140334764253, 0.8043734869079785, 0.021247559911036, 2.2674468054381087, 0.0202925800247113, 14.351013202283344, 0.0429753314410799, 12.163789522794993, 0.0352219382156333, 0.2810283407947516, 0.0217873607030993, 0.2452409546877817, 0.0179117346740042, 1.168753216993953, 0.0228145275330293, 0.1769119988991913, 0.0181046752566946, 0.1165305106825612, 0.0201489619113116, 3.7467988670492725, 0.0210642966422785, 0.8351368039645823, 0.0178836690943425, 0.1561882593709631, 0.0209212412146824, 0.3904113081618454, 0.0192558483969066, 0.9221395603504319, 0.0205841595952897, 0.2567655088777179, 0.0166658665584545, 2.0739639083492003, 0.0194423847471417, 1.944096355615492, 0.0183708538853485, 1.4856313850554255, 0.0192758412287244, 0.4848304667741872, 0.0225721875705458, 0.491256903300938, 0.0207546627772709, 0.3293186439109463, 0.0219878848090287, 0.8386183283872362, 0.0178244914146681, 0.4600312479049752, 0.0207221396780682, 0.4925779478136699, 0.0218359682919632, 0.9827232253676385, 0.0222107389713746, -0.0148708480692736, 0.0199155165099505, 0.2642035167752195, 0.0205748108602453]|2258035.2681829161010683|      0.06250000|[678, 96, 6, 18]                                                           |  | used linear model with 129 points | iterate success | actual_k=8
       7|[1.0228629828352518, 0.0195115032066894, 0.0127377782104455, 0.0192738761428759, 0.4302891543708061, 0.0194634706436348, 0.7989437157835309, 0.0208829252243902, 0.2200899050770347, 0.0184371672172747, 2.6906442025101125, 0.0192140334764253, 0.8043734869079785, 0.021247559911036, 2.2674468054381087, 0.0202925800247113, 14.351013202283344, 0.0429753314410799, 12.163789522794993, 0.0352219382156333, 0.2810283407947516, 0.0217873607030993, 0.2452409546877817, 0.0179117346740042, 1.168753216993953, 0.0228145275330293, 0.1769119988991913, 0.0181046752566946, 0.1165305106825612, 0.0201489619113116, 3.7467988670492725, 0.0210642966422785, 0.8351368039645823, 0.0178836690943425, 0.1561882593709631, 0.0209212412146824, 0.3904113081618454, 0.0192558483969066, 0.9221395603504319, 0.0205841595952897, 0.2567655088777179, 0.0166658665584545, 2.0739639083492003, 0.0194423847471417, 1.944096355615492, 0.0183708538853485, 1.4856313850554255, 0.0192758412287244, 0.4848304667741872, 0.0225721875705458, 0.491256903300938, 0.0207546627772709, 0.3293186439109463, 0.0219878848090287, 0.8386183283872362, 0.0178244914146681, 0.4600312479049752, 0.0207221396780682, 0.4925779478136699, 0.0218359682919632, 0.9827232253676385, 0.0222107389713746, -0.0148708480692736, 0.0199155165099505, 0.2642035167752195, 0.0205748108602453]|2258035.2681829161010683|      0.03125000|[791, 112, 7, 21]                                                          |  | used linear model with 129 points | iterate failure | actual_k=8
       8|[1.022660450037455, 0.0175250673175021, 0.0132242818356364, 0.0191937821996257, 0.430477340353602, 0.0173276921351983, 0.7998932852559268, 0.0207033222440741, 0.2197819399568063, 0.0173332956625847, 2.6906918087924288, 0.0240939408626098, 0.8036572696071974, 0.0208787005271249, 2.265776675566223, 0.0239538598906756, 14.351386335369975, 0.0633094745260695, 12.164252168477796, 0.0537007271949296, 0.2782190071502926, 0.0213258159631674, 0.2454615608008247, 0.0170018124491198, 1.172712485967473, 0.0206951500406925, 0.1779680989583474, 0.0188972240608429, 0.117252626421414, 0.0177745924084592, 3.7463205385474136, 0.0281759100190284, 0.8358711793887043, 0.019588317941868, 0.1558024424345948, 0.0225138917200319, 0.3907500669674467, 0.0199952507837021, 0.9206363198219342, 0.0209080217701201, 0.2601697836020423, 0.0171797628642144, 2.072962016575894, 0.0214867587740852, 1.9448285841054422, 0.0205011103937679, 1.4879532807203846, 0.0212820701209208, 0.4854823151985855, 0.0238228512397867, 0.4906876709788628, 0.0211306725538461, 0.3308772343854945, 0.022036273119336, 0.8372269058029134, 0.0192623466947246, 0.4596769241290273, 0.0217260325404679, 0.4935291034630225, 0.0232430270806667, 0.9794438549391423, 0.0236402830105736, -0.0134723939004521, 0.0165394170667645, 0.2630771657585266, 0.0213908049071166]|1831006.0420700125396252|      0.06250000|[904, 128, 8, 24]                                                          |  | used linear model with 129 points | iterate success | actual_k=8
       9|[1.0234669760377104, 0.0107052972649258, 0.0140659116529535, 0.0260708587761711, 0.4160553526359718, 0.0067201956345073, 0.7997848424774622, 0.0220354474934452, 0.2234657791705028, 0.0202335310118934, 2.6932897390009956, 0.0310441750737165, 0.800463117616766, 0.0286728023674465, 2.269978078985648, 0.0117452070398634, 14.343053924085655, 0.0752885625906939, 12.163881521249841, 0.0657978693002837, 0.2769167725243612, 0.0156321306738709, 0.2515823008537392, 0.0118741008410289, 1.1746055145797583, 0.0275645161000417, 0.1701061569677701, 0.0151342141497587, 0.1145524581752115, 0.0045808754292527, 3.7364090501007574, 0.0627030292311804, 0.827272174203751, 0.0368035474741899, 0.1604029951348589, 0.0124541570153166, 0.3835208110737104, 0.0280177633411867, 0.9216515528363858, 0.0263816909568982, 0.2626047016671761, 0.0173354967368204, 2.071801887686723, 0.0195649905857199, 1.9504131276581704, 0.0274231320302817, 1.497053397510163, 0.0254886914071684, 0.4974960927144377, 0.0211095273498341, 0.4913902044105454, 0.0227035518141629, 0.3362673407656829, 0.0249916652875434, 0.8339133346291817, 0.0230313964209506, 0.4585306918833653, 0.0208339192378406, 0.4926696628884519, 0.0202964145065327, 0.9800685871902989, 0.0205225978023995, -0.0190312515539777, 0.0126330868694009, 0.2635113449455298, 0.0227490097270182]|1699753.9409620126243681|      0.12500000|[1017, 144, 9, 27]                                                         |  | used linear model with 129 points | iterate success | actual_k=8
      10|[1.0234669760377104, 0.0107052972649258, 0.0140659116529535, 0.0260708587761711, 0.4160553526359718, 0.0067201956345073, 0.7997848424774622, 0.0220354474934452, 0.2234657791705028, 0.0202335310118934, 2.6932897390009956, 0.0310441750737165, 0.800463117616766, 0.0286728023674465, 2.269978078985648, 0.0117452070398634, 14.343053924085655, 0.0752885625906939, 12.163881521249841, 0.0657978693002837, 0.2769167725243612, 0.0156321306738709, 0.2515823008537392, 0.0118741008410289, 1.1746055145797583, 0.0275645161000417, 0.1701061569677701, 0.0151342141497587, 0.1145524581752115, 0.0045808754292527, 3.7364090501007574, 0.0627030292311804, 0.827272174203751, 0.0368035474741899, 0.1604029951348589, 0.0124541570153166, 0.3835208110737104, 0.0280177633411867, 0.9216515528363858, 0.0263816909568982, 0.2626047016671761, 0.0173354967368204, 2.071801887686723, 0.0195649905857199, 1.9504131276581704, 0.0274231320302817, 1.497053397510163, 0.0254886914071684, 0.4974960927144377, 0.0211095273498341, 0.4913902044105454, 0.0227035518141629, 0.3362673407656829, 0.0249916652875434, 0.8339133346291817, 0.0230313964209506, 0.4585306918833653, 0.0208339192378406, 0.4926696628884519, 0.0202964145065327, 0.9800685871902989, 0.0205225978023995, -0.0190312515539777, 0.0126330868694009, 0.2635113449455298, 0.0227490097270182]|1699753.9409620126243681|      0.06250000|[1130, 160, 10, 30]                                                        |  | used linear model with 129 points | iterate failure | actual_k=8
      11|[1.0234669760377104, 0.0107052972649258, 0.0140659116529535, 0.0260708587761711, 0.4160553526359718, 0.0067201956345073, 0.7997848424774622, 0.0220354474934452, 0.2234657791705028, 0.0202335310118934, 2.6932897390009956, 0.0310441750737165, 0.800463117616766, 0.0286728023674465, 2.269978078985648, 0.0117452070398634, 14.343053924085655, 0.0752885625906939, 12.163881521249841, 0.0657978693002837, 0.2769167725243612, 0.0156321306738709, 0.2515823008537392, 0.0118741008410289, 1.1746055145797583, 0.0275645161000417, 0.1701061569677701, 0.0151342141497587, 0.1145524581752115, 0.0045808754292527, 3.7364090501007574, 0.0627030292311804, 0.827272174203751, 0.0368035474741899, 0.1604029951348589, 0.0124541570153166, 0.3835208110737104, 0.0280177633411867, 0.9216515528363858, 0.0263816909568982, 0.2626047016671761, 0.0173354967368204, 2.071801887686723, 0.0195649905857199, 1.9504131276581704, 0.0274231320302817, 1.497053397510163, 0.0254886914071684, 0.4974960927144377, 0.0211095273498341, 0.4913902044105454, 0.0227035518141629, 0.3362673407656829, 0.0249916652875434, 0.8339133346291817, 0.0230313964209506, 0.4585306918833653, 0.0208339192378406, 0.4926696628884519, 0.0202964145065327, 0.9800685871902989, 0.0205225978023995, -0.0190312515539777, 0.0126330868694009, 0.2635113449455298, 0.0227490097270182]|1699753.9409620126243681|      0.03125000|[1243, 176, 11, 33]                                                        |  | used linear model with 129 points | iterate failure | actual_k=8
