k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6046763587936216, 0.0529365046011554, 0.1347814635630586, 0.7824561603678388, -0.0059130604886967, -0.0030157359189857, -0.0064709334390101, 0.018628472717783, -0.010677566669248, -0.0074138494399871, 0.002584147084109, -0.0101854408206783, -0.0137255503199514, -0.0083294421051466, 0.0026641990545058, 0.0060974555989365, 0.0079779467691121, 0.0016264850975675, 0.002640729047633, 0.0055151234584257, -0.002542585243639, 0.0059998431773787]| 13.1520248377200843|      2.00000000|[97, 32, 1, 3]                                                             |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
       2|[1.8260236931418103, 0.1023387047183215, 0.3875934037719448, 2.330583674986622, -0.0784262764765066, 0.0242099257771539, 0.009997243814239, 0.0117191486696284, 0.0083400629886761, -0.0434839403800011, 0.0237604172695248, -0.0183939107544544, 0.0044528621489522, -0.0345117841244766, 0.0689338711261346, -0.1300508877606286, 0.0266708509931165, -0.0102773189577317, 0.0044208073060523, -0.0768900051149463, 0.0066466570445741, 0.079805013534035]| 12.2748765945434570|      4.00000000|[194, 64, 1, 5]                                                            |  | trying linear partial model with 49 points | iterate success | actual_k=16
       3|[1.8260236931418103, 0.1023387047183215, 0.3875934037719448, 2.330583674986622, -0.0784262764765066, 0.0242099257771539, 0.009997243814239, 0.0117191486696284, 0.0083400629886761, -0.0434839403800011, 0.0237604172695248, -0.0183939107544544, 0.0044528621489522, -0.0345117841244766, 0.0689338711261346, -0.1300508877606286, 0.0266708509931165, -0.0102773189577317, 0.0044208073060523, -0.0768900051149463, 0.0066466570445741, 0.079805013534035]| 12.2748765945434570|      2.00000000|[290, 96, 1, 7]                                                            |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       4|[1.8260236931418103, 0.1023387047183215, 0.3875934037719448, 2.330583674986622, -0.0784262764765066, 0.0242099257771539, 0.009997243814239, 0.0117191486696284, 0.0083400629886761, -0.0434839403800011, 0.0237604172695248, -0.0183939107544544, 0.0044528621489522, -0.0345117841244766, 0.0689338711261346, -0.1300508877606286, 0.0266708509931165, -0.0102773189577317, 0.0044208073060523, -0.0768900051149463, 0.0066466570445741, 0.079805013534035]| 12.2748765945434570|      1.00000000|[386, 128, 2, 10]                                                          |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
       5|[1.8260236931418103, 0.1023387047183215, 0.3875934037719448, 2.330583674986622, -0.0784262764765066, 0.0242099257771539, 0.009997243814239, 0.0117191486696284, 0.0083400629886761, -0.0434839403800011, 0.0237604172695248, -0.0183939107544544, 0.0044528621489522, -0.0345117841244766, 0.0689338711261346, -0.1300508877606286, 0.0266708509931165, -0.0102773189577317, 0.0044208073060523, -0.0768900051149463, 0.0066466570445741, 0.079805013534035]| 12.2748765945434570|      0.50000000|[483, 160, 2, 12]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       6|[1.5180607274164346, 0.075637750028266, 0.3165404887074015, 1.9446657422479137, -0.0880204832051665, 0.0238990196852332, 0.0202525761359744, 0.0132098612862082, 0.007323928003071, -0.0415018665604889, 0.0292872348694887, -0.0113829095932609, 0.006693041634112, -0.0426123663876719, 0.0680800018864858, -0.1311584325964102, 0.0266421598937888, -0.0168728132371077, 0.0093687670841215, -0.0815760796102511, 0.0108367128283618, 0.0804449848984865]| 12.1449099132702560|      1.00000000|[579, 192, 3, 15]                                                          |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
       7|[1.5180607274164346, 0.075637750028266, 0.3165404887074015, 1.9446657422479137, -0.0880204832051665, 0.0238990196852332, 0.0202525761359744, 0.0132098612862082, 0.007323928003071, -0.0415018665604889, 0.0292872348694887, -0.0113829095932609, 0.006693041634112, -0.0426123663876719, 0.0680800018864858, -0.1311584325964102, 0.0266421598937888, -0.0168728132371077, 0.0093687670841215, -0.0815760796102511, 0.0108367128283618, 0.0804449848984865]| 12.1449099132702560|      0.50000000|[676, 224, 3, 17]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       8|[1.5180607274164346, 0.075637750028266, 0.3165404887074015, 1.9446657422479137, -0.0880204832051665, 0.0238990196852332, 0.0202525761359744, 0.0132098612862082, 0.007323928003071, -0.0415018665604889, 0.0292872348694887, -0.0113829095932609, 0.006693041634112, -0.0426123663876719, 0.0680800018864858, -0.1311584325964102, 0.0266421598937888, -0.0168728132371077, 0.0093687670841215, -0.0815760796102511, 0.0108367128283618, 0.0804449848984865]| 12.1449099132702560|      0.25000000|[772, 256, 3, 19]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       9|[1.5180607274164346, 0.075637750028266, 0.3165404887074015, 1.9446657422479137, -0.0880204832051665, 0.0238990196852332, 0.0202525761359744, 0.0132098612862082, 0.007323928003071, -0.0415018665604889, 0.0292872348694887, -0.0113829095932609, 0.006693041634112, -0.0426123663876719, 0.0680800018864858, -0.1311584325964102, 0.0266421598937888, -0.0168728132371077, 0.0093687670841215, -0.0815760796102511, 0.0108367128283618, 0.0804449848984865]| 12.1449099132702560|      0.12500000|[868, 288, 3, 21]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      10|[1.5180607274164346, 0.075637750028266, 0.3165404887074015, 1.9446657422479137, -0.0880204832051665, 0.0238990196852332, 0.0202525761359744, 0.0132098612862082, 0.007323928003071, -0.0415018665604889, 0.0292872348694887, -0.0113829095932609, 0.006693041634112, -0.0426123663876719, 0.0680800018864858, -0.1311584325964102, 0.0266421598937888, -0.0168728132371077, 0.0093687670841215, -0.0815760796102511, 0.0108367128283618, 0.0804449848984865]| 12.1449099132702560|      0.06250000|[964, 320, 4, 24]                                                          |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      11|[1.5180607274164346, 0.075637750028266, 0.3165404887074015, 1.9446657422479137, -0.0880204832051665, 0.0238990196852332, 0.0202525761359744, 0.0132098612862082, 0.007323928003071, -0.0415018665604889, 0.0292872348694887, -0.0113829095932609, 0.006693041634112, -0.0426123663876719, 0.0680800018864858, -0.1311584325964102, 0.0266421598937888, -0.0168728132371077, 0.0093687670841215, -0.0815760796102511, 0.0108367128283618, 0.0804449848984865]| 12.1449099132702560|      0.03125000|[1061, 352, 4, 26]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      12|[1.497357702896958, 0.0727626877527796, 0.3125579846546835, 1.9217921463962369, -0.0878952543704069, 0.0242875262292685, 0.0201876631513684, 0.0132332310799486, 0.0073709056536626, -0.0414829217990063, 0.0290098643715373, -0.0111513943351627, 0.0067221703657051, -0.0427566601763148, 0.0682962607554563, -0.1314622136426659, 0.0265195640529089, -0.0169978482506974, 0.0095510077876166, -0.0818635243245103, 0.0107753380399797, 0.0803809420070068]| 12.1445905992084970|      0.06250000|[1157, 384, 5, 29]                                                         |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      13|[1.497357702896958, 0.0727626877527796, 0.3125579846546835, 1.9217921463962369, -0.0878952543704069, 0.0242875262292685, 0.0201876631513684, 0.0132332310799486, 0.0073709056536626, -0.0414829217990063, 0.0290098643715373, -0.0111513943351627, 0.0067221703657051, -0.0427566601763148, 0.0682962607554563, -0.1314622136426659, 0.0265195640529089, -0.0169978482506974, 0.0095510077876166, -0.0818635243245103, 0.0107753380399797, 0.0803809420070068]| 12.1445905992084970|      0.03125000|[1254, 416, 5, 31]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      14|[1.497357702896958, 0.0727626877527796, 0.3125579846546835, 1.9217921463962369, -0.0878952543704069, 0.0242875262292685, 0.0201876631513684, 0.0132332310799486, 0.0073709056536626, -0.0414829217990063, 0.0290098643715373, -0.0111513943351627, 0.0067221703657051, -0.0427566601763148, 0.0682962607554563, -0.1314622136426659, 0.0265195640529089, -0.0169978482506974, 0.0095510077876166, -0.0818635243245103, 0.0107753380399797, 0.0803809420070068]| 12.1445905992084970|      0.01562500|[1350, 448, 6, 34]                                                         |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      15|[1.497357702896958, 0.0727626877527796, 0.3125579846546835, 1.9217921463962369, -0.0878952543704069, 0.0242875262292685, 0.0201876631513684, 0.0132332310799486, 0.0073709056536626, -0.0414829217990063, 0.0290098643715373, -0.0111513943351627, 0.0067221703657051, -0.0427566601763148, 0.0682962607554563, -0.1314622136426659, 0.0265195640529089, -0.0169978482506974, 0.0095510077876166, -0.0818635243245103, 0.0107753380399797, 0.0803809420070068]| 12.1445905992084970|      0.00781250|[1447, 480, 6, 36]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      16|[1.4999331550377273, 0.0725218949854861, 0.3140744329456139, 1.9288943895029662, -0.0878016628460324, 0.0244811830289205, 0.0202637268419212, 0.0129992891236298, 0.0075797494679524, -0.0419316214880785, 0.0289728244018824, -0.01113548399594, 0.0067683796139835, -0.0424460623232936, 0.0686299716849867, -0.1306263395923206, 0.026385694666886, -0.0172612575953584, 0.0095627820763507, -0.082041057115026, 0.010510970379648, 0.080770676124089]| 12.1445770263671875|      0.01562500|[1543, 512, 6, 38]                                                         |  | trying linear partial model with 49 points | iterate success | actual_k=16
      17|[1.4999331550377273, 0.0725218949854861, 0.3140744329456139, 1.9288943895029662, -0.0878016628460324, 0.0244811830289205, 0.0202637268419212, 0.0129992891236298, 0.0075797494679524, -0.0419316214880785, 0.0289728244018824, -0.01113548399594, 0.0067683796139835, -0.0424460623232936, 0.0686299716849867, -0.1306263395923206, 0.026385694666886, -0.0172612575953584, 0.0095627820763507, -0.082041057115026, 0.010510970379648, 0.080770676124089]| 12.1445770263671875|      0.00781250|[1639, 544, 6, 40]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      18|[1.4999331550377273, 0.0725218949854861, 0.3140744329456139, 1.9288943895029662, -0.0878016628460324, 0.0244811830289205, 0.0202637268419212, 0.0129992891236298, 0.0075797494679524, -0.0419316214880785, 0.0289728244018824, -0.01113548399594, 0.0067683796139835, -0.0424460623232936, 0.0686299716849867, -0.1306263395923206, 0.026385694666886, -0.0172612575953584, 0.0095627820763507, -0.082041057115026, 0.010510970379648, 0.080770676124089]| 12.1445770263671875|      0.00390625|[1735, 576, 6, 42]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      19|[1.496190535892853, 0.0718142618148028, 0.3141443129249746, 1.9281790777426302, -0.0878593382697037, 0.0245907826300952, 0.0203379439561232, 0.0131675759194729, 0.0075314273883997, -0.0419845001941447, 0.0290791757697029, -0.0113583362775006, 0.0066964175328046, -0.0423816768475186, 0.0689162359040353, -0.1306400293370183, 0.0263982749894274, -0.0173297369622083, 0.009548118711198, -0.0819398584907843, 0.0104036604639997, 0.080797918688032]| 12.1445692705159392|      0.00781250|[1831, 608, 7, 45]                                                         |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      20|[1.496190535892853, 0.0718142618148028, 0.3141443129249746, 1.9281790777426302, -0.0878593382697037, 0.0245907826300952, 0.0203379439561232, 0.0131675759194729, 0.0075314273883997, -0.0419845001941447, 0.0290791757697029, -0.0113583362775006, 0.0066964175328046, -0.0423816768475186, 0.0689162359040353, -0.1306400293370183, 0.0263982749894274, -0.0173297369622083, 0.009548118711198, -0.0819398584907843, 0.0104036604639997, 0.080797918688032]| 12.1445692705159392|      0.00390625|[1928, 640, 7, 47]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      21|[1.493560325743339, 0.0706285889462796, 0.3146721155063504, 1.930604569937527, -0.0879244400821656, 0.0243671521014889, 0.0203853797094107, 0.0133079775089114, 0.0075888802547357, -0.0421430886769294, 0.0287246704308236, -0.0112224254028024, 0.0066384900784724, -0.0422804085940147, 0.068957183970666, -0.1309130610199257, 0.0262935313453048, -0.0170818693804812, 0.0099796807854663, -0.0822169538532899, 0.0107097337138937, 0.0807229853059823]| 12.1445615134785001|      0.00781250|[2024, 672, 8, 50]                                                         |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      22|[1.493560325743339, 0.0706285889462796, 0.3146721155063504, 1.930604569937527, -0.0879244400821656, 0.0243671521014889, 0.0203853797094107, 0.0133079775089114, 0.0075888802547357, -0.0421430886769294, 0.0287246704308236, -0.0112224254028024, 0.0066384900784724, -0.0422804085940147, 0.068957183970666, -0.1309130610199257, 0.0262935313453048, -0.0170818693804812, 0.0099796807854663, -0.0822169538532899, 0.0107097337138937, 0.0807229853059823]| 12.1445615134785001|      0.00390625|[2121, 704, 8, 52]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      23|[1.491173130467034, 0.0696076410384619, 0.3152660526308252, 1.933394387946375, -0.0878761761417889, 0.024593864964339, 0.0203043510741165, 0.0132625290984854, 0.0074720655616787, -0.0420414692417477, 0.0288630228769283, -0.0111145495695848, 0.0067515981813008, -0.0420677469298392, 0.0690727843858209, -0.1309084281923735, 0.0263593489269269, -0.0171771999014785, 0.010002718695536, -0.0823727463750286, 0.0103854581697175, 0.0809466308254644]| 12.1445540223018416|      0.00781250|[2217, 736, 9, 55]                                                         |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      24|[1.491173130467034, 0.0696076410384619, 0.3152660526308252, 1.933394387946375, -0.0878761761417889, 0.024593864964339, 0.0203043510741165, 0.0132625290984854, 0.0074720655616787, -0.0420414692417477, 0.0288630228769283, -0.0111145495695848, 0.0067515981813008, -0.0420677469298392, 0.0690727843858209, -0.1309084281923735, 0.0263593489269269, -0.0171771999014785, 0.010002718695536, -0.0823727463750286, 0.0103854581697175, 0.0809466308254644]| 12.1445540223018416|      0.00390625|[2314, 768, 9, 57]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      25|[1.4878630339976755, 0.0683949369216915, 0.3158746307571472, 1.9348670734085713, -0.0881434504711263, 0.0245413166327219, 0.0201038409138372, 0.0133635801102657, 0.0074171525801077, -0.0419546172135125, 0.0288934860787598, -0.0110647266291671, 0.0068771770598265, -0.0420492688780634, 0.0690890182336263, -0.130932249764061, 0.0263765282613292, -0.0169087769099892, 0.0099760518270358, -0.0821234556259991, 0.0103639953677542, 0.08091435706906]| 12.1445465087890625|      0.00781250|[2410, 800, 9, 59]                                                         |  | trying linear partial model with 49 points | iterate success | actual_k=16
      26|[1.4878630339976755, 0.0683949369216915, 0.3158746307571472, 1.9348670734085713, -0.0881434504711263, 0.0245413166327219, 0.0201038409138372, 0.0133635801102657, 0.0074171525801077, -0.0419546172135125, 0.0288934860787598, -0.0110647266291671, 0.0068771770598265, -0.0420492688780634, 0.0690890182336263, -0.130932249764061, 0.0263765282613292, -0.0169087769099892, 0.0099760518270358, -0.0821234556259991, 0.0103639953677542, 0.08091435706906]| 12.1445465087890625|      0.00390625|[2506, 832, 9, 61]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
