k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0903435954613058, 0.0424907763364981, 0.1606828859198483, 0.2302251148062807, 0.832567095817536, 0.1253552512349233, -0.1357265378067146, -0.3263851752837577, 0.2781709754991085]|67160.8050875250046374|      2.00000000|[53, 6, 1, 5]                                                              |  | used quadratic model with 59 points | iterate success | actual_k=2
       2|[0.0903435954613058, 0.0424907763364981, 0.1606828859198483, 0.2302251148062807, 0.832567095817536, 0.1253552512349233, -0.1357265378067146, -0.3263851752837577, 0.2781709754991085]|67160.8050875250046374|      1.00000000|[105, 13, 2, 10]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=2
       3|[0.0903435954613058, 0.0424907763364981, 0.1606828859198483, 0.2302251148062807, 0.832567095817536, 0.1253552512349233, -0.1357265378067146, -0.3263851752837577, 0.2781709754991085]|67160.8050875250046374|      0.50000000|[158, 19, 3, 15]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=2
       4|[0.3688448585361921, -0.0058908120325817, 0.2193269881496544, -0.0433209521520537, 0.9505087767526376, 0.0933661475624901, -0.0577893733842474, -0.1791719995191931, 0.4998694719428103]|2755.1850020009692344|      1.00000000|[210, 26, 4, 20]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=2
       5|[0.3688448585361921, -0.0058908120325817, 0.2193269881496544, -0.0433209521520537, 0.9505087767526376, 0.0933661475624901, -0.0577893733842474, -0.1791719995191931, 0.4998694719428103]|2755.1850020009692344|      0.50000000|[262, 33, 5, 25]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=2
       6|[0.3688448585361921, -0.0058908120325817, 0.2193269881496544, -0.0433209521520537, 0.9505087767526376, 0.0933661475624901, -0.0577893733842474, -0.1791719995191931, 0.4998694719428103]|2755.1850020009692344|      0.25000000|[314, 40, 6, 30]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=2
       7|[0.3688448585361921, -0.0058908120325817, 0.2193269881496544, -0.0433209521520537, 0.9505087767526376, 0.0933661475624901, -0.0577893733842474, -0.1791719995191931, 0.4998694719428103]|2755.1850020009692344|      0.12500000|[366, 47, 7, 35]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=2
       8|[0.3740146093840613, -0.0250768010510168, 0.2137111208094016, 0.0429968164533337, 0.9688306143724071, 0.0077552916740694, -0.0529716006444822, -0.1721920265374051, 0.5031916732984281]|1014.7191274756497705|      0.25000000|[418, 54, 8, 40]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=2
       9|[0.3740146093840613, -0.0250768010510168, 0.2137111208094016, 0.0429968164533337, 0.9688306143724071, 0.0077552916740694, -0.0529716006444822, -0.1721920265374051, 0.5031916732984281]|1014.7191274756497705|      0.12500000|[471, 60, 9, 45]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=2
      10|[0.3740146093840613, -0.0250768010510168, 0.2137111208094016, 0.0429968164533337, 0.9688306143724071, 0.0077552916740694, -0.0529716006444822, -0.1721920265374051, 0.5031916732984281]|1014.7191274756497705|      0.06250000|[523, 67, 10, 50]                                                          |  | used quadratic model with 59 points | iterate failure | actual_k=2
      11|[0.3806580353882071, -0.0215669989294289, 0.2073602837444608, -0.0151074379996888, 0.9713116230614938, 0.0277139128269032, -0.0537258234330163, -0.1670407972071897, 0.5045155633855749]| 92.4122560559558224|      0.12500000|[574, 75, 11, 55]                                                          |  | used quadratic model with 59 points | iterate success | actual_k=2
