k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[29, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[1.2937353120340882, 1.912977054748494, 1.129287152627214, 0.8543478077181251, 1.195417153393721, 1.2828939389108864]|  0.3508897721767426|      1.00000000|[57, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       3|[1.2937353120340882, 1.912977054748494, 1.129287152627214, 0.8543478077181251, 1.195417153393721, 1.2828939389108864]|  0.3508897721767426|      0.50000000|[85, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[1.2937353120340882, 1.912977054748494, 1.129287152627214, 0.8543478077181251, 1.195417153393721, 1.2828939389108864]|  0.3508897721767426|      0.25000000|[113, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[1.2937353120340882, 1.912977054748494, 1.129287152627214, 0.8543478077181251, 1.195417153393721, 1.2828939389108864]|  0.3508897721767426|      0.12500000|[141, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[1.2937353120340882, 1.912977054748494, 1.129287152627214, 0.8543478077181251, 1.195417153393721, 1.2828939389108864]|  0.3508897721767426|      0.06250000|[169, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[1.3174662470093996, 1.90429159909541, 1.0972001211139866, 0.8685789376792414, 1.2264367238316738, 1.2501320832882312]|  0.3230555355548859|      0.12500000|[197, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       8|[1.3174662470093996, 1.90429159909541, 1.0972001211139866, 0.8685789376792414, 1.2264367238316738, 1.2501320832882312]|  0.3230555355548859|      0.06250000|[225, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[1.3174662470093996, 1.90429159909541, 1.0972001211139866, 0.8685789376792414, 1.2264367238316738, 1.2501320832882312]|  0.3230555355548859|      0.03125000|[253, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
