k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.05801512480083, 149.93518668118767, -100.25712643985214, 100.17212145871038, 200.11280038112037]|84651.4453125000000000|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[47.560709283368304, 149.59498260943403, -99.51082471387235, 99.65822142129211, 199.20655709584022]|79869.4531250000000000|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[44.25323653927343, 150.92504564728665, -98.70980887662864, 100.11454762746642, 197.64396425557405]|70057.6250000000000000|      8.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[38.154273680581724, 148.09751042026252, -98.77488476155705, 99.23758646953551, 201.8906571859515]|52579.2148437500000000|     16.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[32.01533206543949, 141.87125256109385, -106.89636383288311, 106.98231684987144, 194.5689198274464]|35909.6171875000000000|     32.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[22.75095603988271, 125.79086835324365, -107.71839035024476, 127.15670561855885, 178.0791990657226]|17266.5253906250000000|     64.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[22.75095603988271, 125.79086835324365, -107.71839035024476, 127.15670561855885, 178.0791990657226]|17266.5253906250000000|     32.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[4.303356709309941, 121.33977901086705, -119.2425193742908, 104.192662316319, 180.00820089434433]|465.1751403808593750|     64.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[4.303356709309941, 121.33977901086705, -119.2425193742908, 104.192662316319, 180.00820089434433]|465.1751403808593750|     32.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[4.303356709309941, 121.33977901086705, -119.2425193742908, 104.192662316319, 180.00820089434433]|465.1751403808593750|     16.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[4.303356709309941, 121.33977901086705, -119.2425193742908, 104.192662316319, 180.00820089434433]|465.1751403808593750|      8.00000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.4112587834000698, 116.1772323640346, -123.66764192835304, 105.71611684330924, 179.46316645494647]| 65.3298187255859375|     16.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[0.4112587834000698, 116.1772323640346, -123.66764192835304, 105.71611684330924, 179.46316645494647]| 65.3298187255859375|      8.00000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.4112587834000698, 116.1772323640346, -123.66764192835304, 105.71611684330924, 179.46316645494647]| 65.3298187255859375|      4.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
