k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[10, 3, 0, 3]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[20.133332918866966, 2.011355930673161, 1.891072648408387, 2.1794031768083255, 0.6336389140878375]|4298.9428710937500000|      1.00000000|[16, 5, 0, 5]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[20.133332918866966, 2.011355930673161, 1.891072648408387, 2.1794031768083255, 0.6336389140878375]|4298.9428710937500000|      0.50000000|[25, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[20.133332918866966, 2.011355930673161, 1.891072648408387, 2.1794031768083255, 0.6336389140878375]|4298.9428710937500000|      0.25000000|[34, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[20.157211757062445, 2.212852837393598, 1.985231243535935, 2.1746920781953656, 0.5221007493997125]|3522.4499511718750000|      0.50000000|[43, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | iterate success | actual_k=1
       6|[20.157211757062445, 2.212852837393598, 1.985231243535935, 2.1746920781953656, 0.5221007493997125]|3522.4499511718750000|      0.25000000|[52, 17, 0, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[20.157211757062445, 2.212852837393598, 1.985231243535935, 2.1746920781953656, 0.5221007493997125]|3522.4499511718750000|      0.12500000|[61, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[20.173534436804044, 2.2870100432144786, 1.911960400004099, 2.226693515247312, 0.5643679113999995]|3456.0810546875000000|      0.25000000|[67, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[20.158506844641412, 2.5083670851036572, 1.9302584602966293, 2.3320207676408162, 0.5213960325414719]|3031.3388401977531430|      0.50000000|[76, 25, 1, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
      10|[20.158506844641412, 2.5083670851036572, 1.9302584602966293, 2.3320207676408162, 0.5213960325414719]|3031.3388401977531430|      0.25000000|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
