k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.06250000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.03125000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.01562500|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00781250|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00390625|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00195312|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00097656|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00048828|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00024414|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00012207|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00006104|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00003052|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00001526|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00000763|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00000381|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00000191|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[-2.6543968e-09, -1.8466595177e-06, 0.9999999981853657, 0.0500004772874051, 3527.3100000016525, 29.421900003287305, 26185.90000000054]|448.9350534089159623|      0.00000381|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[-2.6543968e-09, -1.8466595177e-06, 0.9999999981853657, 0.0500004772874051, 3527.3100000016525, 29.421900003287305, 26185.90000000054]|448.9350534089159623|      0.00000191|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[1.549578148e-07, -8.649302139e-07, 0.9999998567854945, 0.0500020605398449, 3527.309999747677, 29.421900027683737, 26185.900000240465]|448.9201173956165007|      0.00000381|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[1.549578148e-07, -8.649302139e-07, 0.9999998567854945, 0.0500020605398449, 3527.309999747677, 29.421900027683737, 26185.900000240465]|448.9201173956165007|      0.00000191|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[-6.29797813e-08, -2.4413883197e-06, 0.9999998283736774, 0.0500030782710353, 3527.309999838181, 29.421900196667, 26185.90000006177]|448.9133572025173180|      0.00000381|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[-6.29797813e-08, -2.4413883197e-06, 0.9999998283736774, 0.0500030782710353, 3527.309999838181, 29.421900196667, 26185.90000006177]|448.9133572025173180|      0.00000191|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      26|[2.56971902e-08, -6.917931059e-07, 0.9999995298886555, 0.050003742331514, 3527.3099997584045, 29.421900039467022, 26185.900000150574]|448.9024469620215427|      0.00000381|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      27|[2.56971902e-08, -6.917931059e-07, 0.9999995298886555, 0.050003742331514, 3527.3099997584045, 29.421900039467022, 26185.900000150574]|448.9024469620215427|      0.00000191|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[4.69764068e-08, -2.4181623168e-06, 0.9999995449213009, 0.050004552471114, 3527.3099997468735, 29.42190005862902, 26185.900000161666]|448.8935194475812978|      0.00000381|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      29|[4.69764068e-08, -2.4181623168e-06, 0.9999995449213009, 0.050004552471114, 3527.3099997468735, 29.42190005862902, 26185.900000161666]|448.8935194475812978|      0.00000191|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      30|[1.890939274e-07, -7.23698673e-07, 0.9999994821321839, 0.0500053811152535, 3527.309999744336, 29.421900052296035, 26185.90000039817]|448.8801577927692392|      0.00000381|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      31|[1.890939274e-07, -7.23698673e-07, 0.9999994821321839, 0.0500053811152535, 3527.309999744336, 29.421900052296035, 26185.90000039817]|448.8801577927692392|      0.00000191|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      32|[1.887066639e-07, -2.43567578e-06, 0.9999994792324938, 0.0500062220056085, 3527.3099997448007, 29.421900052484805, 26185.90000040096]|448.8723715257129356|      0.00000381|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[1.887066639e-07, -2.43567578e-06, 0.9999994792324938, 0.0500062220056085, 3527.3099997448007, 29.421900052484805, 26185.90000040096]|448.8723715257129356|      0.00000191|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      34|[1.364443247e-07, -6.561698126e-07, 0.9999995533592282, 0.0500068985149807, 3527.3099997265454, 29.42190010030783, 26185.90000045412]|448.8621972903798110|      0.00000381|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      35|[1.364443247e-07, -6.561698126e-07, 0.9999995533592282, 0.0500068985149807, 3527.3099997265454, 29.42190010030783, 26185.90000045412]|448.8621972903798110|      0.00000191|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
