k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.86, 0.72]                                                                    |1475481.7047999855130911|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.86, 0.72]                                                                    |1475481.7047999855130911|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.86, 0.72]                                                                    |1475481.7047999855130911|      0.25000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.86, 0.72]                                                                    |1475481.7047999855130911|      0.12500000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.86, 0.72]                                                                    |1475481.7047999855130911|      0.06250000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.86, 0.72]                                                                    |1475481.7047999855130911|      0.03125000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.86, 0.72]                                                                    |1475481.7047999855130911|      0.01562500|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.8528891640835922, 0.7339131821511085]                                        |17915.3105468750000000|      0.03125000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[0.8528891640835922, 0.7339131821511085]                                        |17915.3105468750000000|      0.01562500|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.8528891640835922, 0.7339131821511085]                                        |17915.3105468750000000|      0.00781250|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.8528891640835922, 0.7339131821511085]                                        |17915.3105468750000000|      0.00390625|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
