k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.79810530120988, 9.175631409751034, 9.650720061408933, 9.826383155813488, -0.0162632873497086, 0.1143264809115636, 0.2261535047398504, 0.2510681729426463]|1572.3145863175573140|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[9.091277634428334, 8.462968139602784, 8.541618753464327, 8.659359959351946, 0.2724435611446476, 0.3237367442624259, 0.684179955342314, 0.5029894469039704]|1472.0713696656669072|      4.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[8.47617282569622, 7.305866233129519, 5.032458796279545, 7.6971420068100995, 0.7165037717376437, 0.8068264345276382, 1.4197695443228522, 0.7695172993296513]|889.2926777443944957|      8.00000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       4|[5.284964905127813, 3.8161208692927286, 0.8237962760644404, 3.539684494383202, 0.8274439559770423, 3.1907809511617184, 0.5992602138141889, 1.2908556762711572]|178.8886740542460529|     16.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[5.284964905127813, 3.8161208692927286, 0.8237962760644404, 3.539684494383202, 0.8274439559770423, 3.1907809511617184, 0.5992602138141889, 1.2908556762711572]|178.8886740542460529|      8.00000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[0.4406598970505211, -1.1278802136792172, 1.1710931319181974, 0.4121562434690262, -0.1548646435933181, 2.405618749348353, -1.0953330045264635, 2.6078439717183377]| 77.8078098757733301|     16.00000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       7|[0.4406598970505211, -1.1278802136792172, 1.1710931319181974, 0.4121562434690262, -0.1548646435933181, 2.405618749348353, -1.0953330045264635, 2.6078439717183377]| 77.8078098757733301|      8.00000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[0.4406598970505211, -1.1278802136792172, 1.1710931319181974, 0.4121562434690262, -0.1548646435933181, 2.405618749348353, -1.0953330045264635, 2.6078439717183377]| 77.8078098757733301|      4.00000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[1.569849902087912, -1.378951913090078, 0.8669514785118131, -0.0447151766840546, -2.464463509785009, 3.2254815287659593, -1.7682833730956258, -0.2030945185449164]| 11.8189061656652754|      8.00000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[1.569849902087912, -1.378951913090078, 0.8669514785118131, -0.0447151766840546, -2.464463509785009, 3.2254815287659593, -1.7682833730956258, -0.2030945185449164]| 11.8189061656652754|      4.00000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[1.569849902087912, -1.378951913090078, 0.8669514785118131, -0.0447151766840546, -2.464463509785009, 3.2254815287659593, -1.7682833730956258, -0.2030945185449164]| 11.8189061656652754|      2.00000000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[1.569849902087912, -1.378951913090078, 0.8669514785118131, -0.0447151766840546, -2.464463509785009, 3.2254815287659593, -1.7682833730956258, -0.2030945185449164]| 11.8189061656652754|      1.00000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[1.5725371423159564, -1.3272912178073784, 1.1551504395055938, 0.2056263753446336, -2.349764280610107, 2.7284619697518537, -1.347576298234859, 0.4406566907425242]|  6.2630721371084439|      2.00000000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      14|[1.5725371423159564, -1.3272912178073784, 1.1551504395055938, 0.2056263753446336, -2.349764280610107, 2.7284619697518537, -1.347576298234859, 0.4406566907425242]|  6.2630721371084439|      1.00000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[1.5725371423159564, -1.3272912178073784, 1.1551504395055938, 0.2056263753446336, -2.349764280610107, 2.7284619697518537, -1.347576298234859, 0.4406566907425242]|  6.2630721371084439|      0.50000000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[1.6594798794475085, -1.4389425603903363, 0.834748900232199, -0.0436132678896667, -2.2861975194706483, 2.618363421357283, -1.2812257518316834, 0.651920917583753]|  5.3623027243456125|      1.00000000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[1.6594798794475085, -1.4389425603903363, 0.834748900232199, -0.0436132678896667, -2.2861975194706483, 2.618363421357283, -1.2812257518316834, 0.651920917583753]|  5.3623027243456125|      0.50000000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[1.6594798794475085, -1.4389425603903363, 0.834748900232199, -0.0436132678896667, -2.2861975194706483, 2.618363421357283, -1.2812257518316834, 0.651920917583753]|  5.3623027243456125|      0.25000000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[1.660726176559462, -1.3421156662026332, 0.8175065240006004, 0.0891457443029456, -2.3578685520008844, 2.562481326271485, -1.3652032580929854, 0.5108926316408026]|  4.7896719500395104|      0.50000000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      20|[1.660726176559462, -1.3421156662026332, 0.8175065240006004, 0.0891457443029456, -2.3578685520008844, 2.562481326271485, -1.3652032580929854, 0.5108926316408026]|  4.7896719500395104|      0.25000000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[1.6274365509584556, -1.2774416175662338, 0.6965682484454763, -0.0404861192803231, -2.4131143164564968, 2.456357390741015, -1.4226734781055044, 0.6012329401357117]|  4.6516956957089706|      0.50000000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      22|[1.3123723276951975, -0.9523148447673451, 0.6425353391713822, 0.0410791734081009, -2.576439894890069, 2.509704944668179, -1.359598028576323, 0.645447713220598]|  3.6416530932761995|      1.00000000|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[1.3123723276951975, -0.9523148447673451, 0.6425353391713822, 0.0410791734081009, -2.576439894890069, 2.509704944668179, -1.359598028576323, 0.645447713220598]|  3.6416530932761995|      0.50000000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[1.3123723276951975, -0.9523148447673451, 0.6425353391713822, 0.0410791734081009, -2.576439894890069, 2.509704944668179, -1.359598028576323, 0.645447713220598]|  3.6416530932761995|      0.25000000|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[1.190415019135784, -0.8905059493433558, 0.6532616983731784, 0.112992874141387, -2.461681969444229, 2.407155920039546, -1.3836769150558261, 0.7648376772942922]|  3.0328750761285272|      0.50000000|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      26|[1.190415019135784, -0.8905059493433558, 0.6532616983731784, 0.112992874141387, -2.461681969444229, 2.407155920039546, -1.3836769150558261, 0.7648376772942922]|  3.0328750761285272|      0.25000000|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
