k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[111, 16, 0, 2]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[221, 32, 0, 4]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       3|[99.99483810230595, 0.1164883154037666, 0.2617221146334158, 0.912343560555874, 99.99386592508066, 0.0573738950835246, 0.1994504359867631, 0.8004583701466527, 99.995288166757, -0.0172375851097542, 0.2523976200070627, 0.7590759486486469, 100.01894475737144, 0.2133677687909055, 0.3519255855946082, 0.6239985516879715, 100.01617123651475, 0.1979153895216955, 0.4478098523844702, 0.2547926808813823, 99.99126977556989, 0.6007923407810071, 0.626828269897889, 0.0014263528171246, 299.9991511080446, 300.00267353037617, 300.0163367560086, 299.99620429309016, 299.9896733087505]|580.2312011718750000|      0.50000000|[330, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       4|[99.99483810230595, 0.1164883154037666, 0.2617221146334158, 0.912343560555874, 99.99386592508066, 0.0573738950835246, 0.1994504359867631, 0.8004583701466527, 99.995288166757, -0.0172375851097542, 0.2523976200070627, 0.7590759486486469, 100.01894475737144, 0.2133677687909055, 0.3519255855946082, 0.6239985516879715, 100.01617123651475, 0.1979153895216955, 0.4478098523844702, 0.2547926808813823, 99.99126977556989, 0.6007923407810071, 0.626828269897889, 0.0014263528171246, 299.9991511080446, 300.00267353037617, 300.0163367560086, 299.99620429309016, 299.9896733087505]|580.2312011718750000|      0.25000000|[439, 64, 0, 8]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       5|[99.99483810230595, 0.1164883154037666, 0.2617221146334158, 0.912343560555874, 99.99386592508066, 0.0573738950835246, 0.1994504359867631, 0.8004583701466527, 99.995288166757, -0.0172375851097542, 0.2523976200070627, 0.7590759486486469, 100.01894475737144, 0.2133677687909055, 0.3519255855946082, 0.6239985516879715, 100.01617123651475, 0.1979153895216955, 0.4478098523844702, 0.2547926808813823, 99.99126977556989, 0.6007923407810071, 0.626828269897889, 0.0014263528171246, 299.9991511080446, 300.00267353037617, 300.0163367560086, 299.99620429309016, 299.9896733087505]|580.2312011718750000|      0.12500000|[548, 80, 0, 10]                                                           |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       6|[99.99086385163143, 0.1426090852537621, 0.2722537235557742, 0.9190307159660437, 99.99574392675193, 0.0548636123149654, 0.1954181127894037, 0.7963974959171322, 99.99464654048128, 0.0486275732761391, 0.2801966725121106, 0.7736459158287211, 100.02155969778121, 0.1387908159638529, 0.308168365338101, 0.5989241121592858, 100.01654685711378, 0.2231646829351243, 0.4685985096461114, 0.2669929611034937, 99.98873194879941, 0.6035007900987697, 0.6235293612219569, 0.0016420660210319, 299.994975446979, 299.99993161551293, 300.0125973909631, 299.9929364163165, 299.9897769062645]|260.9783630371093750|      0.25000000|[657, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | iterate success | actual_k=8
       7|[99.99086385163143, 0.1426090852537621, 0.2722537235557742, 0.9190307159660437, 99.99574392675193, 0.0548636123149654, 0.1954181127894037, 0.7963974959171322, 99.99464654048128, 0.0486275732761391, 0.2801966725121106, 0.7736459158287211, 100.02155969778121, 0.1387908159638529, 0.308168365338101, 0.5989241121592858, 100.01654685711378, 0.2231646829351243, 0.4685985096461114, 0.2669929611034937, 99.98873194879941, 0.6035007900987697, 0.6235293612219569, 0.0016420660210319, 299.994975446979, 299.99993161551293, 300.0125973909631, 299.9929364163165, 299.9897769062645]|260.9783630371093750|      0.12500000|[767, 112, 0, 14]                                                          |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       8|[99.99729341560975, 0.146261429880049, 0.2820991782746652, 0.9253766105931599, 100.00076952686351, 0.1525507031279231, 0.23373220918382, 0.8238119332187159, 99.99898996419849, 0.0372759375757655, 0.2577460917416028, 0.7436435922444727, 100.0308164917069, 0.1188835126108664, 0.2914491295617345, 0.597888053953316, 100.00917570443221, 0.2051251956263649, 0.4573617811037561, 0.2636561123014026, 99.9672189122185, 0.6087416924889191, 0.6318655819686383, 0.0073950448272167, 300.00045404596176, 299.99773903508344, 300.0022482853981, 299.98915807129094, 299.9817234147443]|231.2847137451171875|      0.25000000|[876, 128, 0, 16]                                                          |  | trying linear partial model with 57 points | iterate success | actual_k=8
       9|[99.99729341560975, 0.146261429880049, 0.2820991782746652, 0.9253766105931599, 100.00076952686351, 0.1525507031279231, 0.23373220918382, 0.8238119332187159, 99.99898996419849, 0.0372759375757655, 0.2577460917416028, 0.7436435922444727, 100.0308164917069, 0.1188835126108664, 0.2914491295617345, 0.597888053953316, 100.00917570443221, 0.2051251956263649, 0.4573617811037561, 0.2636561123014026, 99.9672189122185, 0.6087416924889191, 0.6318655819686383, 0.0073950448272167, 300.00045404596176, 299.99773903508344, 300.0022482853981, 299.98915807129094, 299.9817234147443]|231.2847137451171875|      0.12500000|[986, 144, 0, 18]                                                          |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      10|[99.99729341560975, 0.146261429880049, 0.2820991782746652, 0.9253766105931599, 100.00076952686351, 0.1525507031279231, 0.23373220918382, 0.8238119332187159, 99.99898996419849, 0.0372759375757655, 0.2577460917416028, 0.7436435922444727, 100.0308164917069, 0.1188835126108664, 0.2914491295617345, 0.597888053953316, 100.00917570443221, 0.2051251956263649, 0.4573617811037561, 0.2636561123014026, 99.9672189122185, 0.6087416924889191, 0.6318655819686383, 0.0073950448272167, 300.00045404596176, 299.99773903508344, 300.0022482853981, 299.98915807129094, 299.9817234147443]|231.2847137451171875|      0.06250000|[1096, 160, 0, 20]                                                         |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
