k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.50000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.25000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       3|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.12500000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.0, 10.0, 500.0]                                                              |  0.7223026503022253|      0.06250000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[0.9376527518949906, 10.003442662139676, 500.00268676964487]                    |  0.7195517420768738|      0.12500000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[0.9376527518949906, 10.003442662139676, 500.00268676964487]                    |  0.7195517420768738|      0.06250000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[0.8752842264360403, 10.00661064547115, 500.0052128166927]                      |  0.7169807553291321|      0.12500000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[0.8752842264360403, 10.00661064547115, 500.0052128166927]                      |  0.7169807553291321|      0.06250000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[0.8128676397626783, 10.008758930909012, 500.0076220858192]                     |  0.7145896553993225|      0.12500000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[0.8128676397626783, 10.008758930909012, 500.0076220858192]                     |  0.7145896553993225|      0.06250000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.7505334012974167, 10.011984423686348, 500.0108297191055]                     |  0.7123777270317078|      0.12500000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[0.7505334012974167, 10.011984423686348, 500.0108297191055]                     |  0.7123777270317078|      0.06250000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.6880411960266519, 10.011880688873253, 500.01181130938926]                    |  0.7103462815284729|      0.12500000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[0.6880411960266519, 10.011880688873253, 500.01181130938926]                    |  0.7103462815284729|      0.06250000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[0.6880411960266519, 10.011880688873253, 500.01181130938926]                    |  0.7103462815284729|      0.03125000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
