k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.50000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.25000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.12500000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.06250000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.03125000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.01562500|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.00781250|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[-0.0008432149527991, -0.0007718583676426, -0.0016041628086811, 0.0055724998067848, -0.0044996097009424, -0.000707627523665, -0.0008326501338939, 0.0006234012727596, -0.0020540925639789, 0.9997679844541966]|2702.6277652515213958|      0.01562500|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=0
       9|[-0.0008432149527991, -0.0007718583676426, -0.0016041628086811, 0.0055724998067848, -0.0044996097009424, -0.000707627523665, -0.0008326501338939, 0.0006234012727596, -0.0020540925639789, 0.9997679844541966]|2702.6277652515213958|      0.00781250|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[-0.0008432149527991, -0.0007718583676426, -0.0016041628086811, 0.0055724998067848, -0.0044996097009424, -0.000707627523665, -0.0008326501338939, 0.0006234012727596, -0.0020540925639789, 0.9997679844541966]|2702.6277652515213958|      0.00390625|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      11|[-0.0008432149527991, -0.0007718583676426, -0.0016041628086811, 0.0055724998067848, -0.0044996097009424, -0.000707627523665, -0.0008326501338939, 0.0006234012727596, -0.0020540925639789, 0.9997679844541966]|2702.6277652515213958|      0.00195312|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      12|[-0.0008432149527991, -0.0007718583676426, -0.0016041628086811, 0.0055724998067848, -0.0044996097009424, -0.000707627523665, -0.0008326501338939, 0.0006234012727596, -0.0020540925639789, 0.9997679844541966]|2702.6277652515213958|      0.00097656|[156, 0, 12, 48]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      13|[-0.0008432149527991, -0.0007718583676426, -0.0016041628086811, 0.0055724998067848, -0.0044996097009424, -0.000707627523665, -0.0008326501338939, 0.0006234012727596, -0.0020540925639789, 0.9997679844541966]|2702.6277652515213958|      0.00048828|[169, 0, 13, 52]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      14|[-0.0008432149527991, -0.0007718583676426, -0.0016041628086811, 0.0055724998067848, -0.0044996097009424, -0.000707627523665, -0.0008326501338939, 0.0006234012727596, -0.0020540925639789, 0.9997679844541966]|2702.6277652515213958|      0.00024414|[182, 0, 14, 56]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      15|[-0.0008784041263312, -0.0008483555352157, -0.0015133102187012, 0.0054106032235632, -0.0044765873294541, -0.0007401026685871, -0.0007082534589357, 0.0006338405831782, -0.0020262454675552, 0.999778290572833]|2701.7099009552339339|      0.00048828|[195, 0, 15, 60]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      16|[-0.0009126314300161, -0.0009308865405666, -0.0016165217211802, 0.0049531319570595, -0.0044638731783341, -0.0006812848453926, -0.0007021105413865, 0.0006443662482539, -0.0019687341279689, 0.99971975968515]|2700.6504938916982610|      0.00097656|[208, 0, 16, 64]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      17|[-0.0009126314300161, -0.0009308865405666, -0.0016165217211802, 0.0049531319570595, -0.0044638731783341, -0.0006812848453926, -0.0007021105413865, 0.0006443662482539, -0.0019687341279689, 0.99971975968515]|2700.6504938916982610|      0.00048828|[221, 0, 17, 68]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      18|[-0.0010558400199931, -0.0009261809923325, -0.0014338129781241, 0.0050474503710786, -0.0043439217532363, -0.0005945671840976, -0.000348922013172, 0.0006832080506084, -0.0021137646897398, 0.9996396578401127]|2700.5246839292130971|      0.00097656|[234, 0, 18, 72]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
