k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0625908932120929, 0.3519481300415321, 1.1625220038883008, 0.1875185296698118, 1.409352221558736, 0.8654410494454746]|497.8397216796875000|      2.00000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[-0.0625908932120929, 0.3519481300415321, 1.1625220038883008, 0.1875185296698118, 1.409352221558736, 0.8654410494454746]|497.8397216796875000|      1.00000000|[58, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.4392259732368504, 0.0234514423399375, 1.279241214271838, -0.027597514596155, 0.6487412361687852, 0.8225178500379404]|440.7850646972656250|      2.00000000|[87, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[0.4392259732368504, 0.0234514423399375, 1.279241214271838, -0.027597514596155, 0.6487412361687852, 0.8225178500379404]|440.7850646972656250|      1.00000000|[115, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.1309602893439734, 0.4673280315632697, 1.0203105137677295, -0.1347423155078144, 0.8808895241244402, 1.2607635183936958]|304.2843933105468750|      2.00000000|[144, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[1.1309602893439734, 0.4673280315632697, 1.0203105137677295, -0.1347423155078144, 0.8808895241244402, 1.2607635183936958]|304.2843933105468750|      1.00000000|[172, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.1309602893439734, 0.4673280315632697, 1.0203105137677295, -0.1347423155078144, 0.8808895241244402, 1.2607635183936958]|304.2843933105468750|      0.50000000|[200, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.2518710022843813, 0.6128017805150633, 1.1339150161070228, -0.1676698381713772, 1.2283637630752196, 1.5427022288029113]|218.6000518798828125|      1.00000000|[228, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[1.2518710022843813, 0.6128017805150633, 1.1339150161070228, -0.1676698381713772, 1.2283637630752196, 1.5427022288029113]|218.6000518798828125|      0.50000000|[257, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1.2518710022843813, 0.6128017805150633, 1.1339150161070228, -0.1676698381713772, 1.2283637630752196, 1.5427022288029113]|218.6000518798828125|      0.25000000|[285, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
