k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[110, 16, 0, 2]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[219, 32, 0, 4]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[328, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       4|[119.9952862497321, -0.0075313389804988, 0.8671211855476451, 109.99982766408368, 0.2089900827086001, 0.831639124852579, 99.98318113575462, 0.2612695190915473, 0.7145180042697914, 87.99902626641763, 0.3211649059045089, 0.7171561615627882, 85.98820033299702, 0.3590709003015827, 0.6469745217572702, 84.0188342905563, 0.468257291740799, 0.5210901558270108, 80.00897993486721, 0.6641038815072238, 0.3472683223504497, 76.02386486584068, 0.8682838864186648, 0.1252010243021665, 886.3707713225897, 910.015358189575, 922.5243100287806, 926.4636374123779, 935.5589028853597, 952.8383206000263, 975.7307450066193]|2773.6894531250000000|      0.25000000|[438, 64, 0, 8]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       5|[119.9952862497321, -0.0075313389804988, 0.8671211855476451, 109.99982766408368, 0.2089900827086001, 0.831639124852579, 99.98318113575462, 0.2612695190915473, 0.7145180042697914, 87.99902626641763, 0.3211649059045089, 0.7171561615627882, 85.98820033299702, 0.3590709003015827, 0.6469745217572702, 84.0188342905563, 0.468257291740799, 0.5210901558270108, 80.00897993486721, 0.6641038815072238, 0.3472683223504497, 76.02386486584068, 0.8682838864186648, 0.1252010243021665, 886.3707713225897, 910.015358189575, 922.5243100287806, 926.4636374123779, 935.5589028853597, 952.8383206000263, 975.7307450066193]|2773.6894531250000000|      0.12500000|[547, 80, 0, 10]                                                           |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       6|[119.9952862497321, -0.0075313389804988, 0.8671211855476451, 109.99982766408368, 0.2089900827086001, 0.831639124852579, 99.98318113575462, 0.2612695190915473, 0.7145180042697914, 87.99902626641763, 0.3211649059045089, 0.7171561615627882, 85.98820033299702, 0.3590709003015827, 0.6469745217572702, 84.0188342905563, 0.468257291740799, 0.5210901558270108, 80.00897993486721, 0.6641038815072238, 0.3472683223504497, 76.02386486584068, 0.8682838864186648, 0.1252010243021665, 886.3707713225897, 910.015358189575, 922.5243100287806, 926.4636374123779, 935.5589028853597, 952.8383206000263, 975.7307450066193]|2773.6894531250000000|      0.06250000|[657, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       7|[119.99650536963485, 0.0173690687187897, 0.8774427589946794, 109.99935475637979, 0.1584027866845699, 0.8128763720487665, 99.98237747898423, 0.270480197707136, 0.7209848006010122, 87.99883600567549, 0.3311596728590916, 0.7211288259577561, 85.98821200200786, 0.3607739421887694, 0.6475138610679267, 84.02155070372393, 0.4688378698934779, 0.5214124682163136, 80.00893942894199, 0.6620087207249541, 0.3475743422098397, 76.02516220758767, 0.8690102245307109, 0.1255625580423259, 886.3713011335759, 910.0160836886258, 922.525421709139, 926.462730408513, 935.558962939383, 952.8391679809487, 975.7323003768305]|1337.4597167968750000|      0.12500000|[767, 112, 0, 14]                                                          |  | trying linear partial model with 57 points | iterate success | actual_k=8
       8|[120.00585285725239, -0.0658514517239483, 0.8451361454507811, 110.00394766610178, 0.0994394776512286, 0.791192521546641, 99.98019217570999, 0.2534343759259082, 0.7253156924146296, 88.01092165070453, 0.3677085432830102, 0.7376416700944641, 85.98121695074862, 0.3512659623399131, 0.6512102702731026, 84.02619419627628, 0.4806935894253201, 0.5189401949131227, 80.00977760314287, 0.6440700907457483, 0.3402220971741285, 76.01939193231404, 0.8709220202900088, 0.1460936353540623, 886.3629910512625, 910.0107459876579, 922.5300097719868, 926.4762183830123, 935.556450600835, 952.8309491924986, 975.7333032683639]|914.7883911132812500|      0.25000000|[877, 128, 0, 16]                                                          |  | trying linear partial model with 57 points | iterate success | actual_k=8
       9|[120.00585285725239, -0.0658514517239483, 0.8451361454507811, 110.00394766610178, 0.0994394776512286, 0.791192521546641, 99.98019217570999, 0.2534343759259082, 0.7253156924146296, 88.01092165070453, 0.3677085432830102, 0.7376416700944641, 85.98121695074862, 0.3512659623399131, 0.6512102702731026, 84.02619419627628, 0.4806935894253201, 0.5189401949131227, 80.00977760314287, 0.6440700907457483, 0.3402220971741285, 76.01939193231404, 0.8709220202900088, 0.1460936353540623, 886.3629910512625, 910.0107459876579, 922.5300097719868, 926.4762183830123, 935.556450600835, 952.8309491924986, 975.7333032683639]|914.7883911132812500|      0.12500000|[986, 144, 0, 18]                                                          |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      10|[120.00585285725239, -0.0658514517239483, 0.8451361454507811, 110.00394766610178, 0.0994394776512286, 0.791192521546641, 99.98019217570999, 0.2534343759259082, 0.7253156924146296, 88.01092165070453, 0.3677085432830102, 0.7376416700944641, 85.98121695074862, 0.3512659623399131, 0.6512102702731026, 84.02619419627628, 0.4806935894253201, 0.5189401949131227, 80.00977760314287, 0.6440700907457483, 0.3402220971741285, 76.01939193231404, 0.8709220202900088, 0.1460936353540623, 886.3629910512625, 910.0107459876579, 922.5300097719868, 926.4762183830123, 935.556450600835, 952.8309491924986, 975.7333032683639]|914.7883911132812500|      0.06250000|[1095, 160, 0, 20]                                                         |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
